Country,code,Region,,,,
ALGERIA,DZA,Africa,,,,
ANGOLA,AGO,Africa,,,,
BENIN,BEN,Africa,,,,
BOTSWANA,BWA,Africa,,,,
BURKINA FASO,BFA,Africa,,,,
BURUNDI,BDI,Africa,,,,
CAMEROON,CMR,Africa,,,,
CAPE VERDE,CPV,Africa,,,,
CENTRAL AFRICAN REPUBLIC,CAF,Africa,,,,
CHAD,TCD,Africa,,,,
COMOROS,COM,Africa,,,,
CONGO,COG,Africa,,,,
"CONGO, THE DEMOCRATIC REPUBLIC OF THE",COD,Africa,,,,
COTE D’IVOIRE,CIV,Africa,,,,
DJIBOUTI,DJI,Africa,,,,
EGYPT,EGY,Africa,,,,
EQUATORIAL GUINEA,GNQ,Africa,,,,
ERITREA,ERI,Africa,,,,
ETHIOPIA,ETH,Africa,,,,
GABON,GAB,Africa,,,,
GAMBIA,GMB,Africa,,,,
GHANA,GHA,Africa,,,,
GUINEA,GIN,Africa,,,,
GUINEA-BISSAU,GNB,Africa,,,,
KENYA,KEN,Africa,,,,
LESOTHO,LSO,Africa,,,,
LIBERIA,LBR,Africa,,,,
LIBYAN ARAB JAMAHIRIYA,LBY,Africa,,,,
MADAGASCAR,MDG,Africa,,,,
MALI,MLI,Africa,,,,
MALAWI,MWI,Africa,,,,
MAURITANIA,MRT,Africa,,,,
MAURITIUS,MUS,Africa,,,,
MAYOTTE,MYT,Africa,,,,
MOROCCO,MAR,Africa,,,,
MOZAMBIQUE,MOZ,Africa,,,,
NAMIBIA,NAM,Africa,,,,
NIGER,NER,Africa,,,,
NIGERIA,NGA,Africa,,,,
REUNION ISLAND,REU,Africa,,,,
RWANDA,RWA,Africa,,,,
SAO TOME AND PRINCIPE,STP,Africa,,,,
SENEGAL,SEN,Africa,,,,
SEYCHELLES,SYC,Africa,,,,
SIERRA LEONE,SLE,Africa,,,,
SOMALIA,SOM,Africa,,,,
SOUTH AFRICA,ZAF,Africa,,,,
SOUTH SUDAN,SSD,Africa,,,,
SUDAN,SDN,Africa,,,,
SWAZILAND,SWZ,Africa,,,,
"TANZANIA, UNITED REPUBLIC OF",TZA,Africa,,,,
TOGO,TGO,Africa,,,,
TUNISIA,TUN,Africa,,,,
UGANDA,UGA,Africa,,,,
WESTERN SAHARA,ESH,Africa,,,,
ZAMBIA,ZMB,Africa,,,,
ZIMBABWE,ZWE,Africa,,,,
