"","alpha_2_code","alpha_3_code","latitude","longitude"
"1","AF"," AFG",34.1340260137693,66.5921613109528
"2","AL"," ALB",41.1416589489166,20.0610827672695
"3","DZ"," DZA",28.3509697448891,2.65584647197691
"4","AS"," ASM",-14.3057119877705,-170.70073161745
"5","AD"," AND",42.5485983485476,1.58022436112329
"6","AO"," AGO",-11.8975894764466,17.4780080462529
"7","AI"," AIA",18.2228740042191,-63.0600834377181
"8","AQ"," ATA",-76.4855136383415,-173.957122161842
"9","AG"," ATG",17.3218835862272,-61.7918700297888
"10","AR"," ARG",-37.6056445252525,-64.4431516743528
"11","AM"," ARM",40.1784127423068,45.0549083196526
"12","AW"," ABW",12.5156257229929,-69.9756401428405
"13","AU"," AUS",-30.1341602798584,137.116564340749
"14","AT"," AUT",47.6318582698958,13.797778364631
"15","AZ"," AZE",40.3349763426367,48.3983051433384
"16","BS"," BHS",23.9719808447216,-75.9475704926376
"17","BH"," BHR",25.9644346666866,50.6209402688033
"18","BD"," BGD",23.673728665121,90.4321256260861
"19","BB"," BRB",13.1832193693375,-59.5573839491503
"20","BY"," BLR",53.4679137454316,27.9642520547151
"21","BE"," BEL",50.6182138854095,4.67501015469649
"22","BZ"," BLZ",17.2945936892639,-88.5802147985989
"23","BJ"," BEN",9.50301319961589,2.30571452883021
"24","BM"," BMU",32.3150674307407,-64.7458500599169
"25","BT"," BTN",27.4216393395982,90.4671664717386
"26","BO"," BOL",-16.7312488393574,-64.4520959751121
"27","BO"," BOL",-16.7312488393574,-64.4520959751121
"28","BA"," BIH",44.1441535612643,17.8346724078754
"29","BW"," BWA",-22.2366090020629,23.8577995699561
"30","BV"," BVT",-54.4231667939525,3.41196946505763
"31","BR"," BRA",-11.5246304164267,-54.3552066082564
"32","IO"," IOT",-7.32354844438574,72.4350161847602
"33","BN"," BRN",4.52456452989103,114.793624042276
"34","BN"," BRN",4.52456452989103,114.793624042276
"35","BG"," BGR",42.8204367730244,25.2517391225619
"36","BF"," BFA",12.1087090363127,-1.69328162118423
"37","BI"," BDI",-3.26125199327864,29.8851822784529
"38","KH"," KHM",12.6991868655078,105.039730786807
"39","CM"," CMR",6.29416848748099,12.9484741423983
"40","CA"," CAN",62.3658719808934,-93.566634661058
"41","CV"," CPV",16.0683021029035,-23.9674431370949
"42","KY"," CYM",19.3112318056203,-81.2520320897788
"43","CF"," CAF",6.33139003394432,20.5207434193973
"44","TD"," TCD",15.2834935466545,18.427113900363
"45","CL"," CHL",-34.3282375613003,-81.2554503446457
"46","CN"," CHN",37.4586400797629,105.451205487843
"47","CX"," CXR",-10.4464408021834,105.702095122005
"48","CC"," CCK",-12.1712494501995,96.83688767323
"49","CO"," COL",5.29423461043587,-73.8458251770703
"50","KM"," COM",-11.9694455952208,43.8181751927212
"51","CG"," COG",-0.729439159523384,14.8797328494914
"52","CD"," COD",-3.3386295962079,23.4198275742822
"53","CK"," COK",-17.4353700301302,-161.465133304837
"54","CR"," CRI",9.86346740740621,-84.1467362570182
"55","CI"," CIV",7.53677927942131,-5.57171019491773
"56","CI"," CIV",7.53677927942131,-5.57171019491773
"57","HR"," HRV",44.6493147219595,16.7828184112277
"58","CU"," CUB",21.5003682099557,-79.6459652585029
"59","CY"," CYP",35.1170041634524,33.3753460091992
"60","CZ"," CZE",49.7491737093098,15.3832732920235
"61","DK"," DNK",55.915553126522,11.0021124760049
"62","DJ"," DJI",11.7502357276188,42.6134968987895
"63","DM"," DMA",15.4292698609405,-61.360471946943
"64","DO"," DOM",18.7554259962832,-70.4047597371691
"65","EC"," ECU",-1.2980654335323,-82.3389759590806
"66","EG"," EGY",26.6051703445063,30.2401354350123
"67","SV"," SLV",13.7580415170554,-88.8591148923899
"68","GQ"," GNQ",2.16345301148848,9.91774792168059
"69","ER"," ERI",15.0055331476677,39.2672401449901
"70","EE"," EST",58.5775695380077,25.2364054243738
"71","ET"," ETH",8.7293895570484,39.9149028865443
"72","FK"," FLK",-51.7520904300558,-59.5178125154269
"73","FO"," FRO",61.9710145324428,-6.8520204289638
"74","FJ"," FJI",-17.6205242670057,178.695172915376
"75","FI"," FIN",64.8135638101837,25.1965963801953
"76","FR"," FRA",46.2041093034039,2.9361781319582
"77","GF"," GUF",3.85742974249708,-53.3223230715662
"78","PF"," PYF",-13.5263167396066,-145.255376012188
"79","TF"," ATF",-17.064491936308,42.7437476108964
"80","TF"," ATF",-48.2657956714671,63.2974131020609
"81","TF"," ATF",-11.5662248716434,47.2909480815434
"82","GA"," GAB",-0.628448459921234,11.8394108985458
"83","GM"," GMB",13.4286179591893,-15.3833803858697
"84","GE"," GEO",42.1798627773723,43.3788665341122
"85","DE"," DEU",51.1492815853188,10.4615912490351
"86","GH"," GHA",7.94530467243628,-1.21923336252658
"87","GI"," GIB",36.1402267133608,-5.34554948459436
"88","GR"," GRC",38.4186493701619,24.2555963886321
"89","GL"," GRL",74.147936015195,-42.1867936429987
