"Country","Region","WHO testing Capacity","Max 30-day average of new tests per capita","Sequencing capacity","Cumulative GISAID sequences","New cases per capita in the last 7 days per 100k","Archetype"
"Bangladesh","South-East Asia","1 - Reliable",25.41,"2 - 4+ NGS facilities or equivalent",2963,2.23,"4 - Strengthen"
"Bhutan","South-East Asia","0 - Unreliable",750.57,"0 - 0 NGS facilities or equivalent",0,0.39,"2 - Connect"
"East Timor","South-East Asia","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",356,4.78,"2 - Connect"
"India","South-East Asia","1 - Reliable",161.31,"2 - 4+ NGS facilities or equivalent",69859,9.16,"4 - Strengthen"
"Indonesia","South-East Asia","1 - Reliable",98.2,"2 - 4+ NGS facilities or equivalent",7853,2.78,"4 - Strengthen"
"Maldives","South-East Asia","0 - Unreliable",2230.04,"0 - 0 NGS facilities or equivalent",362,90.65,"2 - Connect"
"Myanmar","South-East Asia","1 - Reliable",45.82,"1 - 1-3 NGS facilities or equivalent",75,18.19,"3 - Leverage"
"Nepal","South-East Asia","0 - Unreliable",65.19,"1 - 1-3 NGS facilities or equivalent",287,13.71,"3 - Leverage"
"North Korea","South-East Asia","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"Sri Lanka","South-East Asia","1 - Reliable",71.64,"1 - 1-3 NGS facilities or equivalent",1525,25.83,"4 - Strengthen"
"Thailand","South-East Asia","1 - Reliable",69.69,"1 - 1-3 NGS facilities or equivalent",4795,105.17,"4 - Strengthen"
