,country,code,region,pop_100k,max_new_tests_cap_avg,cap_cum_tests,cum_tpr,dx_testing_capacity,ngs_capacity,sequencing_capacity,total_sequences,submission_count,total_viable_sequences,all_cases,percent_cases_sequenced,sequences_per_capita_per_100k,sars_cov_2_sequencing,cases_newly_reported_in_last_7_days_per_100000_population,world_bank_economies,archetype_full,archetype,label,dx_testing_capacity_clean,sequencing_capacity_clean,sars_cov_2_sequencing_clean,month,who_testing_capacity,owid_testing_capacity_cat,archetype_clean
0,Afghanistan,AFG,Eastern Mediterranean,389.28,10.65,1883.2716810522,0.206736959842863,Reliable testing capacity,,0 NGS facilities or equivalent,16,16,16.0,149810.0,0.01,0.04,1-499 sequences,25.42,Low income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,August,1 - Reliable,1 - Reliable,
1,Algeria,DZA,Africa,438.51,4.46,525.764520763495,0.80260070352587,Reliable testing capacity,,0 NGS facilities or equivalent,35,35,23.0,180356.0,0.02,0.08,1-499 sequences,7.77,Lower middle income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,August,1 - Reliable,1 - Reliable,
2,Angola,AGO,Africa,328.66,16.29,2577.06444349784,0.0521548375518609,Reliable testing capacity,,0 NGS facilities or equivalent,784,784,780.0,43592.0,1.8,2.39,500+ sequences,1.95,Lower middle income,3 - Leverage,Leverage,– Leverage existing NGS capacity,Reliable testing capacity,0 NGS facilities or equivalent,500+ sequences,August,1 - Reliable,1 - Reliable,
3,Bangladesh,BGD,South-East Asia,1646.89,25.03,5040.74285471404,0.16826594651191,Reliable testing capacity,2.0,4+ NGS facilities or equivalent,2056,2118,1987.0,1343396.0,0.15,1.25,500+ sequences,41.08,Lower middle income,4 - Strengthen,Strengthen,– Build additional NGS capacity for scale-up,Reliable testing capacity,4+ NGS facilities or equivalent,500+ sequences,August,1 - Reliable,1 - Reliable,
4,Belize,BLZ,Americas,3.98,241.63,46102.7638190955,0.0803208911705879,Reliable testing capacity,,0 NGS facilities or equivalent,52,52,52.0,14438.0,0.36,13.08,1-499 sequences,45.77,Upper middle income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,August,0 - Unreliable,1 - Reliable,
5,Benin,BEN,Africa,121.23,28.81,5284.05510187247,0.0141511053941235,Unreliable testing capacity,,0 NGS facilities or equivalent,65,80,65.0,8608.0,0.76,0.54,1-499 sequences,0.23,Lower middle income,1 - Test,Test,– Increase diagnostic testing capacity,Unreliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,August,0 - Unreliable,1 - Reliable,
6,Bolivia,BOL,Americas,116.73,103.68,18362.2804763129,0.224047075970326,Reliable testing capacity,,0 NGS facilities or equivalent,66,66,64.0,477262.0,0.01,0.57,1-499 sequences,90.72,Lower middle income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,August,1 - Reliable,1 - Reliable,
7,Burundi,BDI,Africa,118.91,25.93,3520.97384576571,0.0224706756250015,Reliable testing capacity,,0 NGS facilities or equivalent,9,9,9.0,8088.0,0.11,0.08,1-499 sequences,0.87,Low income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,August,1 - Reliable,1 - Reliable,
8,Cambodia,KHM,Western Pacific,167.19,90.12,11391.7339553801,0.0440195864293725,Reliable testing capacity,1.0,1-3 NGS facilities or equivalent,661,663,643.0,81335.0,0.81,3.95,500+ sequences,40.18,Lower middle income,4 - Strengthen,Strengthen,– Build additional NGS capacity for scale-up,Reliable testing capacity,1-3 NGS facilities or equivalent,500+ sequences,August,1 - Reliable,1 - Reliable,
9,Cameroon,CMR,Africa,265.46,41.15,7016.81985986589,0.044266207114998,Reliable testing capacity,1.0,1-3 NGS facilities or equivalent,208,217,208.0,82064.0,0.25,0.78,1-499 sequences,0.0,Lower middle income,3 - Leverage,Leverage,– Leverage existing NGS capacity,Reliable testing capacity,1-3 NGS facilities or equivalent,1-499 sequences,August,1 - Reliable,1 - Reliable,
