"","name","code","region","ngs_capacity","facility_access","sequencing_capacity","date_tests_last_reported","rept_tests_within_last_6_months","days_since_tests_reported","tests_in_last_year_raw","cases_in_last_year_raw","tests_in_last_year_smoothed","cases_in_last_year_smoothed","cases_in_last_year_smoothed_truncated","avg_tpr_find","tpr_year_raw","tpr_year_smoothed","tpr_year_smoothed_truncated","tpr","avg_daily_test_per_1000_last_year_raw","avg_daily_tests_per_1000_last_year_smoothed","population_size","dx_testing_capacity","dx_testing_rec","dx_archetype","cases_in_last_year","cases_per_100k_last_year","sequences_in_last_year","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","cum_seq","cum_cases","cum_cases_per_100k","country","prev_test_rec","sars_cov_2_sequencing","old_archetype","world_bank_economies","LMIC_status","archetype_orig","archetype_orig_w_HICs","archetype_draft"
"1","Afghanistan","AFG","Eastern Mediterranean",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","March 31, 2022",TRUE,1,586561,121271,577313,121310,121310,0.164455352691365,0.206749170163035,0.210128647717962,0.210128647717962,21.0128647717962,0.0412817621854748,0.0406308942677454,38928000,"Does not meet testing target","Test - Increase diagnostic testing capacity","Test",121236,304.342,75,0.06,0.188,94,177755,NA,"Afghanistan","Does not meet testing target","Does not meet sequencing target","Connect/Build","Low income","LMIC","Connect","Connect/Build","Sequence"
"2","Albania","ALB","Europe",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","March 23, 2022",TRUE,9,1212483,148253,1226527,149150,149150,0.103444927303017,0.122272229796212,0.121603519531164,0.121603519531164,12.1603519531164,1.15422905937342,1.16759831313602,2878000,"Meets testing target","Sustain - Sustain diagnostic testing capacity","Sustain",148171,5157.48,22,0.01,0.766,52,273677,NA,"Albania","Meets testing target","Does not meet sequencing target","Connect/Build","Upper middle income","LMIC","Connect","Connect/Build","Sequence"
"3","Algeria","DZA","Africa",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","November 01, 2020",FALSE,516,0,148375,0,148684,0,NA,Inf,Inf,NA,NA,0,NA,43851000,"Insufficient testing data","Insufficient testing data","Insufficient testing data",148367,332.537,89,0.06,0.199,120,265671,NA,"Algeria","Insufficient testing data","Does not meet sequencing target","Connect/Build","Lower middle income","LMIC","Connect","Connect/Build","Sequence"
"4","Andorra","AND","Europe",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","March 01, 2022",TRUE,31,132063,27971,132107,27935,26262,0.175730129482113,0.211800428583328,0.211457379245612,0.198793402317818,19.8793402317818,4.69891478384629,5.09102470230067,77000,"Meets testing target","Sustain - Sustain diagnostic testing capacity","Sustain",27971,36159.733,76,0.27,98.25,77,40024,NA,"Andorra","Meets testing target","Does not meet sequencing target","Connect/Build","High income","High Income","Connect","Connect/Build","Sequence"
"5","Angola","AGO","Africa",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","April 01, 2022",TRUE,0,1067081,76795,1066831,76977,76977,0.0677909561384902,0.0719673576795014,0.0721548211478669,0.0721548211478669,7.21548211478669,0.0889524003237721,0.0889315602000318,32866000,"Does not meet testing target","Test - Increase diagnostic testing capacity","Test",76770,226.236,517,0.67,1.524,1173,99169,NA,"Angola","Does not meet testing target","Does not meet sequencing target","Connect/Build","Lower middle income","LMIC","Connect","Connect/Build","Sequence"
"6","Argentina","ARG","Americas",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","March 31, 2022",TRUE,1,26468210,6676587,26571500,6708085,6708085,0.193406091301373,0.25224928319671,0.252454133187814,0.252454133187814,25.2454133187814,1.6044703919731,1.61073170495146,45196000,"Does not meet testing target","Test - Increase diagnostic testing capacity","Test",6674660,14635.543,11301,0.17,24.78,14847,9037911,NA,"Argentina","Does not meet testing target","Does not meet sequencing target","Strengthen/Leverage","Upper middle income","LMIC","Leverage","Strengthen/Leverage","Sequence"
"7","Armenia","ARM","Europe",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","April 01, 2022",TRUE,0,2117240,228804,2127364,231496,231496,0.100652059025386,0.108067106232642,0.108818237029488,0.108818237029488,10.8818237029488,1.95769744659014,1.9670585624529,2963000,"Meets testing target","Sustain - Sustain diagnostic testing capacity","Sustain",228783,7707.99,110,0.05,3.706,191,422519,NA,"Armenia","Meets testing target","Does not meet sequencing target","Connect/Build","Upper middle income","LMIC","Connect","Connect/Build","Sequence"
"8","Azerbaijan","AZE","Europe",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","April 01, 2022",TRUE,0,3817979,528018,3843764,533859,533859,0.11744778092265,0.138297774817515,0.138889640467001,0.138889640467001,13.8889640467001,1.03168127412528,1.03864880895282,10139000,"Meets testing target","Sustain - Sustain diagnostic testing capacity","Sustain",527971,5164.367,14,0,0.137,151,791932,NA,"Azerbaijan","Meets testing target","Does not meet sequencing target","Strengthen/Leverage","Upper middle income","LMIC","Leverage","Strengthen/Leverage","Sequence"
"9","Bangladesh","BGD","South-East Asia",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","April 01, 2022",TRUE,0,9132646,1333894,9187907,1349787,1349787,0.118816990318404,0.146057779968697,0.146909083864258,0.146909083864258,14.6909083864258,0.151928470907016,0.152847779421853,164689000,"Does not meet testing target","Test - Increase diagnostic testing capacity","Test",1333813,802.035,2657,0.2,1.598,4315,1951577,NA,"Bangladesh","Does not meet testing target","Does not meet sequencing target","Strengthen/Leverage","Lower middle income","LMIC","Leverage","Strengthen/Leverage","Sequence"
"10","Barbados","BRB","Americas",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","April 01, 2022",TRUE,0,472428,55836,469779,55250,55250,0.0907453415991893,0.118189438390612,0.117608492503922,0.117608492503922,11.7608492503922,4.50983723927259,4.48454966350055,287000,"Meets testing target","Sustain - Sustain diagnostic testing capacity","Sustain",55613,19329.668,81,0.15,28.154,92,59272,NA,"Barbados","Meets testing target","Does not meet sequencing target","Connect/Build","High income","High Income","Connect","Connect/Build","Sequence"
