"country","code","population_size","world_bank_economies","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","sars_cov_2_binary"
"Afghanistan","AFG",38928000,"Low income",0.06,0.188,"Does not meet sequencing target"
"Albania","ALB",2878000,"Upper middle income",0.01,0.766,"Does not meet sequencing target"
"Algeria","DZA",43851000,"Lower middle income",0.06,0.199,"Does not meet sequencing target"
"Andorra","AND",77000,"High income",0.27,98.25,"Does not meet sequencing target"
"Angola","AGO",32866000,"Lower middle income",0.67,1.524,"Does not meet sequencing target"
"Antigua and Barbuda","ATG",98000,"High income",1.84,118.507,"Meets sequencing target"
"Argentina","ARG",45196000,"Upper middle income",0.17,24.78,"Does not meet sequencing target"
"Armenia","ARM",2963000,"Upper middle income",0.05,3.706,"Does not meet sequencing target"
"Aruba","ABW",NaN,"High income",9.78,2238.91,"Meets sequencing target"
"Australia","AUS",25500000,"High income",1.19,213.113,"Meets sequencing target"
"Austria","AUT",9006000,"High income",2.26,826.865,"Meets sequencing target"
"Azerbaijan","AZE",10139000,"Upper middle income",0,0.137,"Does not meet sequencing target"
"Bahrain","BHR",1702000,"High income",0.52,120.689,"Meets sequencing target"
"Bangladesh","BGD",164689000,"Lower middle income",0.2,1.598,"Does not meet sequencing target"
"Barbados","BRB",287000,"High income",0.15,28.154,"Does not meet sequencing target"
"Belarus","BLR",9449000,"Upper middle income",0.03,2.054,"Does not meet sequencing target"
"Belgium","BEL",11590000,"High income",2.5,638.006,"Meets sequencing target"
"Belize","BLZ",398000,"Upper middle income",1.06,117.556,"Meets sequencing target"
"Benin","BEN",12123000,"Lower middle income",1.87,2.948,"Does not meet sequencing target"
"Bermuda","BMU",62000,"High income",0.51,93.41,"Meets sequencing target"
"Bhutan","BTN",772000,"Lower middle income",0,0,"Does not meet sequencing target"
"Bolivia","BOL",11673000,"Lower middle income",0.01,0.313,"Does not meet sequencing target"
"Bolivia","BOL",11673000,"Lower middle income",0.01,0.313,"Does not meet sequencing target"
"Bosnia and Herzegovina","BIH",3281000,"Upper middle income",0.61,38.119,"Meets sequencing target"
"Botswana","BWA",2352000,"Upper middle income",0.79,86.725,"Meets sequencing target"
"Brazil","BRA",212559000,"Upper middle income",0.54,42.735,"Meets sequencing target"
"British Virgin Islands","VGB",NaN,"High income",1.18,233.376,"Meets sequencing target"
"Brunei","BRN",437000,"High income",0.87,265.666,"Meets sequencing target"
"Brunei","BRN",437000,"High income",0.87,265.666,"Meets sequencing target"
