"name","World Bank economic status","Date tests last reported","Test positivity rate (%) in past year","Average daily tests in past year","% of cases sequenced in past year","Number of sequences in past year","Cumulative number of sequences entire pandemic","NGS facility access","COVID-19 diagnostic testing targets","SARS-CoV-2 sequencing targets","Test Archetype","Sequence Archetype"
"Afghanistan","Low income","March 31, 2022","21 %","0.04 per 1,000 persons","0.06 %","0.2 per 100k persons",94,"Does not have access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Albania","Upper middle income","March 23, 2022","12.2 %","1.17 per 1,000 persons","0.02 %","0.9 per 100k persons",55,"Does not have access to sequencing facilities","Meets testing target","Does not meet sequencing target","Sustain - Sustain diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Algeria","Lower middle income","November 01, 2020","Insufficient data","Insufficient data","0.09 %","0.3 per 100k persons",165,"Does not have access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"American Samoa","Upper middle income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Does not have access to sequencing facilities","Insufficient testing data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Andorra","High income","March 01, 2022","19.9 %","5.09 per 1,000 persons","0.52 %","187.4 per 100k persons",146,"Does not have access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Angola","Lower middle income","April 01, 2022","7.2 %","0.09 per 1,000 persons","0.71 %","1.6 per 100k persons",1201,"Does not have access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Antigua and Barbuda","High income","June 07, 2021","5.6 %","0.35 per 1,000 persons","2.7 %","173.2 per 100k persons",183,"Does not have access to sequencing facilities","Insufficient testing data","Meets sequencing target","Insufficient testing data","Sustain - Sustain current sequencing levels"
"Argentina","Upper middle income","March 31, 2022","25.2 %","1.61 per 1,000 persons","0.22 %","32 per 100k persons",18175,"Has access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Armenia","Upper middle income","April 01, 2022","10.9 %","1.97 per 1,000 persons","0.05 %","3.7 per 100k persons",191,"Does not have access to sequencing facilities","Meets testing target","Does not meet sequencing target","Sustain - Sustain diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Aruba","High income","No tests reported","Insufficient data","Insufficient data","10.37 %","2366.7 per 100k persons",3157,"Does not have access to sequencing facilities","Insufficient testing data","Meets sequencing target","Insufficient testing data","Sustain - Sustain current sequencing levels"
"Australia","High income","April 01, 2022","8.9 %","5.46 per 1,000 persons","1.47 %","260 per 100k persons",87140,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Austria","High income","April 01, 2022","2.1 %","46.19 per 1,000 persons","2.28 %","826.8 per 100k persons",89518,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Azerbaijan","Upper middle income","April 01, 2022","13.9 %","1.04 per 1,000 persons","0 %","0.1 per 100k persons",151,"Has access to sequencing facilities","Meets testing target","Does not meet sequencing target","Sustain - Sustain diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Bahrain","High income","April 01, 2022","6.8 %","9.75 per 1,000 persons","0.52 %","120.6 per 100k persons",2269,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Bangladesh","Lower middle income","April 01, 2022","14.7 %","0.15 per 1,000 persons","0.26 %","2.1 per 100k persons",5089,"Has access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Barbados","High income","April 01, 2022","11.8 %","4.48 per 1,000 persons","0.18 %","35.1 per 100k persons",114,"Does not have access to sequencing facilities","Meets testing target","Does not meet sequencing target","Sustain - Sustain diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
