"Country","Socioeconomic status","Date tests last reported","Test positivity rate (%)","Average daily tests","% of cases sequenced","Number of sequences","Cumulative number of sequences entire pandemic","Test Archetype","Sequencing Archetype"
"Afghanistan","Low income","May 12, 2022","13.4 %","0.02 per 1,000 persons","0 %","0 per 100k persons",103,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Albania","Upper middle income","July 15, 2022","16.3 %","0.97 per 1,000 persons","0.01 %","0.6 per 100k persons",58,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Algeria","Lower middle income","November 01, 2020","Insufficient data","Insufficient data","0.19 %","0.4 per 100k persons",327,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"American Samoa","Upper middle income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Andorra","High income","March 01, 2022","24.3 %","5.85 per 1,000 persons","0.81 %","315.1 per 100k persons",273,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Angola","Lower middle income","July 26, 2022","2.9 %","0.18 per 1,000 persons","0.57 %","1 per 100k persons",1282,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Antigua and Barbuda","High income","June 07, 2021","Insufficient data","Insufficient data","2.24 %","179.1 per 100k persons",219,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Argentina","Upper middle income","April 17, 2022","25.2 %","1.39 per 1,000 persons","0.24 %","24.5 per 100k persons",20145,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Armenia","Upper middle income","June 06, 2022","10.8 %","1.93 per 1,000 persons","0.03 %","2.4 per 100k persons",192,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Aruba","High income","No tests reported","Insufficient data","Insufficient data","6.55 %","1863.2 per 100k persons",3397,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Australia","High income","July 29, 2022","18.3 %","5.53 per 1,000 persons","1.17 %","424.2 per 100k persons",134919,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Austria","High income","July 31, 2022","3.2 %","38.8 per 1,000 persons","2.33 %","1076.2 per 100k persons",133438,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Azerbaijan","Upper middle income","July 31, 2022","15 %","0.82 per 1,000 persons","0 %","0.1 per 100k persons",151,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Bahrain","High income","August 01, 2022","8.2 %","7.65 per 1,000 persons","1.8 %","480.1 per 100k persons",7906,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Bangladesh","Lower middle income","July 31, 2022","11.2 %","0.12 per 1,000 persons","0.48 %","2.1 per 100k persons",7032,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Barbados","High income","August 01, 2022","17.1 %","4.87 per 1,000 persons","0.06 %","17.4 per 100k persons",140,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Belarus","Upper middle income","July 06, 2022","8.6 %","1.98 per 1,000 persons","0.08 %","4.4 per 100k persons",520,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Belgium","High income","July 29, 2022","18.3 %","4.24 per 1,000 persons","2.99 %","847.4 per 100k persons",140259,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Belize","Upper middle income","June 10, 2022","11.9 %","3.11 per 1,000 persons","1.17 %","155.5 per 100k persons",879,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Benin","Lower middle income","January 25, 2022","Insufficient data","Insufficient data","1.33 %","1.9 per 100k persons",861,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Bermuda","High income","July 27, 2022","No cases reported","26.1 per 1,000 persons","0.6 %","137.1 per 100k persons",134,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Bhutan","Lower middle income","March 01, 2022","1.4 %","4.67 per 1,000 persons","0 %","0 per 100k persons",0,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Bolivia","Lower middle income","January 02, 2022","14.3 %","0.53 per 1,000 persons","0.02 %","1.1 per 100k persons",339,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Bosnia and Herzegovina","Upper middle income","August 01, 2022","32.6 %","0.46 per 1,000 persons","0.7 %","38.3 per 100k persons",1456,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Botswana","Upper middle income","May 18, 2022","24.7 %","1.18 per 1,000 persons","1.58 %","133.3 per 100k persons",4359,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Brazil","Upper middle income","March 11, 2022","44.5 %","0.44 per 1,000 persons","0.77 %","49.4 per 100k persons",166057,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"British Virgin Islands","High income","No tests reported","Insufficient data","Insufficient data","3.11 %","462.7 per 100k persons",195,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Brunei","High income","December 14, 2021","2.9 %","8.58 per 1,000 persons","1.25 %","578.2 per 100k persons",2601,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Bulgaria","Upper middle income","July 31, 2022","11.7 %","2.63 per 1,000 persons","1.82 %","207.1 per 100k persons",18271,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Burkina Faso","Low income","March 09, 2022","6.4 %","0.02 per 1,000 persons","0.7 %","0.2 per 100k persons",663,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Burundi","Low income","July 31, 2022","2.9 %","0.3 per 1,000 persons","0.25 %","0.7 per 100k persons",157,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Cambodia","Lower middle income","July 31, 2022","4.9 %","0.2 per 1,000 persons","4.37 %","15.5 per 100k persons",3307,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cameroon","Lower middle income","July 22, 2022","4 %","0.1 per 1,000 persons","2.18 %","3.1 per 100k persons",1170,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Canada","High income","July 29, 2022","10.6 %","1.83 per 1,000 persons","9.18 %","641.1 per 100k persons",363781,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cape Verde","Lower middle income","July 31, 2022","11.8 %","1.18 per 1,000 persons","1.54 %","74.2 per 100k persons",584,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cayman Islands","High income","No tests reported","Insufficient data","Insufficient data","0.09 %","38.2 per 100k persons",101,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Central African Republic","Low income","July 30, 2022","19.4 %","0.02 per 1,000 persons","0.62 %","0.9 per 100k persons",110,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Chad","Low income","July 28, 2022","3.1 %","0.01 per 1,000 persons","1.71 %","0.2 per 100k persons",49,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Chile","High income","July 31, 2022","11.2 %","3.35 per 1,000 persons","0.92 %","124.3 per 100k persons",31857,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"China","Upper middle income","June 24, 2020","Insufficient data","Insufficient data","0.12 %","0.1 per 100k persons",2487,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Colombia","Upper middle income","July 31, 2022","10.9 %","0.74 per 1,000 persons","1.05 %","30.1 per 100k persons",21034,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Comoros","Lower middle income","July 06, 2022","7 %","0.2 per 1,000 persons","0.65 %","3.4 per 100k persons",34,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Costa Rica","Upper middle income","June 01, 2022","17 %","1.86 per 1,000 persons","0.75 %","90.7 per 100k persons",5760,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Croatia","High income","July 31, 2022","29.7 %","1.84 per 1,000 persons","3.36 %","681.8 per 100k persons",34074,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cuba","Upper middle income","July 31, 2022","9.8 %","1.84 per 1,000 persons","0.08 %","4.9 per 100k persons",1521,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Curaçao","High income","No tests reported","Insufficient data","Insufficient data","4.23 %","697.2 per 100k persons",1897,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Cyprus","High income","July 11, 2021","Insufficient data","Insufficient data","0.14 %","72 per 100k persons",1372,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Czech Republic","High income","August 01, 2022","10 %","5.89 per 1,000 persons","1.66 %","364.9 per 100k persons",45814,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Democratic Republic of the Congo","Low income","July 31, 2022","5.3 %","0.02 per 1,000 persons","0.58 %","0.3 per 100k persons",1171,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Denmark","High income","July 29, 2022","5.7 %","24.66 per 1,000 persons","13.92 %","6926.2 per 100k persons",545518,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Djibouti","Lower middle income","May 27, 2022","3.4 %","0.4 per 1,000 persons","9.93 %","36.3 per 100k persons",716,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Dominica","Upper middle income","December 28, 2021","6.3 %","9.41 per 1,000 persons","0.2 %","41.4 per 100k persons",39,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
