"country","code","population_size","world_bank_economies","date_tests_last_reported","days_since_tests_reported","tpr_year_smoothed_truncated","avg_daily_tests_per_1000_last_year_smoothed","cum_seq","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","dx_testing_binary","sars_cov_2_binary","ngs_capacity","facility_access","ngs_facility","archetype_orig","dx_archetype","sx_archetype","dx_testing_rec","sx_sequencing_rec","prev_dx","prev_sequ","seq_but_no_test_flag","TPR_pct","daily_tests_per_1000","pct_seq","seq_per_100k"
"Afghanistan","AFG",38928000,"Low income","May 12, 2022",81,0.1338,0.02,103,0,0,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","13.4 %","0.02 per 1,000 persons","0 %","0 per 100k persons"
"Albania","ALB",2878000,"Upper middle income","July 15, 2022",17,0.1629,0.97,58,0.01,0.56,"Meets testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Sustain","Connect/Build","Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Sustain","Connect/Build","no","16.3 %","0.97 per 1,000 persons","0.01 %","0.6 per 100k persons"
"Algeria","DZA",43851000,"Lower middle income","November 01, 2020",638,NaN,NaN,327,0.19,0.412,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","0.19 %","0.4 per 100k persons"
"American Samoa","ASM",NaN,"Upper middle income","No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient testing data","Insufficient data",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Insufficient data","Insufficient data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics","Insufficient data","Insufficient data","no","Insufficient data","Insufficient data","Insufficient data","Insufficient data"
"Andorra","AND",77000,"High income","March 01, 2022",153,0.243,5.85,273,0.81,315.054,"Does not meet testing target","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","24.3 %","5.85 per 1,000 persons","0.81 %","315.1 per 100k persons"
"Angola","AGO",32866000,"Lower middle income","July 26, 2022",6,0.0285,0.18,1282,0.57,0.977,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","2.9 %","0.18 per 1,000 persons","0.57 %","1 per 100k persons"
"Anguilla","AIA",NaN,"No income data","No tests reported",NaN,NaN,NaN,85,2.13,469.752,"Insufficient testing data","Meets sequencing target",NaN,"Insufficient data",NaN,"Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","2.13 %","469.8 per 100k persons"
"Antigua and Barbuda","ATG",98000,"High income","June 07, 2021",420,NaN,NaN,219,2.24,179.146,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","2.24 %","179.1 per 100k persons"
"Argentina","ARG",45196000,"Upper middle income","April 17, 2022",106,0.2521,1.39,20145,0.24,24.525,"Does not meet testing target","Does not meet sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","25.2 %","1.39 per 1,000 persons","0.24 %","24.5 per 100k persons"
"Armenia","ARM",2963000,"Upper middle income","June 06, 2022",56,0.1085,1.93,192,0.03,2.436,"Meets testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Sustain","Connect/Build","Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Sustain","Connect/Build","no","10.8 %","1.93 per 1,000 persons","0.03 %","2.4 per 100k persons"
"Aruba","ABW",NaN,"High income","No tests reported",NaN,NaN,NaN,3397,6.55,1863.22,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","6.55 %","1863.2 per 100k persons"
"Australia","AUS",25500000,"High income","July 29, 2022",3,0.1831,5.53,134919,1.17,424.207,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","18.3 %","5.53 per 1,000 persons","1.17 %","424.2 per 100k persons"
"Austria","AUT",9006000,"High income","July 31, 2022",1,0.0322,38.8,133438,2.33,1076.15,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","3.2 %","38.8 per 1,000 persons","2.33 %","1076.2 per 100k persons"
"Azerbaijan","AZE",10139000,"Upper middle income","July 31, 2022",1,0.1505,0.82,151,0,0.116,"Meets testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Sustain","Strengthen/Leverage","Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Sustain","Strengthen/Leverage","no","15 %","0.82 per 1,000 persons","0 %","0.1 per 100k persons"
"Bahrain","BHR",1702000,"High income","August 01, 2022",0,0.082,7.65,7906,1.8,480.091,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","8.2 %","7.65 per 1,000 persons","1.8 %","480.1 per 100k persons"
"Bangladesh","BGD",164689000,"Lower middle income","July 31, 2022",1,0.1124,0.12,7032,0.48,2.111,"Does not meet testing target","Does not meet sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","11.2 %","0.12 per 1,000 persons","0.48 %","2.1 per 100k persons"
"Barbados","BRB",287000,"High income","August 01, 2022",0,0.1708,4.87,140,0.06,17.425,"Meets testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Sustain","Connect/Build","Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Sustain","Connect/Build","no","17.1 %","4.87 per 1,000 persons","0.06 %","17.4 per 100k persons"
"Belarus","BLR",9449000,"Upper middle income","July 06, 2022",26,0.0856,1.98,520,0.08,4.385,"Meets testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Sustain","Strengthen/Leverage","Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Sustain","Strengthen/Leverage","no","8.6 %","1.98 per 1,000 persons","0.08 %","4.4 per 100k persons"
"Belgium","BEL",11590000,"High income","July 29, 2022",3,0.1834,4.24,140259,2.99,847.416,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","18.3 %","4.24 per 1,000 persons","2.99 %","847.4 per 100k persons"
"Belize","BLZ",398000,"Upper middle income","June 10, 2022",52,0.1193,3.11,879,1.17,155.488,"Meets testing target","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","11.9 %","3.11 per 1,000 persons","1.17 %","155.5 per 100k persons"
"Benin","BEN",12123000,"Lower middle income","January 25, 2022",188,NaN,NaN,861,1.33,1.931,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","1.33 %","1.9 per 100k persons"
"Bermuda","BMU",62000,"High income","July 27, 2022",5,0,26.1,134,0.6,137.104,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","No cases reported","26.1 per 1,000 persons","0.6 %","137.1 per 100k persons"
"Bhutan","BTN",772000,"Lower middle income","March 01, 2022",153,0.0136,4.67,0,0,0,"Meets testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Sustain","Connect/Build","Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Sustain","Connect/Build","no","1.4 %","4.67 per 1,000 persons","0 %","0 per 100k persons"
"Bolivia","BOL",11673000,"Lower middle income","January 02, 2022",211,0.1429,0.53,339,0.02,1.109,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","14.3 %","0.53 per 1,000 persons","0.02 %","1.1 per 100k persons"
"Bosnia and Herzegovina","BIH",3281000,"Upper middle income","August 01, 2022",0,0.326,0.46,1456,0.7,38.338,"Does not meet testing target","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","32.6 %","0.46 per 1,000 persons","0.7 %","38.3 per 100k persons"
"Botswana","BWA",2352000,"Upper middle income","May 18, 2022",75,0.2473,1.18,4359,1.58,133.286,"Does not meet testing target","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","24.7 %","1.18 per 1,000 persons","1.58 %","133.3 per 100k persons"
"Brazil","BRA",212559000,"Upper middle income","March 11, 2022",143,0.4448,0.44,166057,0.77,49.357,"Does not meet testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","44.5 %","0.44 per 1,000 persons","0.77 %","49.4 per 100k persons"
"British Indian Ocean Territory","IOT",NaN,"No income data","No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient testing data","Insufficient data",NaN,"Insufficient data",NaN,"Insufficient data","Insufficient data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics","Insufficient data","Insufficient data","no","Insufficient data","Insufficient data","Insufficient data","Insufficient data"
"British Virgin Islands","VGB",NaN,"High income","No tests reported",NaN,NaN,NaN,195,3.11,462.695,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","3.11 %","462.7 per 100k persons"
"Brunei","BRN",437000,"High income","December 14, 2021",230,0.0291,8.58,2601,1.25,578.167,"Insufficient testing data","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","2.9 %","8.58 per 1,000 persons","1.25 %","578.2 per 100k persons"
