"","name","world_bank_economies","prev_sequ","sx_archetype","prev_dx","dx_archetype","tpr_year_smoothed_truncated","avg_daily_tests_per_1000_last_year_smoothed","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","ngs_capacity","ngs_facility"
"1","Afghanistan","Low income","Connect/Build","Connect/Build","Test","Insufficient data",0.1383,0.02,0.04,0.041,0,"0 NGS facilities or equivalent"
"2","Bosnia and Herzegovina","Upper middle income","Sustain","Strengthen/Leverage","Test","Test",0.3476,0.32,0.42,16.298,1,"1-3 NGS facilities or equivalent"
"3","Botswana","Upper middle income","Sustain","Sustain","Test","Insufficient data",0.2627,1.06,2.27,113.371,1,"1-3 NGS facilities or equivalent"
"4","Colombia","Upper middle income","Sustain","Sustain","Sustain","Test",0.1412,0.49,0.89,21.342,2,"4+ NGS facilities or equivalent"
"5","Costa Rica","Upper middle income","Sustain","Sustain","Sustain","Insufficient data",0.1754,2.01,0.99,110.967,1,"1-3 NGS facilities or equivalent"
"6","France","High income","Sustain","Sustain","Sustain","Insufficient data",0.2003,9.77,1.09,485.012,2,"4+ NGS facilities or equivalent"
"7","Hungary","High income","Strengthen/Leverage","Strengthen/Leverage","Test","Insufficient data",0.2729,1.91,0.01,1.144,2,"4+ NGS facilities or equivalent"
"8","Indonesia","Upper middle income","Strengthen/Leverage","Sustain","Sustain","Sustain",0.0405,0.59,1.26,11.045,2,"4+ NGS facilities or equivalent"
"9","Malta","High income","Sustain","Connect/Build","Insufficient data","Insufficient data",NA,NA,0.45,63.755,0,"0 NGS facilities or equivalent"
"10","Portugal","High income","Sustain","Strengthen/Leverage","Sustain","Insufficient data",0.1656,11.42,0.46,197.072,2,"4+ NGS facilities or equivalent"
"11","Qatar","High income","Strengthen/Leverage","Strengthen/Leverage","Sustain","Test",0.2134,1.07,0.46,40.295,2,"4+ NGS facilities or equivalent"
"12","United Kingdom","High income","Sustain","Sustain","Sustain","Insufficient data",0.0774,13.24,10.97,2092.791,2,"4+ NGS facilities or equivalent"
"13","Vanuatu","Lower middle income","Connect/Build","Sustain","Insufficient data","Insufficient data",NA,NA,0.83,30.605,0,"0 NGS facilities or equivalent"
