"country","code","population_size","world_bank_economies","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","sars_cov_2_binary"
"Afghanistan","AFG",38928000,"Low income",0.04,0.041,"Does not meet sequencing target"
"Albania","ALB",2878000,"Upper middle income",0,0.211,"Does not meet sequencing target"
"Algeria","DZA",43851000,"Lower middle income",0.67,0.9,"Does not meet sequencing target"
"Andorra","AND",77000,"High income",1.06,397.029,"Meets sequencing target"
"Angola","AGO",32866000,"Lower middle income",0.29,0.323,"Does not meet sequencing target"
"Anguilla","AIA",NaN,"No income data",2.5,396.8,"Meets sequencing target"
"Antigua and Barbuda","ATG",98000,"High income",2.03,107.708,"Meets sequencing target"
"Argentina","ARG",45196000,"Upper middle income",0.16,15.194,"Does not meet sequencing target"
"Armenia","ARM",2963000,"Upper middle income",0.03,1.079,"Does not meet sequencing target"
"Aruba","ABW",NaN,"High income",2.93,774.946,"Meets sequencing target"
"Australia","AUS",25500000,"High income",1.16,463.72,"Meets sequencing target"
"Austria","AUT",9006000,"High income",2.84,1402.678,"Meets sequencing target"
"Azerbaijan","AZE",10139000,"Upper middle income",0.01,0.193,"Does not meet sequencing target"
"Bahrain","BHR",1702000,"High income",1.59,453.188,"Meets sequencing target"
"Bangladesh","BGD",164689000,"Lower middle income",0.51,1.373,"Does not meet sequencing target"
"Barbados","BRB",287000,"High income",0.15,43.317,"Does not meet sequencing target"
"Belarus","BLR",9449000,"Upper middle income",0.06,2.276,"Does not meet sequencing target"
"Belgium","BEL",11590000,"High income",3.23,790.019,"Meets sequencing target"
"Belize","BLZ",398000,"Upper middle income",1.62,154.459,"Meets sequencing target"
"Benin","BEN",12123000,"Lower middle income",16.43,3.834,"Does not meet sequencing target"
"Bermuda","BMU",62000,"High income",1.17,232.062,"Meets sequencing target"
"Bhutan","BTN",772000,"Lower middle income",0,0,"Does not meet sequencing target"
"Bolivia","BOL",11673000,"Lower middle income",0.01,0.671,"Does not meet sequencing target"
"Bosnia and Herzegovina","BIH",3281000,"Upper middle income",0.42,16.298,"Does not meet sequencing target"
"Botswana","BWA",2352000,"Upper middle income",2.27,113.371,"Meets sequencing target"
"Brazil","BRA",212559000,"Upper middle income",0.62,37.82,"Meets sequencing target"
"British Virgin Islands","VGB",NaN,"High income",1.85,264.905,"Meets sequencing target"
"Brunei","BRN",437000,"High income",1.53,828.059,"Meets sequencing target"
"Bulgaria","BGR",6948000,"Upper middle income",1.47,127.633,"Meets sequencing target"
"Burkina Faso","BFA",20903000,"Low income",0.34,0.084,"Does not meet sequencing target"
"Burundi","BDI",11891000,"Low income",0.31,0.729,"Does not meet sequencing target"
"Cambodia","KHM",16719000,"Lower middle income",10.42,11.146,"Meets sequencing target"
"Cameroon","CMR",26546000,"Lower middle income",3.78,2.282,"Does not meet sequencing target"
"Canada","CAN",37742000,"High income",8.59,591.057,"Meets sequencing target"
"Cape Verde","CPV",556000,"Lower middle income",1.99,82.608,"Meets sequencing target"
"Cayman Islands","CYM",NaN,"High income",0,0,"Does not meet sequencing target"
"Central African Republic","CAF",4830000,"Low income",1.3,0.842,"Does not meet sequencing target"
"Chad","TCD",16426000,"Low income",0.55,0.079,"Does not meet sequencing target"
"Chile","CHL",19116000,"High income",0.65,104.046,"Meets sequencing target"
"China","CHN",1439324000,"Upper middle income",0.06,0.057,"Does not meet sequencing target"
