"Country","Socioeconomic status","Date tests last reported","Test positivity rate (%)","Average daily tests","% of cases sequenced","Number of sequences","Cumulative number of sequences entire pandemic","Test Archetype","Sequencing Archetype"
"Afghanistan","Low income","May 12, 2022","13.8 %","0.02 per 1,000 persons","0.04 %","0 per 100k persons",120,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Albania","Upper middle income","November 21, 2022","21.8 %","0.6 per 1,000 persons","0 %","0.2 per 100k persons",58,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Algeria","Lower middle income","November 01, 2020","Insufficient data","Insufficient data","0.67 %","0.9 per 100k persons",671,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"American Samoa","Upper middle income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Andorra","High income","March 01, 2022","31.3 %","9.52 per 1,000 persons","1.06 %","397 per 100k persons",358,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Angola","Lower middle income","November 18, 2022","2.1 %","0.16 per 1,000 persons","0.29 %","0.3 per 100k persons",1283,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Antigua and Barbuda","High income","June 07, 2021","Insufficient data","Insufficient data","2.03 %","107.7 per 100k persons",239,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Argentina","Upper middle income","April 17, 2022","39 %","1.51 per 1,000 persons","0.16 %","15.2 per 100k persons",21889,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Armenia","Upper middle income","June 06, 2022","9.5 %","1.59 per 1,000 persons","0.03 %","1.1 per 100k persons",192,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Aruba","High income","No tests reported","Insufficient data","Insufficient data","2.93 %","774.9 per 100k persons",3826,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Australia","High income","September 09, 2022","32.3 %","4.25 per 1,000 persons","1.16 %","463.7 per 100k persons",170720,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Austria","High income","November 19, 2022","4.8 %","28.82 per 1,000 persons","2.84 %","1402.7 per 100k persons",187089,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Azerbaijan","Upper middle income","November 21, 2022","13 %","0.51 per 1,000 persons","0.01 %","0.2 per 100k persons",191,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Bahrain","High income","November 21, 2022","13.1 %","5.27 per 1,000 persons","1.59 %","453.2 per 100k persons",10302,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Bangladesh","Lower middle income","November 20, 2022","10.9 %","0.07 per 1,000 persons","0.51 %","1.4 per 100k persons",7424,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Barbados","High income","November 11, 2022","23.2 %","3.39 per 1,000 persons","0.15 %","43.3 per 100k persons",222,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Belarus","Upper middle income","July 06, 2022","10.3 %","1.58 per 1,000 persons","0.06 %","2.3 per 100k persons",520,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Belgium","High income","November 18, 2022","24.9 %","2.83 per 1,000 persons","3.23 %","790 per 100k persons",167943,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Belize","Upper middle income","June 10, 2022","13.4 %","2.95 per 1,000 persons","1.62 %","154.5 per 100k persons",1030,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Benin","Lower middle income","January 25, 2022","Insufficient data","Insufficient data","16.43 %","3.8 per 100k persons",1293,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Bermuda","High income","November 17, 2022","No cases reported","17.11 per 1,000 persons","1.17 %","232.1 per 100k persons",242,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Bhutan","Lower middle income","March 01, 2022","2.1 %","7.03 per 1,000 persons","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Bolivia","Lower middle income","January 02, 2022","27.5 %","0.67 per 1,000 persons","0.01 %","0.7 per 100k persons",345,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Bosnia and Herzegovina","Upper middle income","November 14, 2022","34.8 %","0.32 per 1,000 persons","0.42 %","16.3 per 100k persons",1456,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Botswana","Upper middle income","May 18, 2022","26.3 %","1.06 per 1,000 persons","2.27 %","113.4 per 100k persons",4958,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Brazil","Upper middle income","August 17, 2022","89.4 %","0.24 per 1,000 persons","0.62 %","37.8 per 100k persons",191203,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"British Virgin Islands","High income","No tests reported","Insufficient data","Insufficient data","1.85 %","264.9 per 100k persons",195,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Brunei","High income","December 14, 2021","0.7 %","8.23 per 1,000 persons","1.53 %","828.1 per 100k persons",4066,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Bulgaria","Upper middle income","November 21, 2022","13.9 %","1.74 per 1,000 persons","1.47 %","127.6 per 100k persons",20452,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Burkina Faso","Low income","March 09, 2022","9.3 %","0.03 per 1,000 persons","0.34 %","0.1 per 100k persons",664,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Burundi","Low income","November 06, 2022","2.9 %","0.25 per 1,000 persons","0.31 %","0.7 per 100k persons",157,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
