"name","Date tests last reported","Test positivity rate (%) in past year","Average daily tests in past year","% of cases sequenced in past year","Number of sequences in past year","World Bank Economic Status","COVID-19 Diagnostic Testing Capacity","SARS-CoV-2 Sequencing Capacity","NGS Facility Access","Archetype"
"Afghanistan","February 24, 2022","19.5 %","0.04 per 1000 persons","0.07 %","0.2 per 100k persons","Low income","Has not demonstrated testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Test"
"Albania","February 24, 2022","13.2 %","1.23 per 1000 persons","0.02 %","0.9 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Algeria","November 01, 2020","Insufficient data","Insufficient data","0.05 %","0.1 per 100k persons","Lower middle income","Insufficient data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"American Samoa","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data","Upper middle income","Insufficient data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Andorra","February 18, 2022","18.5 %","5.21 per 1000 persons","0.31 %","62.1 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Angola","February 24, 2022","7.6 %","0.09 per 1000 persons","1.06 %","2.2 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Antigua and Barbuda","June 07, 2021","13.2 %","0.49 per 1000 persons","2.15 %","96.2 per 100k persons","High income","Insufficient data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Argentina","February 24, 2022","25.3 %","1.62 per 1000 persons","0.16 %","14.8 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Armenia","February 24, 2022","11.4 %","2 per 1000 persons","0.04 %","2.4 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Aruba","No tests reported","Insufficient data","Insufficient data","13.63 %","2493.6 per 100k persons","High income","Insufficient data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
