"","name","world_bank_economies","prev_sequ","sx_archetype","prev_dx","dx_archetype","tpr_year_smoothed_truncated","avg_daily_tests_per_1000_last_year_smoothed","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","ngs_capacity","ngs_facility"
"1","Belarus","Upper middle income","Strengthen/Leverage","Strengthen/Leverage","Sustain","Insufficient data",0.126,1.34,0.02,0.399,1,"1-3 NGS facilities or equivalent"
"2","British Virgin Islands","High income","Connect/Build","Sustain","Insufficient data","Insufficient data",NA,NA,1.19,54.258,0,"0 NGS facilities or equivalent"
"3","Dominican Republic","Upper middle income","Strengthen/Leverage","Sustain","Test","Test",0.0952,0.31,1.37,12.673,1,"1-3 NGS facilities or equivalent"
"4","Guinea-Bissau","Low income","Connect/Build","Connect/Build","Test","Insufficient data",0.0305,0.09,0,0,0,"0 NGS facilities or equivalent"
"5","Indonesia","Upper middle income","Sustain","Strengthen/Leverage","Sustain","Test",0.0562,0.47,1.14,9.78,2,"4+ NGS facilities or equivalent"
"6","Iran","Upper middle income","Strengthen/Leverage","Strengthen/Leverage","Sustain","Test",0.1289,0.48,0.16,2.065,2,"4+ NGS facilities or equivalent"
"7","Jordan","Upper middle income","Strengthen/Leverage","Strengthen/Leverage","Sustain","Insufficient data",0.1937,1.43,0.02,0.868,2,"4+ NGS facilities or equivalent"
"8","Kuwait","High income","Strengthen/Leverage","Sustain","Insufficient data","Insufficient data",0.1006,5.3,0.55,14.266,1,"1-3 NGS facilities or equivalent"
"9","Mexico","Upper middle income","Sustain","Sustain","Test","Insufficient data",0,0.11,1.15,21.414,2,"4+ NGS facilities or equivalent"
"10","Panama","High income","Strengthen/Leverage","Sustain","Sustain","Sustain",0.1469,1.47,0.71,52.194,2,"4+ NGS facilities or equivalent"
"11","Portugal","High income","Strengthen/Leverage","Sustain","Insufficient data","Insufficient data",0.2463,6.97,0.6,165.984,2,"4+ NGS facilities or equivalent"
"12","Qatar","High income","Strengthen/Leverage","Sustain","Test","Sustain",0.1807,0.92,0.83,46.603,2,"4+ NGS facilities or equivalent"
"13","Saint Vincent and the Grenadines","Upper middle income","Sustain","Sustain","Test","Sustain",0.0816,0.8,1.33,21.162,0,"0 NGS facilities or equivalent"
"14","South Sudan","Low income","Connect/Build","Connect/Build","Test","Insufficient data",0.0093,0.05,0,0,0,"0 NGS facilities or equivalent"
"15","Suriname","Upper middle income","Connect/Build","Sustain","Insufficient data","Insufficient data",NA,NA,0.91,11.811,0,"0 NGS facilities or equivalent"
"16","The Bahamas","High income","Connect/Build","Connect/Build","Sustain","Test",0.0933,0.45,0,0,0,"0 NGS facilities or equivalent"
"17","Vatican City","No income data","Connect/Build","Insufficient data","Insufficient data","Insufficient data",NA,NA,NA,0,NA,NA
