"country","code","population_size","world_bank_economies","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","sars_cov_2_binary"
"Afghanistan","AFG",38928000,"Low income",0.04,0.041,"Does not meet sequencing target"
"Albania","ALB",2878000,"Upper middle income",0,0.07,"Does not meet sequencing target"
"Algeria","DZA",43851000,"Lower middle income",2.28,0.909,"Does not meet sequencing target"
"Andorra","AND",77000,"High income",2.21,329.396,"Meets sequencing target"
"Angola","AGO",32866000,"Lower middle income",0.76,0.149,"Does not meet sequencing target"
"Antigua and Barbuda","ATG",98000,"High income",2.34,61.852,"Meets sequencing target"
"Argentina","ARG",45196000,"Upper middle income",0.23,8.295,"Does not meet sequencing target"
"Armenia","ARM",2963000,"Upper middle income",0,0.036,"Does not meet sequencing target"
"Aruba","ABW",NaN,"High income",7.05,778.704,"Meets sequencing target"
"Australia","AUS",25500000,"High income",1.28,424.87,"Meets sequencing target"
"Austria","AUT",9006000,"High income",3.68,1616.769,"Meets sequencing target"
"Azerbaijan","AZE",10139000,"Upper middle income",0,0.048,"Does not meet sequencing target"
"Bahrain","BHR",1702000,"High income",1.66,358.706,"Meets sequencing target"
"Bangladesh","BGD",164689000,"Lower middle income",0.48,0.629,"Does not meet sequencing target"
"Barbados","BRB",287000,"High income",0.21,45.092,"Does not meet sequencing target"
"Belarus","BLR",9449000,"Upper middle income",0.02,0.399,"Does not meet sequencing target"
"Belgium","BEL",11590000,"High income",4.52,584.072,"Meets sequencing target"
"Belize","BLZ",398000,"Upper middle income",1.81,83.151,"Meets sequencing target"
"Benin","BEN",12123000,"Lower middle income",2.79,0.322,"Does not meet sequencing target"
"Bermuda","BMU",62000,"High income",1.62,200.913,"Meets sequencing target"
"Bhutan","BTN",772000,"Lower middle income",0,0,"Does not meet sequencing target"
"Bolivia","BOL",11673000,"Lower middle income",0,0.025,"Does not meet sequencing target"
"Bosnia and Herzegovina","BIH",3281000,"Upper middle income",0.11,1.701,"Does not meet sequencing target"
"Botswana","BWA",2352000,"Upper middle income",2.31,68.547,"Meets sequencing target"
"Brazil","BRA",212559000,"Upper middle income",0.58,30.055,"Meets sequencing target"
"British Virgin Islands","VGB",NaN,"High income",1.19,54.258,"Meets sequencing target"
"Brunei","BRN",437000,"High income",1.43,826.722,"Meets sequencing target"
"Bulgaria","BGR",6948000,"Upper middle income",1.25,61.162,"Meets sequencing target"
"Burkina Faso","BFA",20903000,"Low income",0,0,"Does not meet sequencing target"
"Burundi","BDI",11891000,"Low income",0,0,"Does not meet sequencing target"
"Cambodia","KHM",16719000,"Lower middle income",8.6,8.874,"Does not meet sequencing target"
"Cameroon","CMR",26546000,"Lower middle income",0.88,0.229,"Does not meet sequencing target"
"Canada","CAN",37742000,"High income",13.06,507.537,"Meets sequencing target"
"Cape Verde","CPV",556000,"Lower middle income",4.16,52.599,"Meets sequencing target"
"Cayman Islands","CYM",NaN,"High income",0,0,"Does not meet sequencing target"
"Central African Republic","CAF",4830000,"Low income",0,0,"Does not meet sequencing target"
"Chad","TCD",16426000,"Low income",0,0,"Does not meet sequencing target"
"Chile","CHL",19116000,"High income",0.63,94.334,"Meets sequencing target"
"China","CHN",1439324000,"Upper middle income",0.59,0.783,"Does not meet sequencing target"
"Colombia","COL",50883000,"Upper middle income",1.82,15.823,"Meets sequencing target"
"Comoros","COM",870000,"Lower middle income",0.69,0.956,"Does not meet sequencing target"
"Costa Rica","CRI",5094000,"Upper middle income",1.27,119.112,"Meets sequencing target"
"Croatia","HRV",4105000,"High income",5.21,417.233,"Meets sequencing target"
"Cuba","CUB",11327000,"Upper middle income",0.54,3.202,"Does not meet sequencing target"
"Curaçao","CUW",NaN,"High income",10.14,461.885,"Meets sequencing target"
"Cyprus","CYP",1207000,"High income",0.07,30.803,"Does not meet sequencing target"
"Czech Republic","CZE",10709000,"High income",1.83,252.935,"Meets sequencing target"
"Democratic Republic of the Congo","COD",89561000,"Low income",1.42,0.145,"Does not meet sequencing target"
"Denmark","DNK",5792000,"High income",17.1,4686.431,"Meets sequencing target"
"Djibouti","DJI",988000,"Lower middle income",94.5,18.379,"Meets sequencing target"
"Dominica","DMA",72000,"Upper middle income",0.14,12.37,"Does not meet sequencing target"
"Dominican Republic","DOM",10848000,"Upper middle income",1.37,12.673,"Meets sequencing target"
"East Timor","TLS",NaN,"Lower middle income",0,0,"Does not meet sequencing target"
"Ecuador","ECU",17643000,"Upper middle income",1.38,23.993,"Meets sequencing target"
"Egypt","EGY",102334000,"Lower middle income",1.1,0.867,"Does not meet sequencing target"
"El Salvador","SLV",6486000,"Lower middle income",0.22,2.351,"Does not meet sequencing target"
"Equatorial Guinea","GNQ",1403000,"Upper middle income",0,0,"Does not meet sequencing target"
"Eritrea","ERI",3546000,"Low income",0,0,"Does not meet sequencing target"
"Estonia","EST",1327000,"High income",1.97,402.243,"Meets sequencing target"
"Eswatini","SWZ",1160000,"Lower middle income",4.27,20.305,"Meets sequencing target"
"Ethiopia","ETH",114964000,"Low income",0.02,0.006,"Does not meet sequencing target"
"Faroe Islands","FRO",49000,"High income",0,0,"Does not meet sequencing target"
"Fiji","FJI",896000,"Upper middle income",0,0,"Does not meet sequencing target"
"Finland","FIN",5541000,"High income",1.63,284.456,"Meets sequencing target"
"France","FRA",65274000,"High income",1.33,390.515,"Meets sequencing target"
"French Polynesia","PYF",281000,"High income",0,0,"Does not meet sequencing target"
"Gabon","GAB",2226000,"Upper middle income",0.1,0.084,"Does not meet sequencing target"
"Georgia","GEO",3989000,"Upper middle income",0.22,35.547,"Does not meet sequencing target"
"Germany","DEU",83784000,"High income",1.63,544.052,"Meets sequencing target"
"Ghana","GHA",31073000,"Lower middle income",8.56,3.629,"Does not meet sequencing target"
"Gibraltar","GIB",NaN,"High income",0,0,"Does not meet sequencing target"
"Greece","GRC",10423000,"High income",0.37,127.906,"Does not meet sequencing target"
"Greenland","GRL",57000,"High income",0,0,"Does not meet sequencing target"
"Grenada","GRD",113000,"Upper middle income",0,0,"Does not meet sequencing target"
"Guatemala","GTM",17916000,"Upper middle income",0.47,14.066,"Does not meet sequencing target"
"Guinea","GIN",13133000,"Low income",5.59,0.837,"Does not meet sequencing target"
"Guinea-Bissau","GNB",1968000,"Low income",0,0,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.16,2.597,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.16,2.597,"Does not meet sequencing target"
"Haiti","HTI",NaN,"Low income",2.15,0.846,"Does not meet sequencing target"
"Honduras","HND",9905000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Hong Kong SAR, China","HKG",7497000,"High income",0.34,130.3,"Does not meet sequencing target"
"Hungary","HUN",9660000,"High income",0.02,1.515,"Does not meet sequencing target"
"Iceland","ISL",341000,"High income",2.26,847.942,"Meets sequencing target"
"India","IND",1380004000,"Lower middle income",2.12,4.579,"Does not meet sequencing target"
"Indonesia","IDN",273524000,"Upper middle income",1.14,9.78,"Does not meet sequencing target"
"Iran","IRN",83993000,"Upper middle income",0.16,2.065,"Does not meet sequencing target"
"Iraq","IRQ",40223000,"Upper middle income",0.1,0.582,"Does not meet sequencing target"
"Ireland","IRL",4938000,"High income",7.78,802.81,"Meets sequencing target"
"Isle of Man","IMN",NaN,"High income",0,0,"Does not meet sequencing target"
"Israel","ISR",8656000,"High income",5.39,1037.263,"Meets sequencing target"
"Italy","ITA",60462000,"High income",0.42,101.495,"Does not meet sequencing target"
"Ivory Coast","CIV",26378000,"Lower middle income",1.82,0.465,"Does not meet sequencing target"
"Jamaica","JAM",2961000,"Upper middle income",4.33,43.786,"Meets sequencing target"
"Japan","JPN",126476000,"High income",1.05,251.774,"Meets sequencing target"
"Jordan","JOR",10203000,"Upper middle income",0.02,0.868,"Does not meet sequencing target"
"Kazakhstan","KAZ",18777000,"Upper middle income",0.34,2.861,"Does not meet sequencing target"
"Kenya","KEN",53771000,"Lower middle income",8.01,3.152,"Does not meet sequencing target"
"Kiribati","KIR",NaN,"Lower middle income",2.44,81.532,"Meets sequencing target"
"Kuwait","KWT",4271000,"High income",0.55,14.266,"Meets sequencing target"
"Kyrgyzstan","KGZ",6524000,"Lower middle income",0,0,"Does not meet sequencing target"
"Laos","LAO",NaN,"Lower middle income",0.76,8.434,"Does not meet sequencing target"
"Latvia","LVA",1886000,"High income",2.18,674.788,"Meets sequencing target"
"Lebanon","LBN",6825000,"Upper middle income",0.05,2.787,"Does not meet sequencing target"
"Lesotho","LSO",2142000,"Lower middle income",2.14,2.429,"Does not meet sequencing target"
"Liberia","LBR",5058000,"Low income",0,0,"Does not meet sequencing target"
"Libya","LBY",6871000,"Upper middle income",0.04,0.47,"Does not meet sequencing target"
"Liechtenstein","LIE",NaN,"High income",10.03,3138.102,"Meets sequencing target"
"Lithuania","LTU",2722000,"High income",1.37,289.121,"Meets sequencing target"
"Luxembourg","LUX",626000,"High income",17.98,4310.525,"Meets sequencing target"
"Macao SAR, China","MAC",NaN,"High income",0,0,"Does not meet sequencing target"
"Madagascar","MDG",27691000,"Low income",0.16,0.047,"Does not meet sequencing target"
"Malawi","MWI",19130000,"Low income",1.56,0.309,"Does not meet sequencing target"
"Malaysia","MYS",32366000,"Upper middle income",1.14,72.349,"Meets sequencing target"
"Maldives","MDV",541000,"Upper middle income",0.3,25.773,"Does not meet sequencing target"
"Mali","MLI",20251000,"Low income",2.27,0.27,"Does not meet sequencing target"
"Malta","MLT",442000,"High income",0.01,0.563,"Does not meet sequencing target"
"Marshall Islands","MHL",NaN,"Upper middle income",0.17,62.511,"Does not meet sequencing target"
"Mauritania","MRT",4650000,"Lower middle income",0.13,0.148,"Does not meet sequencing target"
"Mauritius","MUS",1272000,"High income",2.71,390.234,"Meets sequencing target"
"Mexico","MEX",128933000,"Upper middle income",1.15,21.414,"Meets sequencing target"
"Micronesia","FSM",NaN,"Lower middle income",0,0,"Does not meet sequencing target"
"Moldova","MDA",4034000,"Lower middle income",0.24,11.152,"Does not meet sequencing target"
"Monaco","MCO",NaN,"High income",0.2,43.846,"Does not meet sequencing target"
"Mongolia","MNG",NaN,"Lower middle income",0.37,17.773,"Does not meet sequencing target"
"Montenegro","MNE",628000,"Upper middle income",0.39,40.505,"Does not meet sequencing target"
"Morocco","MAR",36911000,"Lower middle income",0.72,2.619,"Does not meet sequencing target"
"Mozambique","MOZ",31255000,"Low income",5.61,1.368,"Does not meet sequencing target"
"Myanmar","MMR",54410000,"Lower middle income",0.04,0.065,"Does not meet sequencing target"
"Namibia","NAM",2541000,"Upper middle income",1,6.233,"Does not meet sequencing target"
"Nauru","NRU",NaN,"High income",0,0,"Does not meet sequencing target"
"Nepal","NPL",29137000,"Lower middle income",1.23,1.755,"Does not meet sequencing target"
"Netherlands","NLD",17135000,"High income",1.41,320.103,"Meets sequencing target"
"New Caledonia","NCL",285000,"High income",0.1,20.003,"Does not meet sequencing target"
"New Zealand","NZL",4822000,"High income",1.08,453.167,"Meets sequencing target"
"Nicaragua","NIC",NaN,"Lower middle income",6.89,1.871,"Does not meet sequencing target"
"Niger","NER",24207000,"Low income",5.51,0.179,"Does not meet sequencing target"
"Nigeria","NGA",206140000,"Lower middle income",7.37,0.444,"Does not meet sequencing target"
"North Korea","PRK",NaN,"Low income",0,NaN,"Does not meet sequencing target"
"North Macedonia","MKD",2083000,"Upper middle income",0.26,9.362,"Does not meet sequencing target"
"Norway","NOR",5421000,"High income",3.47,430.357,"Meets sequencing target"
"Oman","OMN",5107000,"High income",0.17,2.185,"Does not meet sequencing target"
"Pakistan","PAK",220892000,"Lower middle income",1.7,1.011,"Does not meet sequencing target"
"Palau","PLW",NaN,"High income",1.32,304.136,"Meets sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0,"Does not meet sequencing target"
"Panama","PAN",4315000,"High income",0.71,52.194,"Meets sequencing target"
"Papua New Guinea","PNG",8947000,"Lower middle income",7.44,6.951,"Does not meet sequencing target"
"Paraguay","PRY",7133000,"Upper middle income",0.59,18.906,"Meets sequencing target"
"Peru","PER",32972000,"Upper middle income",2.02,73.919,"Meets sequencing target"
"Philippines","PHL",109581000,"Lower middle income",1.43,6.254,"Does not meet sequencing target"
"Poland","POL",37847000,"High income",1.54,56.05,"Meets sequencing target"
"Portugal","PRT",10197000,"High income",0.6,165.984,"Meets sequencing target"
"Qatar","QAT",2881000,"High income",0.83,46.603,"Meets sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",5.03,1.407,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",5.03,1.407,"Does not meet sequencing target"
"Romania","ROU",19238000,"High income",0.7,38.206,"Meets sequencing target"
"Russia","RUS",145934000,"Upper middle income",0.36,24.228,"Does not meet sequencing target"
"Rwanda","RWA",12952000,"Low income",0,0,"Does not meet sequencing target"
"Saint Kitts and Nevis","KNA",53000,"High income",0,0,"Does not meet sequencing target"
"Saint Lucia","LCA",184000,"Upper middle income",1.49,73.386,"Meets sequencing target"
"Saint Vincent and the Grenadines","VCT",111000,"Upper middle income",1.33,21.162,"Meets sequencing target"
"Samoa","WSM",NaN,"Upper middle income",0,0,"Does not meet sequencing target"
"San Marino","SMR",34000,"High income",0,0,"Does not meet sequencing target"
"São Tomé and Príncipe","STP",219000,"Lower middle income",0,0,"Does not meet sequencing target"
"Saudi Arabia","SAU",34814000,"High income",0.24,0.909,"Does not meet sequencing target"
"Senegal","SEN",16744000,"Lower middle income",18.01,4.019,"Does not meet sequencing target"
"Serbia","SRB",8737000,"Upper middle income",0.18,20.81,"Does not meet sequencing target"
"Seychelles","SYC",98000,"High income",1.9,238.951,"Meets sequencing target"
"Sierra Leone","SLE",7977000,"Low income",0,0,"Does not meet sequencing target"
"Singapore","SGP",5850000,"High income",0.91,299.005,"Meets sequencing target"
"Slovakia","SVK",5460000,"High income",2.05,389.301,"Meets sequencing target"
"Slovenia","SVN",2079000,"High income",4.03,1137.914,"Meets sequencing target"
"Solomon Islands","SLB",NaN,"Lower middle income",1.46,46.668,"Meets sequencing target"
"Somalia","SOM",15893000,"Low income",0,0,"Does not meet sequencing target"
"South Africa","ZAF",59309000,"Upper middle income",2.87,21.475,"Meets sequencing target"
"South Korea","KOR",51269000,"High income",0.27,152.6,"Does not meet sequencing target"
"South Sudan","SSD",11194000,"Low income",0,0,"Does not meet sequencing target"
"Spain","ESP",46755000,"High income",2.12,164.492,"Meets sequencing target"
"Sri Lanka","LKA",21413000,"Lower middle income",1.02,2.776,"Does not meet sequencing target"
"Sudan","SDN",43849000,"Low income",0,0,"Does not meet sequencing target"
"Suriname","SUR",NaN,"Upper middle income",0.91,11.811,"Meets sequencing target"
"Sweden","SWE",10099000,"High income",13.56,655.026,"Meets sequencing target"
"Switzerland","CHE",8655000,"High income",1.7,419.703,"Meets sequencing target"
