"Country","Socioeconomic status","Date tests last reported","Test positivity rate (%)","Average daily tests","% of cases sequenced","Number of sequences","Cumulative number of sequences entire pandemic","Test Archetype","Sequencing Archetype"
"Afghanistan","Low income","May 12, 2022","18.6 %","0.02 per 1,000 persons","0.04 %","0 per 100k persons",120,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Albania","Upper middle income","February 01, 2023","21.1 %","0.36 per 1,000 persons","0 %","0.1 per 100k persons",58,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Algeria","Lower middle income","November 01, 2020","Insufficient data","Insufficient data","2.28 %","0.9 per 100k persons",750,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"American Samoa","Upper middle income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Andorra","High income","March 01, 2022","57.2 %","1.94 per 1,000 persons","2.21 %","329.4 per 100k persons",393,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Angola","Lower middle income","December 30, 2022","0.4 %","0.15 per 1,000 persons","0.76 %","0.1 per 100k persons",1336,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Antigua and Barbuda","High income","June 07, 2021","Insufficient data","Insufficient data","2.34 %","61.9 per 100k persons",240,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Argentina","Upper middle income","April 17, 2022","23.2 %","0.94 per 1,000 persons","0.23 %","8.3 per 100k persons",22647,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Armenia","Upper middle income","June 06, 2022","15 %","1.04 per 1,000 persons","0 %","0 per 100k persons",192,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Aruba","High income","No tests reported","Insufficient data","Insufficient data","7.05 %","778.7 per 100k persons",3979,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Australia","High income","September 09, 2022","43.1 %","3.12 per 1,000 persons","1.28 %","424.9 per 100k persons",184721,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Austria","High income","February 01, 2023","6.2 %","19.66 per 1,000 persons","3.68 %","1616.8 per 100k persons",219642,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Azerbaijan","Upper middle income","February 01, 2023","13.1 %","0.37 per 1,000 persons","0 %","0 per 100k persons",191,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Bahrain","High income","December 22, 2022","17.5 %","3.45 per 1,000 persons","1.66 %","358.7 per 100k persons",10302,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Bangladesh","Lower middle income","January 30, 2023","9.4 %","0.05 per 1,000 persons","0.48 %","0.6 per 100k persons",7500,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Barbados","High income","January 20, 2023","24.1 %","2.54 per 1,000 persons","0.21 %","45.1 per 100k persons",242,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Belarus","Upper middle income","July 06, 2022","12.6 %","1.34 per 1,000 persons","0.02 %","0.4 per 100k persons",520,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Belgium","High income","January 27, 2023","24.6 %","1.57 per 1,000 persons","4.52 %","584.1 per 100k persons",171226,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Belize","Upper middle income","June 10, 2022","8.7 %","2.26 per 1,000 persons","1.81 %","83.2 per 100k persons",1030,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Benin","Lower middle income","January 25, 2022","Insufficient data","Insufficient data","2.79 %","0.3 per 100k persons",1293,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Bermuda","High income","January 26, 2023","No cases reported","11.92 per 1,000 persons","1.62 %","200.9 per 100k persons",258,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Bhutan","Lower middle income","March 01, 2022","2.9 %","12.05 per 1,000 persons","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Bolivia","Lower middle income","January 02, 2022","Insufficient data","Insufficient data","0 %","0 per 100k persons",345,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Bosnia and Herzegovina","Upper middle income","December 05, 2022","28.8 %","0.21 per 1,000 persons","0.11 %","1.7 per 100k persons",1456,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Botswana","Upper middle income","May 18, 2022","32.5 %","0.67 per 1,000 persons","2.31 %","68.5 per 100k persons",5256,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Brazil","Upper middle income","August 17, 2022","77.2 %","0.28 per 1,000 persons","0.58 %","30.1 per 100k persons",211933,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"British Virgin Islands","High income","No tests reported","Insufficient data","Insufficient data","1.19 %","54.3 per 100k persons",198,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Brunei","High income","December 14, 2021","Insufficient data","Insufficient data","1.43 %","826.7 per 100k persons",4948,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Bulgaria","Upper middle income","February 01, 2023","12.8 %","1.1 per 1,000 persons","1.25 %","61.2 per 100k persons",20452,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Burkina Faso","Low income","March 09, 2022","0.9 %","0.02 per 1,000 persons","0 %","0 per 100k persons",664,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Burundi","Low income","January 03, 2023","2.1 %","0.17 per 1,000 persons","0 %","0 per 100k persons",157,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Cambodia","Lower middle income","November 01, 2022","5.2 %","0.07 per 1,000 persons","8.6 %","8.9 per 100k persons",3876,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Cameroon","Lower middle income","August 25, 2022","0.7 %","0.18 per 1,000 persons","0.88 %","0.2 per 100k persons",1373,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Canada","High income","November 28, 2022","14 %","0.89 per 1,000 persons","13.06 %","507.5 per 100k persons",462474,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cape Verde","Lower middle income","January 03, 2023","7.3 %","0.55 per 1,000 persons","4.16 %","52.6 per 100k persons",755,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cayman Islands","High income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",101,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Central African Republic","Low income","January 03, 2023","4.6 %","0.02 per 1,000 persons","0 %","0 per 100k persons",110,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Chad","Low income","December 30, 2022","1.9 %","0.01 per 1,000 persons","0 %","0 per 100k persons",49,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
