"","name","world_bank_economies","prev_sequ","sx_archetype","prev_dx","dx_archetype","tpr_year_smoothed_truncated","avg_daily_tests_per_1000_last_year_smoothed","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","ngs_capacity","ngs_facility"
"1","Armenia","Upper middle income","Connect/Build","Connect/Build","Sustain","Insufficient data",0.1237,1.34,0.03,0.935,0,"0 NGS facilities or equivalent"
"2","Azerbaijan","Upper middle income","Strengthen/Leverage","Strengthen/Leverage","Sustain","Test",0.1328,0.43,0.01,0.193,1,"1-3 NGS facilities or equivalent"
"3","Belize","Upper middle income","Sustain","Sustain","Sustain","Insufficient data",0.1499,2.94,1.2,107.579,0,"0 NGS facilities or equivalent"
"4","British Virgin Islands","High income","Sustain","Connect/Build","Insufficient data","Insufficient data",NA,NA,0.45,54.258,0,"0 NGS facilities or equivalent"
"5","Cambodia","Lower middle income","Sustain","Strengthen/Leverage","Test","Test",0.0496,0.07,9.2,9.655,1,"1-3 NGS facilities or equivalent"
"6","Czech Republic","High income","Sustain","Sustain","Sustain","Test",0.2138,2.55,1.47,292.815,1,"1-3 NGS facilities or equivalent"
"7","Gibraltar","High income","Sustain","Connect/Build","Insufficient data","Insufficient data",NA,NA,0,0,0,"0 NGS facilities or equivalent"
"8","India","Lower middle income","Strengthen/Leverage","Strengthen/Leverage","Sustain","Test",0.0419,0.47,0.93,6.417,2,"4+ NGS facilities or equivalent"
"9","Maldives","Upper middle income","Sustain","Connect/Build","Insufficient data","Insufficient data",NA,NA,0.35,59.565,0,"0 NGS facilities or equivalent"
"10","Namibia","Upper middle income","Sustain","Connect/Build","Test","Test",0.1046,0.33,0.93,8.103,0,"0 NGS facilities or equivalent"
"11","Panama","High income","Sustain","Strengthen/Leverage","Sustain","Sustain",0.1888,1.93,0.48,54.349,2,"4+ NGS facilities or equivalent"
"12","Republic of the Congo","Lower middle income","Connect/Build","Connect/Build","Test","Insufficient data",0.0353,0.11,0.62,0.553,0,"0 NGS facilities or equivalent"
"13","Romania","High income","Sustain","Sustain","Sustain","Insufficient data",0.1739,1.85,0.64,48.145,1,"1-3 NGS facilities or equivalent"
"14","Rwanda","Low income","Connect/Build","Connect/Build","Sustain","Test",0.012,0.43,0.27,0.399,0,"0 NGS facilities or equivalent"
"15","Saint Kitts and Nevis","High income","Sustain","Connect/Build","Sustain","Sustain",0.0495,3.79,0.48,35.654,0,"0 NGS facilities or equivalent"
"16","Senegal","Lower middle income","Sustain","Strengthen/Leverage","Test","Test",0.038,0.06,10.83,8.466,1,"1-3 NGS facilities or equivalent"
"17","Somalia","Low income","Connect/Build","Connect/Build","Test","Insufficient data",0.0272,0.04,0.08,0.017,0,"0 NGS facilities or equivalent"
"18","Sri Lanka","Lower middle income","Strengthen/Leverage","Strengthen/Leverage","Test","Insufficient data",0.0766,0.28,1.23,4.736,1,"1-3 NGS facilities or equivalent"
"19","Suriname","Upper middle income","Sustain","Connect/Build","Insufficient data","Insufficient data",NA,NA,0.49,22.814,0,"0 NGS facilities or equivalent"
"20","The Gambia","Low income","Sustain","Strengthen/Leverage","Test","Test",0.051,0.07,9.98,8.906,1,"1-3 NGS facilities or equivalent"
"21","Turkey","Upper middle income","Strengthen/Leverage","Strengthen/Leverage","Sustain","Test",0.2147,1.35,0.26,22.933,2,"4+ NGS facilities or equivalent"
"22","Ukraine","Lower middle income","Strengthen/Leverage","Strengthen/Leverage","Test","Insufficient data",0.5156,0.38,0.03,1.471,1,"1-3 NGS facilities or equivalent"
"23","United Arab Emirates","High income","Strengthen/Leverage","Strengthen/Leverage","Sustain","Insufficient data",0.0032,32.82,0,0.011,2,"4+ NGS facilities or equivalent"
