"country","code","population_size","world_bank_economies","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","sars_cov_2_binary"
"Afghanistan","AFG",38928000,"Low income",0.04,0.041,"Does not meet sequencing target"
"Albania","ALB",2878000,"Upper middle income",0,0.106,"Does not meet sequencing target"
"Algeria","DZA",43851000,"Lower middle income",0.71,0.822,"Does not meet sequencing target"
"Andorra","AND",77000,"High income",1.18,348.183,"Meets sequencing target"
"Angola","AGO",32866000,"Lower middle income",0.16,0.101,"Does not meet sequencing target"
"Anguilla","AIA",NaN,"No income data",1.93,270.832,"Meets sequencing target"
"Antigua and Barbuda","ATG",98000,"High income",1.49,76.782,"Meets sequencing target"
"Argentina","ARG",45196000,"Upper middle income",0.11,10.064,"Does not meet sequencing target"
"Armenia","ARM",2963000,"Upper middle income",0.03,0.935,"Does not meet sequencing target"
"Aruba","ABW",NaN,"High income",2.99,661.287,"Meets sequencing target"
"Australia","AUS",25500000,"High income",1.07,416.447,"Meets sequencing target"
"Austria","AUT",9006000,"High income",2.83,1360.83,"Meets sequencing target"
"Azerbaijan","AZE",10139000,"Upper middle income",0.01,0.193,"Does not meet sequencing target"
"Bahrain","BHR",1702000,"High income",1.37,385.807,"Meets sequencing target"
"Bangladesh","BGD",164689000,"Lower middle income",0.45,1.185,"Does not meet sequencing target"
"Barbados","BRB",287000,"High income",0.14,38.346,"Does not meet sequencing target"
"Belarus","BLR",9449000,"Upper middle income",0.05,1.458,"Does not meet sequencing target"
"Belgium","BEL",11590000,"High income",3.21,696.976,"Meets sequencing target"
"Belize","BLZ",398000,"Upper middle income",1.2,107.579,"Meets sequencing target"
"Benin","BEN",12123000,"Lower middle income",4.6,1.048,"Does not meet sequencing target"
"Bermuda","BMU",62000,"High income",0.94,175.993,"Meets sequencing target"
"Bhutan","BTN",772000,"Lower middle income",0,0,"Does not meet sequencing target"
"Bolivia","BOL",11673000,"Lower middle income",0.01,0.237,"Does not meet sequencing target"
"Bosnia and Herzegovina","BIH",3281000,"Upper middle income",0.14,4.639,"Does not meet sequencing target"
"Botswana","BWA",2352000,"Upper middle income",1.82,73.946,"Meets sequencing target"
"Brazil","BRA",212559000,"Upper middle income",0.57,34.341,"Meets sequencing target"
"British Virgin Islands","VGB",NaN,"High income",0.45,54.258,"Does not meet sequencing target"
"Brunei","BRN",437000,"High income",1.45,784.629,"Meets sequencing target"
"Bulgaria","BGR",6948000,"Upper middle income",1.35,107.034,"Meets sequencing target"
"Burkina Faso","BFA",20903000,"Low income",0.25,0.044,"Does not meet sequencing target"
"Burundi","BDI",11891000,"Low income",0,0,"Does not meet sequencing target"
"Cambodia","KHM",16719000,"Lower middle income",9.2,9.655,"Does not meet sequencing target"
"Cameroon","CMR",26546000,"Lower middle income",2.93,1.533,"Does not meet sequencing target"
"Canada","CAN",37742000,"High income",8.76,499.169,"Meets sequencing target"
"Cape Verde","CPV",556000,"Lower middle income",1.97,68.447,"Meets sequencing target"
"Cayman Islands","CYM",NaN,"High income",0,0,"Does not meet sequencing target"
"Central African Republic","CAF",4830000,"Low income",1.46,0.824,"Does not meet sequencing target"
"Chad","TCD",16426000,"Low income",0.21,0.017,"Does not meet sequencing target"
"Chile","CHL",19116000,"High income",0.57,90.937,"Meets sequencing target"
"China","CHN",1439324000,"Upper middle income",0.05,0.053,"Does not meet sequencing target"
"Colombia","COL",50883000,"Upper middle income",0.84,18.566,"Meets sequencing target"
"Comoros","COM",870000,"Lower middle income",0.53,1.434,"Does not meet sequencing target"
"Cook Islands","COK",NaN,"No income data",0,0,"Does not meet sequencing target"
"Costa Rica","CRI",5094000,"Upper middle income",0.93,103.555,"Meets sequencing target"
"Croatia","HRV",4105000,"High income",3.93,519.854,"Meets sequencing target"
"Cuba","CUB",11327000,"Upper middle income",0.27,3.55,"Does not meet sequencing target"
"Curaçao","CUW",NaN,"High income",4.37,544.533,"Meets sequencing target"
"Cyprus","CYP",1207000,"High income",0.1,51.227,"Does not meet sequencing target"
"Czech Republic","CZE",10709000,"High income",1.47,292.815,"Meets sequencing target"
"Democratic Republic of the Congo","COD",89561000,"Low income",0.77,0.15,"Does not meet sequencing target"
"Denmark","DNK",5792000,"High income",12.35,5313.299,"Meets sequencing target"
"Djibouti","DJI",988000,"Lower middle income",19.14,34.527,"Meets sequencing target"
"Dominica","DMA",72000,"Upper middle income",0.12,15.119,"Does not meet sequencing target"
"Dominican Republic","DOM",10848000,"Upper middle income",0.42,8.523,"Does not meet sequencing target"
"East Timor","TLS",NaN,"Lower middle income",0.03,0.075,"Does not meet sequencing target"
"Ecuador","ECU",17643000,"Upper middle income",0.89,22.61,"Meets sequencing target"
"Egypt","EGY",102334000,"Lower middle income",0.91,1.058,"Does not meet sequencing target"
"El Salvador","SLV",6486000,"Lower middle income",0.37,4.624,"Does not meet sequencing target"
"Equatorial Guinea","GNQ",1403000,"Upper middle income",0.06,0.119,"Does not meet sequencing target"
"Eritrea","ERI",3546000,"Low income",0,0,"Does not meet sequencing target"
"Estonia","EST",1327000,"High income",1.65,457.821,"Meets sequencing target"
"Eswatini","SWZ",1160000,"Lower middle income",3.92,24.549,"Meets sequencing target"
"Ethiopia","ETH",114964000,"Low income",0.08,0.043,"Does not meet sequencing target"
"Falkland Islands","FLK",NaN,"No income data",0,0,"Does not meet sequencing target"
"Faroe Islands","FRO",49000,"High income",0,0,"Does not meet sequencing target"
"Fiji","FJI",896000,"Upper middle income",0,0,"Does not meet sequencing target"
"Finland","FIN",5541000,"High income",1.21,243.289,"Meets sequencing target"
"France","FRA",65274000,"High income",1.02,415.258,"Meets sequencing target"
"French Polynesia","PYF",281000,"High income",0,0,"Does not meet sequencing target"
"Gabon","GAB",2226000,"Upper middle income",0.03,0.084,"Does not meet sequencing target"
"Georgia","GEO",3989000,"Upper middle income",0.16,37.737,"Does not meet sequencing target"
"Germany","DEU",83784000,"High income",1.62,569.418,"Meets sequencing target"
"Ghana","GHA",31073000,"Lower middle income",2.81,2.27,"Does not meet sequencing target"
"Gibraltar","GIB",NaN,"High income",0,0,"Does not meet sequencing target"
"Greece","GRC",10423000,"High income",0.22,88.358,"Does not meet sequencing target"
"Greenland","GRL",57000,"High income",0,0,"Does not meet sequencing target"
"Grenada","GRD",113000,"Upper middle income",0,0,"Does not meet sequencing target"
"Guatemala","GTM",17916000,"Upper middle income",0.25,7.431,"Does not meet sequencing target"
"Guinea","GIN",13133000,"Low income",4.98,2.049,"Does not meet sequencing target"
"Guinea-Bissau","GNB",1968000,"Low income",0,0,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.25,10.016,"Does not meet sequencing target"
