"Country","Socioeconomic status","Date tests last reported","Test positivity rate (%)","Average daily tests","% of cases sequenced","Number of sequences","Cumulative number of sequences entire pandemic","Test Archetype","Sequencing Archetype"
"Afghanistan","Low income","May 12, 2022","16.3 %","0.02 per 1,000 persons","0.04 %","0 per 100k persons",120,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Albania","Upper middle income","January 01, 2023","22.9 %","0.52 per 1,000 persons","0 %","0.1 per 100k persons",58,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Algeria","Lower middle income","November 01, 2020","Insufficient data","Insufficient data","0.71 %","0.8 per 100k persons",671,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"American Samoa","Upper middle income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Andorra","High income","March 01, 2022","49.2 %","6.51 per 1,000 persons","1.18 %","348.2 per 100k persons",358,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Angola","Lower middle income","December 30, 2022","1.6 %","0.15 per 1,000 persons","0.16 %","0.1 per 100k persons",1283,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Antigua and Barbuda","High income","June 07, 2021","Insufficient data","Insufficient data","1.49 %","76.8 per 100k persons",239,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Argentina","Upper middle income","April 17, 2022","44.2 %","1.6 per 1,000 persons","0.11 %","10.1 per 100k persons",21889,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Armenia","Upper middle income","June 06, 2022","12.4 %","1.34 per 1,000 persons","0.03 %","0.9 per 100k persons",192,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Aruba","High income","No tests reported","Insufficient data","Insufficient data","2.99 %","661.3 per 100k persons",3826,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Australia","High income","September 09, 2022","40.8 %","3.72 per 1,000 persons","1.07 %","416.4 per 100k persons",170720,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
