"country","code","population_size","world_bank_economies","date_tests_last_reported","days_since_tests_reported","tpr_year_smoothed_truncated","avg_daily_tests_per_1000_last_year_smoothed","cum_seq","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","dx_testing_binary","sars_cov_2_binary","ngs_capacity","facility_access","ngs_facility","archetype_orig","dx_archetype","sx_archetype","dx_testing_rec","sx_sequencing_rec","prev_dx","prev_sequ","seq_but_no_test_flag","TPR_pct","daily_tests_per_1000","pct_seq","seq_per_100k"
"Afghanistan","AFG",38928000,"Low income","May 12, 2022",234,0.1634,0.02,120,0.04,0.041,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","16.3 %","0.02 per 1,000 persons","0.04 %","0 per 100k persons"
"Albania","ALB",2878000,"Upper middle income","January 01, 2023",0,0.2289,0.52,58,0,0.106,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","22.9 %","0.52 per 1,000 persons","0 %","0.1 per 100k persons"
"Algeria","DZA",43851000,"Lower middle income","November 01, 2020",791,NaN,NaN,671,0.71,0.822,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","0.71 %","0.8 per 100k persons"
"American Samoa","ASM",NaN,"Upper middle income","No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient testing data","Insufficient data",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Insufficient data","Insufficient data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics","Insufficient data","Insufficient data","no","Insufficient data","Insufficient data","Insufficient data","Insufficient data"
"Andorra","AND",77000,"High income","March 01, 2022",306,0.4922,6.51,358,1.18,348.183,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","49.2 %","6.51 per 1,000 persons","1.18 %","348.2 per 100k persons"
"Angola","AGO",32866000,"Lower middle income","December 30, 2022",2,0.0155,0.15,1283,0.16,0.101,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","1.6 %","0.15 per 1,000 persons","0.16 %","0.1 per 100k persons"
"Anguilla","AIA",NaN,"No income data","No tests reported",NaN,NaN,NaN,101,1.93,270.832,"Insufficient testing data","Meets sequencing target",NaN,"Insufficient data",NaN,"Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","1.93 %","270.8 per 100k persons"
"Antigua and Barbuda","ATG",98000,"High income","June 07, 2021",573,NaN,NaN,239,1.49,76.782,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","1.49 %","76.8 per 100k persons"
"Argentina","ARG",45196000,"Upper middle income","April 17, 2022",259,0.4423,1.6,21889,0.11,10.064,"Insufficient testing data","Does not meet sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Leverage","Insufficient data","Strengthen/Leverage","Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Insufficient data","Strengthen/Leverage","no","44.2 %","1.6 per 1,000 persons","0.11 %","10.1 per 100k persons"
"Armenia","ARM",2963000,"Upper middle income","June 06, 2022",209,0.1237,1.34,192,0.03,0.935,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Sustain","Connect/Build","no","12.4 %","1.34 per 1,000 persons","0.03 %","0.9 per 100k persons"
"Aruba","ABW",NaN,"High income","No tests reported",NaN,NaN,NaN,3826,2.99,661.287,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","2.99 %","661.3 per 100k persons"
"Australia","AUS",25500000,"High income","September 09, 2022",114,0.4076,3.72,170720,1.07,416.447,"Does not meet testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","40.8 %","3.72 per 1,000 persons","1.07 %","416.4 per 100k persons"
