"country","code","population_size","world_bank_economies","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","sars_cov_2_binary"
"Afghanistan","AFG",38928000,"Low income",0,0,"Does not meet sequencing target"
"Albania","ALB",2878000,"Upper middle income",0.02,0.905,"Does not meet sequencing target"
"Algeria","DZA",43851000,"Lower middle income",0.15,0.435,"Does not meet sequencing target"
"Andorra","AND",77000,"High income",0.69,266.308,"Meets sequencing target"
"Angola","AGO",32866000,"Lower middle income",0.62,1.132,"Does not meet sequencing target"
"Antigua and Barbuda","ATG",98000,"High income",2.6,194.474,"Meets sequencing target"
"Argentina","ARG",45196000,"Upper middle income",0.24,25.725,"Does not meet sequencing target"
"Armenia","ARM",2963000,"Upper middle income",0.05,3.1,"Does not meet sequencing target"
"Aruba","ABW",NaN,"High income",7.03,1940.389,"Meets sequencing target"
"Australia","AUS",25500000,"High income",1.24,393.618,"Meets sequencing target"
"Austria","AUT",9006000,"High income",2.32,977.267,"Meets sequencing target"
"Azerbaijan","AZE",10139000,"Upper middle income",0,0.137,"Does not meet sequencing target"
"Bahrain","BHR",1702000,"High income",0.5,103.358,"Meets sequencing target"
"Bangladesh","BGD",164689000,"Lower middle income",0.39,2.468,"Does not meet sequencing target"
"Barbados","BRB",287000,"High income",0.13,35.105,"Does not meet sequencing target"
"Belarus","BLR",9449000,"Upper middle income",0.07,4.448,"Does not meet sequencing target"
"Belgium","BEL",11590000,"High income",3.1,841.671,"Meets sequencing target"
"Belize","BLZ",398000,"Upper middle income",0.99,124.471,"Meets sequencing target"
"Benin","BEN",12123000,"Lower middle income",1.65,2.522,"Does not meet sequencing target"
"Bermuda","BMU",62000,"High income",0.69,151.388,"Meets sequencing target"
"Bhutan","BTN",772000,"Lower middle income",0,0,"Does not meet sequencing target"
"Bolivia","BOL",11673000,"Lower middle income",0.02,0.676,"Does not meet sequencing target"
"Bosnia and Herzegovina","BIH",3281000,"Upper middle income",0.72,38.579,"Meets sequencing target"
"Botswana","BWA",2352000,"Upper middle income",1.25,130.859,"Meets sequencing target"
"Brazil","BRA",212559000,"Upper middle income",0.79,50.172,"Meets sequencing target"
"British Virgin Islands","VGB",NaN,"High income",2.55,555.501,"Meets sequencing target"
"Brunei","BRN",437000,"High income",1.46,542.203,"Meets sequencing target"
"Bulgaria","BGR",6948000,"Upper middle income",1.98,214.901,"Meets sequencing target"
"Burkina Faso","BFA",20903000,"Low income",0.52,0.181,"Does not meet sequencing target"
"Burundi","BDI",11891000,"Low income",0.4,1.208,"Does not meet sequencing target"
"Cambodia","KHM",16719000,"Lower middle income",3.07,15.366,"Meets sequencing target"
"Cameroon","CMR",26546000,"Lower middle income",2.15,3.093,"Does not meet sequencing target"
"Canada","CAN",37742000,"High income",9.13,609.994,"Meets sequencing target"
"Cape Verde","CPV",556000,"Lower middle income",1.36,67.45,"Meets sequencing target"
"Cayman Islands","CYM",NaN,"High income",0.15,58.648,"Does not meet sequencing target"
"Central African Republic","CAF",4830000,"Low income",0.63,0.955,"Does not meet sequencing target"
"Chad","TCD",16426000,"Low income",1.98,0.29,"Does not meet sequencing target"
"Chile","CHL",19116000,"High income",0.9,113.656,"Meets sequencing target"
"China","CHN",1439324000,"Upper middle income",0.11,0.062,"Does not meet sequencing target"
"Colombia","COL",50883000,"Upper middle income",0.8,29.642,"Meets sequencing target"
"Comoros","COM",870000,"Lower middle income",0.67,3.152,"Does not meet sequencing target"
"Costa Rica","CRI",5094000,"Upper middle income",0.74,77.524,"Meets sequencing target"
"Croatia","HRV",4105000,"High income",3.48,672.006,"Meets sequencing target"
"Cuba","CUB",11327000,"Upper middle income",0.07,5.708,"Does not meet sequencing target"
"Curaçao","CUW",NaN,"High income",4.21,822.836,"Meets sequencing target"
"Cyprus","CYP",1207000,"High income",0,0.112,"Does not meet sequencing target"
"Czech Republic","CZE",10709000,"High income",1.66,349.945,"Meets sequencing target"
"Democratic Republic of the Congo","COD",89561000,"Low income",0.76,0.411,"Does not meet sequencing target"
"Denmark","DNK",5792000,"High income",14.24,7049.126,"Meets sequencing target"
"Djibouti","DJI",988000,"Lower middle income",9.1,37.118,"Meets sequencing target"
"Dominica","DMA",72000,"Upper middle income",0.2,41.567,"Does not meet sequencing target"
"Dominican Republic","DOM",10848000,"Upper middle income",0.24,6.044,"Does not meet sequencing target"
"East Timor","TLS",NaN,"Lower middle income",0.19,1.935,"Does not meet sequencing target"
"Ecuador","ECU",17643000,"Upper middle income",1.08,27.219,"Meets sequencing target"
"Egypt","EGY",102334000,"Lower middle income",0.48,1.072,"Does not meet sequencing target"
"El Salvador","SLV",6486000,"Lower middle income",0.39,5.385,"Does not meet sequencing target"
"Equatorial Guinea","GNQ",1403000,"Upper middle income",0.3,1.517,"Does not meet sequencing target"
"Eritrea","ERI",3546000,"Low income",0,0,"Does not meet sequencing target"
"Estonia","EST",1327000,"High income",1.79,605.424,"Meets sequencing target"
"Eswatini","SWZ",1160000,"Lower middle income",1.5,69.347,"Meets sequencing target"
"Ethiopia","ETH",114964000,"Low income",0.25,0.45,"Does not meet sequencing target"
"Faroe Islands","FRO",49000,"High income",0,0,"Does not meet sequencing target"
"Fiji","FJI",896000,"Upper middle income",0.22,14.509,"Does not meet sequencing target"
"Finland","FIN",5541000,"High income",1.98,373.876,"Meets sequencing target"
"France","FRA",65274000,"High income",1.04,389.569,"Meets sequencing target"
"French Polynesia","PYF",281000,"High income",0.13,24.422,"Does not meet sequencing target"
"Gabon","GAB",2226000,"Upper middle income",0.93,9.303,"Does not meet sequencing target"
"Georgia","GEO",3989000,"Upper middle income",0.13,43.394,"Does not meet sequencing target"
"Germany","DEU",83784000,"High income",2.17,635.712,"Meets sequencing target"
"Ghana","GHA",31073000,"Lower middle income",2.98,6.599,"Does not meet sequencing target"
"Gibraltar","GIB",NaN,"High income",13.35,6060.966,"Meets sequencing target"
"Greece","GRC",10423000,"High income",0.29,90.977,"Does not meet sequencing target"
"Greenland","GRL",57000,"High income",0,0,"Does not meet sequencing target"
"Grenada","GRD",113000,"Upper middle income",0.27,44.242,"Does not meet sequencing target"
"Guatemala","GTM",17916000,"Upper middle income",0.25,8.422,"Does not meet sequencing target"
"Guinea","GIN",13133000,"Low income",2.43,2.349,"Does not meet sequencing target"
"Guinea-Bissau","GNB",1968000,"Low income",0,0,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.28,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.28,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.28,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.28,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.28,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.28,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.28,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.28,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.28,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.28,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.28,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.28,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.28,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.28,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.28,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.28,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.28,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.28,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.28,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.28,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.28,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.28,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.28,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.28,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.28,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.28,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.28,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.28,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.28,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.28,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.28,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.28,16.575,"Does not meet sequencing target"
"Haiti","HTI",NaN,"Low income",0.81,0.91,"Does not meet sequencing target"
"Honduras","HND",9905000,"Lower middle income",0.07,1.183,"Does not meet sequencing target"
"Hong Kong SAR, China","HKG",7497000,"High income",0.43,69.696,"Does not meet sequencing target"
"Hungary","HUN",9660000,"High income",0.01,1.173,"Does not meet sequencing target"
"Iceland","ISL",341000,"High income",2.01,1023.341,"Meets sequencing target"
"India","IND",1380004000,"Lower middle income",0.91,8.542,"Does not meet sequencing target"
"Indonesia","IDN",273524000,"Upper middle income",0.5,6.989,"Does not meet sequencing target"
"Iran","IRN",83993000,"Upper middle income",0.04,1.695,"Does not meet sequencing target"
"Iraq","IRQ",40223000,"Upper middle income",0.08,1.863,"Does not meet sequencing target"
"Ireland","IRL",4938000,"High income",4.12,1105.058,"Meets sequencing target"
"Isle of Man","IMN",NaN,"High income",0,0,"Does not meet sequencing target"
"Israel","ISR",8656000,"High income",2.38,901.378,"Meets sequencing target"
"Italy","ITA",60462000,"High income",0.58,136.121,"Meets sequencing target"
"Ivory Coast","CIV",26378000,"Lower middle income",0.48,0.625,"Does not meet sequencing target"
"Jamaica","JAM",2961000,"Upper middle income",1.43,44.594,"Meets sequencing target"
"Japan","JPN",126476000,"High income",2.65,179.185,"Meets sequencing target"
"Jordan","JOR",10203000,"Upper middle income",0.07,6.583,"Does not meet sequencing target"
"Kazakhstan","KAZ",18777000,"Upper middle income",0.05,2.527,"Does not meet sequencing target"
"Kenya","KEN",53771000,"Lower middle income",3.76,10.195,"Meets sequencing target"
"Kiribati","KIR",NaN,"Lower middle income",0.9,23.89,"Meets sequencing target"
