"country","code","population_size","world_bank_economies","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","sars_cov_2_binary"
"Afghanistan","AFG",38928000,"Low income",0,0,"Does not meet sequencing target"
"Albania","ALB",2878000,"Upper middle income",0.02,0.975,"Does not meet sequencing target"
"Algeria","DZA",43851000,"Lower middle income",0.13,0.386,"Does not meet sequencing target"
"Andorra","AND",77000,"High income",0.73,274.065,"Meets sequencing target"
"Angola","AGO",32866000,"Lower middle income",0.61,1.167,"Does not meet sequencing target"
"Antigua and Barbuda","ATG",98000,"High income",2.32,164.087,"Meets sequencing target"
"Argentina","ARG",45196000,"Upper middle income",0.23,27.639,"Does not meet sequencing target"
"Armenia","ARM",2963000,"Upper middle income",0.05,3.538,"Does not meet sequencing target"
"Aruba","ABW",NaN,"High income",8.13,1975.838,"Meets sequencing target"
"Australia","AUS",25500000,"High income",1.24,352.595,"Meets sequencing target"
"Austria","AUT",9006000,"High income",2.15,867.415,"Meets sequencing target"
"Azerbaijan","AZE",10139000,"Upper middle income",0,0.137,"Does not meet sequencing target"
"Bahrain","BHR",1702000,"High income",0.57,111.423,"Meets sequencing target"
"Bangladesh","BGD",164689000,"Lower middle income",0.38,2.641,"Does not meet sequencing target"
"Barbados","BRB",287000,"High income",0.12,32.672,"Does not meet sequencing target"
"Belarus","BLR",9449000,"Upper middle income",0.07,4.448,"Does not meet sequencing target"
"Belgium","BEL",11590000,"High income",2.76,731.814,"Meets sequencing target"
"Belize","BLZ",398000,"Upper middle income",1.19,136.325,"Meets sequencing target"
"Benin","BEN",12123000,"Lower middle income",1.85,2.803,"Does not meet sequencing target"
"Bermuda","BMU",62000,"High income",0.77,151.388,"Meets sequencing target"
"Bhutan","BTN",772000,"Lower middle income",0,0,"Does not meet sequencing target"
"Bolivia","BOL",11673000,"Lower middle income",0.02,0.972,"Does not meet sequencing target"
"Bosnia and Herzegovina","BIH",3281000,"Upper middle income",0.75,40.05,"Meets sequencing target"
