"Country","Socioeconomic status","Date tests last reported","Test positivity rate (%)","Average daily tests","% of cases sequenced","Number of sequences","Cumulative number of sequences entire pandemic","Test Archetype","Sequencing Archetype"
"Afghanistan","Low income","May 12, 2022","23.7 %","0.03 per 1,000 persons","0 %","0 per 100k persons",103,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Albania","Upper middle income","May 29, 2022","12.9 %","1.06 per 1,000 persons","0.02 %","1 per 100k persons",58,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Algeria","Lower middle income","November 01, 2020","Insufficient data","Insufficient data","0.13 %","0.4 per 100k persons",269,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"American Samoa","Upper middle income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Andorra","High income","March 01, 2022","22.5 %","5.12 per 1,000 persons","0.73 %","274.1 per 100k persons",213,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Angola","Lower middle income","May 27, 2022","6.3 %","0.09 per 1,000 persons","0.61 %","1.2 per 100k persons",1204,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Antigua and Barbuda","High income","June 07, 2021","1.6 %","0.35 per 1,000 persons","2.32 %","164.1 per 100k persons",189,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Argentina","Upper middle income","April 17, 2022","24.3 %","1.5 per 1,000 persons","0.23 %","27.6 per 100k persons",18891,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Armenia","Upper middle income","May 30, 2022","9.9 %","1.87 per 1,000 persons","0.05 %","3.5 per 100k persons",191,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Aruba","High income","No tests reported","Insufficient data","Insufficient data","8.13 %","1975.8 per 100k persons",3253,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Australia","High income","May 31, 2022","13.7 %","5.75 per 1,000 persons","1.24 %","352.6 per 100k persons",111662,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
