"Country","Date tests last reported","Test positivity rate (%) in past year","Average daily tests in past year","% of cases sequenced in past year","Number of sequences in past year","Cumulative number of sequences entire pandemic","World Bank economic status","COVID-19 diagnostic testing capacity","Test recommendation","SARS-CoV-2 sequencing capacity","NGS facility access","Archetype"
"Afghanistan","February 28, 2022","19.7 %","0.04 per 1,000 persons","0.06 %","0.2 per 100k persons",92,"Low income","Has not demonstrated testing capacity","Test - Increase diagnostic testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Albania","February 28, 2022","13 %","1.22 per 1,000 persons","0.02 %","1 per 100k persons",55,"Upper middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Algeria","November 01, 2020","Insufficient data","Insufficient data","0.04 %","0.1 per 100k persons",72,"Lower middle income","Insufficient testing data","Insufficient testing data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"American Samoa","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",NaN,"Upper middle income","Insufficient testing data","Insufficient testing data","Insufficient data","Does not have access to sequencing facilities","Insufficient data"
"Andorra","February 18, 2022","18.8 %","5.13 per 1,000 persons","0.46 %","162.9 per 100k persons",127,"High income","Has not demonstrated testing capacity","Test - Increase diagnostic testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Angola","February 26, 2022","7.5 %","0.09 per 1,000 persons","1.06 %","2.4 per 100k persons",1165,"Lower middle income","Has not demonstrated testing capacity","Test - Increase diagnostic testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Antigua and Barbuda","June 07, 2021","13 %","0.45 per 1,000 persons","2.61 %","177.3 per 100k persons",181,"High income","Insufficient testing data","Insufficient testing data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Argentina","February 28, 2022","25.3 %","1.63 per 1,000 persons","0.15 %","22.5 per 100k persons",12217,"Upper middle income","Has not demonstrated testing capacity","Test - Increase diagnostic testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Armenia","February 28, 2022","11.4 %","2 per 1,000 persons","0.05 %","4.1 per 100k persons",190,"Upper middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Aruba","No tests reported","Insufficient data","Insufficient data","10.76 %","2589.7 per 100k persons",3150,"High income","Insufficient testing data","Insufficient testing data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Australia","February 28, 2022","6.6 %","5.27 per 1,000 persons","1.59 %","198.1 per 100k persons",70183,"High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Austria","February 28, 2022","1.5 %","43.79 per 1,000 persons","0.54 %","132.5 per 100k persons",14939,"High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Azerbaijan","February 28, 2022","13.9 %","1.07 per 1,000 persons","0 %","0.1 per 100k persons",151,"Upper middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Bahrain","February 27, 2022","6.1 %","10.16 per 1,000 persons","0.54 %","121 per 100k persons",2269,"High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Bangladesh","February 28, 2022","14.9 %","0.16 per 1,000 persons","0.23 %","1.9 per 100k persons",4605,"Lower middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Barbados","February 28, 2022","11.3 %","4.39 per 1,000 persons","0.2 %","36.5 per 100k persons",114,"High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Belarus","February 28, 2022","8.3 %","2.19 per 1,000 persons","0.04 %","2.5 per 100k persons",280,"Upper middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Belgium","February 26, 2022","12.5 %","5.27 per 1,000 persons","2.92 %","699.8 per 100k persons",91611,"High income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Belize","February 24, 2022","10.7 %","2.86 per 1,000 persons","1.15 %","126 per 100k persons",618,"Upper middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Benin","January 25, 2022","1.7 %","0.21 per 1,000 persons","2.82 %","4.8 per 100k persons",756,"Lower middle income","Has demonstrated testing capacity","Sustain - Sustain diagnostic testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Bermuda","February 25, 2022","No cases reported","27.41 per 1,000 persons","0.82 %","143.3 per 100k persons",129,"High income","Insufficient testing data","Insufficient testing data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
