"","name","world_bank_economies","prev_sequ","sx_archetype","prev_dx","dx_archetype","tpr_year_smoothed_truncated","avg_daily_tests_per_1000_last_year_smoothed","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","ngs_capacity","ngs_facility"
"1","Andorra","High income","Sustain","Connect/Build","Insufficient data","Insufficient data",NA,0.61,2.48,NA,0,"0 NGS facilities or equivalent"
"2","Antigua and Barbuda","High income","Sustain","Connect/Build","Insufficient data","Insufficient data",NA,NA,4.34,NA,0,"0 NGS facilities or equivalent"
"3","Aruba","High income","Sustain","Connect/Build","Insufficient data","Insufficient data",NA,NA,8.23,NA,0,"0 NGS facilities or equivalent"
"4","Australia","High income","Sustain","Strengthen/Leverage","Test","Test",0.4559,3.05,1.32,NA,2,"4+ NGS facilities or equivalent"
"5","Austria","High income","Sustain","Strengthen/Leverage","Sustain","Sustain",0.0689,14.62,4.5,NA,2,"4+ NGS facilities or equivalent"
"6","Bahrain","High income","Sustain","Strengthen/Leverage","Sustain","Sustain",0.1506,2.46,1.49,NA,2,"4+ NGS facilities or equivalent"
"7","Belgium","High income","Sustain","Strengthen/Leverage","Test","Test",0.2295,1.21,4.82,NA,2,"4+ NGS facilities or equivalent"
"8","Belize","Upper middle income","Sustain","Connect/Build","Insufficient data","Insufficient data",0.0558,1.8,2.25,NA,0,"0 NGS facilities or equivalent"
"9","Bermuda","High income","Sustain","Connect/Build","Insufficient data","Insufficient data",0,10.31,2.04,NA,0,"0 NGS facilities or equivalent"
"10","Botswana","Upper middle income","Sustain","Strengthen/Leverage","Insufficient data","Insufficient data",0.4136,0.55,2.35,NA,1,"1-3 NGS facilities or equivalent"
"11","Brazil","Upper middle income","Sustain","Strengthen/Leverage","Test","Insufficient data",0.6269,0.24,0.7,NA,2,"4+ NGS facilities or equivalent"
"12","British Virgin Islands","High income","Sustain","Connect/Build","Insufficient data","Insufficient data",NA,NA,1.39,NA,0,"0 NGS facilities or equivalent"
"13","Brunei","High income","Sustain","Strengthen/Leverage","Insufficient data","Insufficient data",NA,NA,1.7,NA,1,"1-3 NGS facilities or equivalent"
"14","Bulgaria","Upper middle income","Sustain","Strengthen/Leverage","Sustain","Sustain",0.0989,0.83,1.11,NA,2,"4+ NGS facilities or equivalent"
"15","Cameroon","Lower middle income","Strengthen/Leverage","Strengthen/Leverage","Test","Insufficient data",0.0023,0.18,1.73,NA,1,"1-3 NGS facilities or equivalent"
"16","Canada","High income","Sustain","Strengthen/Leverage","Sustain","Sustain",0.1405,0.81,14.38,NA,2,"4+ NGS facilities or equivalent"
"17","Cape Verde","Lower middle income","Sustain","Connect/Build","Sustain","Sustain",0.0813,0.52,5,NA,0,"0 NGS facilities or equivalent"
"18","Chile","High income","Sustain","Strengthen/Leverage","Sustain","Sustain",0.1369,2.26,0.85,NA,2,"4+ NGS facilities or equivalent"
"19","Colombia","Upper middle income","Sustain","Strengthen/Leverage","Test","Test",0.0697,0.23,2.7,NA,2,"4+ NGS facilities or equivalent"
"20","Costa Rica","Upper middle income","Sustain","Strengthen/Leverage","Insufficient data","Insufficient data",0.1047,1.9,1.59,NA,1,"1-3 NGS facilities or equivalent"
"21","Croatia","High income","Sustain","Strengthen/Leverage","Test","Test",0.2159,0.67,6.53,NA,1,"1-3 NGS facilities or equivalent"
"22","Cuba","Upper middle income","Connect/Build","Connect/Build","Sustain","Test",0.0388,0.42,0.73,NA,0,"0 NGS facilities or equivalent"
"23","Curaçao","High income","Sustain","Connect/Build","Insufficient data","Insufficient data",NA,NA,11.43,NA,0,"0 NGS facilities or equivalent"
"24","Czech Republic","High income","Sustain","Strengthen/Leverage","Test","Sustain",0.1936,1.14,2.7,NA,1,"1-3 NGS facilities or equivalent"
"25","Denmark","High income","Sustain","Strengthen/Leverage","Sustain","Sustain",0.0854,3.76,36.18,NA,2,"4+ NGS facilities or equivalent"
"26","Djibouti","Lower middle income","Sustain","Connect/Build","Test","Test",0.0022,0.34,133.57,NA,0,"0 NGS facilities or equivalent"
"27","Dominican Republic","Upper middle income","Sustain","Strengthen/Leverage","Test","Test",0.0867,0.29,1.71,NA,1,"1-3 NGS facilities or equivalent"
"28","Ecuador","Upper middle income","Sustain","Strengthen/Leverage","Insufficient data","Insufficient data",NA,NA,1.71,NA,1,"1-3 NGS facilities or equivalent"
"29","Egypt","Lower middle income","Strengthen/Leverage","Strengthen/Leverage","Test","Insufficient data",0.0054,0.37,2.77,NA,1,"1-3 NGS facilities or equivalent"
"30","El Salvador","Lower middle income","Strengthen/Leverage","Strengthen/Leverage","Sustain","Insufficient data",0.0542,0.72,0.33,NA,1,"1-3 NGS facilities or equivalent"
"31","Estonia","High income","Sustain","Strengthen/Leverage","Test","Test",0.2276,1.16,4.04,NA,1,"1-3 NGS facilities or equivalent"
"32","Eswatini","Lower middle income","Sustain","Connect/Build","Test","Test",0.0629,0.22,5.75,NA,0,"0 NGS facilities or equivalent"
"33","Finland","High income","Sustain","Strengthen/Leverage","Test","Test",0.3946,1.04,1.78,NA,2,"4+ NGS facilities or equivalent"
"34","France","High income","Sustain","Strengthen/Leverage","Insufficient data","Insufficient data",0.2507,5.07,1.39,NA,2,"4+ NGS facilities or equivalent"
"35","Germany","High income","Sustain","Strengthen/Leverage","Test","Test",0.5859,1.57,1.67,NA,2,"4+ NGS facilities or equivalent"
"36","Iceland","High income","Sustain","Strengthen/Leverage","Test","Insufficient data",0.3193,4.16,4.38,NA,1,"1-3 NGS facilities or equivalent"
"37","Iraq","Upper middle income","Strengthen/Leverage","Strengthen/Leverage","Test","Insufficient data",0.1292,0.18,0.05,NA,1,"1-3 NGS facilities or equivalent"
"38","Ireland","High income","Sustain","Strengthen/Leverage","Test","Test",0.2523,1.02,10,NA,2,"4+ NGS facilities or equivalent"
"39","Israel","High income","Sustain","Strengthen/Leverage","Insufficient data","Insufficient data",NA,NA,7.73,NA,2,"4+ NGS facilities or equivalent"
"40","Jamaica","Upper middle income","Sustain","Connect/Build","Sustain","Sustain",0.0724,0.52,4.57,NA,0,"0 NGS facilities or equivalent"
"41","Japan","High income","Sustain","Strengthen/Leverage","Test","Test",0.492,1.27,1.13,NA,2,"4+ NGS facilities or equivalent"
"42","Kiribati","Lower middle income","Sustain","Connect/Build","Insufficient data","Insufficient data",NA,NA,5.15,NA,0,"0 NGS facilities or equivalent"
"43","Kuwait","High income","Sustain","Strengthen/Leverage","Insufficient data","Insufficient data",0.0379,3.2,1.41,NA,1,"1-3 NGS facilities or equivalent"
"44","Latvia","High income","Sustain","Strengthen/Leverage","Test","Test",0.2723,1.79,3.39,NA,1,"1-3 NGS facilities or equivalent"
"45","Libya","Upper middle income","Connect/Build","Connect/Build","Sustain","Test",0.0546,0.39,0.26,NA,0,"0 NGS facilities or equivalent"
"46","Liechtenstein","High income","Sustain","Connect/Build","Insufficient data","Insufficient data",NA,NA,9.48,NA,0,"0 NGS facilities or equivalent"
"47","Lithuania","High income","Sustain","Strengthen/Leverage","Test","Test",0.3182,1.1,1.65,NA,1,"1-3 NGS facilities or equivalent"
"48","Luxembourg","High income","Sustain","Strengthen/Leverage","Test","Test",0.2728,2.19,19.63,NA,2,"4+ NGS facilities or equivalent"
"49","Malaysia","Upper middle income","Sustain","Strengthen/Leverage","Insufficient data","Insufficient data",NA,NA,1.44,NA,1,"1-3 NGS facilities or equivalent"
"50","Mauritius","High income","Sustain","Connect/Build","Test","Test",0.3739,0.87,3.65,NA,0,"0 NGS facilities or equivalent"
"51","Mexico","Upper middle income","Sustain","Strengthen/Leverage","Insufficient data","Insufficient data",0,0.1,1.37,NA,2,"4+ NGS facilities or equivalent"
"52","Netherlands","High income","Sustain","Strengthen/Leverage","Insufficient data","Insufficient data",NA,NA,2.34,NA,2,"4+ NGS facilities or equivalent"
"53","New Zealand","High income","Sustain","Strengthen/Leverage","Test","Test",NA,0.65,1.14,NA,2,"4+ NGS facilities or equivalent"
"54","Norway","High income","Sustain","Strengthen/Leverage","Test","Test",0.4575,0.38,8.26,NA,2,"4+ NGS facilities or equivalent"
"55","Palau","High income","Sustain","Connect/Build","Insufficient data","Insufficient data",NA,NA,2.36,NA,0,"0 NGS facilities or equivalent"
"56","Panama","High income","Sustain","Strengthen/Leverage","Sustain","Sustain",0.1377,1.33,0.77,NA,2,"4+ NGS facilities or equivalent"
"57","Paraguay","Upper middle income","Sustain","Connect/Build","Insufficient data","Insufficient data",0.1296,0.29,0.71,NA,0,"0 NGS facilities or equivalent"
"58","Peru","Upper middle income","Sustain","Strengthen/Leverage","Sustain","Sustain",0.1013,0.9,2.56,NA,2,"4+ NGS facilities or equivalent"
"59","Poland","High income","Sustain","Strengthen/Leverage","Test","Test",0.1625,0.34,1.53,NA,2,"4+ NGS facilities or equivalent"
"60","Portugal","High income","Sustain","Strengthen/Leverage","Insufficient data","Insufficient data",0.2955,4.74,0.71,NA,2,"4+ NGS facilities or equivalent"
"61","Qatar","High income","Sustain","Strengthen/Leverage","Sustain","Sustain",0.1693,0.93,0.91,NA,2,"4+ NGS facilities or equivalent"
"62","Romania","High income","Sustain","Strengthen/Leverage","Insufficient data","Insufficient data",0.0807,1.04,0.98,NA,1,"1-3 NGS facilities or equivalent"
"63","Saint Lucia","Upper middle income","Sustain","Connect/Build","Sustain","Sustain",0.0891,1.87,2.04,NA,0,"0 NGS facilities or equivalent"
