"country","code","population_size","world_bank_economies","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","sars_cov_2_binary"
"Afghanistan","AFG",38928000,"Low income",0.04,NaN,"Does not meet sequencing target"
"Albania","ALB",2878000,"Upper middle income",0,NaN,"Does not meet sequencing target"
"Algeria","DZA",43851000,"Lower middle income",5.49,NaN,"Does not meet sequencing target"
"Andorra","AND",77000,"High income",2.48,NaN,"Does not meet sequencing target"
"Angola","AGO",32866000,"Lower middle income",0.81,NaN,"Does not meet sequencing target"
"Antigua and Barbuda","ATG",98000,"High income",4.34,NaN,"Does not meet sequencing target"
"Argentina","ARG",45196000,"Upper middle income",0.29,NaN,"Does not meet sequencing target"
"Armenia","ARM",2963000,"Upper middle income",0,NaN,"Does not meet sequencing target"
"Aruba","ABW",NaN,"High income",8.23,NaN,"Does not meet sequencing target"
"Australia","AUS",25500000,"High income",1.32,NaN,"Does not meet sequencing target"
"Austria","AUT",9006000,"High income",4.5,NaN,"Does not meet sequencing target"
"Azerbaijan","AZE",10139000,"Upper middle income",0,NaN,"Does not meet sequencing target"
"Bahrain","BHR",1702000,"High income",1.49,NaN,"Does not meet sequencing target"
"Bangladesh","BGD",164689000,"Lower middle income",0.83,NaN,"Does not meet sequencing target"
"Barbados","BRB",287000,"High income",0.29,NaN,"Does not meet sequencing target"
"Belarus","BLR",9449000,"Upper middle income",0,NaN,"Does not meet sequencing target"
"Belgium","BEL",11590000,"High income",4.82,NaN,"Does not meet sequencing target"
"Belize","BLZ",398000,"Upper middle income",2.25,NaN,"Does not meet sequencing target"
"Benin","BEN",12123000,"Lower middle income",2.95,NaN,"Does not meet sequencing target"
"Bermuda","BMU",62000,"High income",2.04,NaN,"Does not meet sequencing target"
"Bhutan","BTN",772000,"Lower middle income",0.12,NaN,"Does not meet sequencing target"
"Bolivia","BOL",11673000,"Lower middle income",0,NaN,"Does not meet sequencing target"
"Bosnia and Herzegovina","BIH",3281000,"Upper middle income",0.27,NaN,"Does not meet sequencing target"
"Botswana","BWA",2352000,"Upper middle income",2.35,NaN,"Does not meet sequencing target"
"Brazil","BRA",212559000,"Upper middle income",0.7,NaN,"Does not meet sequencing target"
"British Virgin Islands","VGB",NaN,"High income",1.39,NaN,"Does not meet sequencing target"
"Brunei","BRN",437000,"High income",1.7,NaN,"Does not meet sequencing target"
"Bulgaria","BGR",6948000,"Upper middle income",1.11,NaN,"Does not meet sequencing target"
"Burkina Faso","BFA",20903000,"Low income",1.15,NaN,"Does not meet sequencing target"
"Burundi","BDI",11891000,"Low income",0,NaN,"Does not meet sequencing target"
"Cambodia","KHM",16719000,"Lower middle income",13.28,NaN,"Does not meet sequencing target"
"Cameroon","CMR",26546000,"Lower middle income",1.73,NaN,"Does not meet sequencing target"
"Canada","CAN",37742000,"High income",14.38,NaN,"Does not meet sequencing target"
"Cape Verde","CPV",556000,"Lower middle income",5,NaN,"Does not meet sequencing target"
"Cayman Islands","CYM",NaN,"High income",1.46,NaN,"Does not meet sequencing target"
"Central African Republic","CAF",4830000,"Low income",0,NaN,"Does not meet sequencing target"
"Chad","TCD",16426000,"Low income",0,NaN,"Does not meet sequencing target"
"Chile","CHL",19116000,"High income",0.85,NaN,"Does not meet sequencing target"
"China","CHN",1439324000,"Upper middle income",0.8,NaN,"Does not meet sequencing target"
"Colombia","COL",50883000,"Upper middle income",2.7,NaN,"Does not meet sequencing target"
"Comoros","COM",870000,"Lower middle income",0.83,NaN,"Does not meet sequencing target"
"Costa Rica","CRI",5094000,"Upper middle income",1.59,NaN,"Does not meet sequencing target"
"Croatia","HRV",4105000,"High income",6.53,NaN,"Does not meet sequencing target"
"Cuba","CUB",11327000,"Upper middle income",0.73,NaN,"Does not meet sequencing target"
"Curaçao","CUW",NaN,"High income",11.43,NaN,"Does not meet sequencing target"
"Cyprus","CYP",1207000,"High income",0.06,NaN,"Does not meet sequencing target"
"Czech Republic","CZE",10709000,"High income",2.7,NaN,"Does not meet sequencing target"
"Democratic Republic of the Congo","COD",89561000,"Low income",1.47,NaN,"Does not meet sequencing target"
"Denmark","DNK",5792000,"High income",36.18,NaN,"Does not meet sequencing target"
"Djibouti","DJI",988000,"Lower middle income",133.57,NaN,"Does not meet sequencing target"
"Dominica","DMA",72000,"Upper middle income",0.17,NaN,"Does not meet sequencing target"
"Dominican Republic","DOM",10848000,"Upper middle income",1.71,NaN,"Does not meet sequencing target"
"East Timor","TLS",NaN,"Lower middle income",0,NaN,"Does not meet sequencing target"
"Ecuador","ECU",17643000,"Upper middle income",1.71,NaN,"Does not meet sequencing target"
"Egypt","EGY",102334000,"Lower middle income",2.77,NaN,"Does not meet sequencing target"
"El Salvador","SLV",6486000,"Lower middle income",0.33,NaN,"Does not meet sequencing target"
"Equatorial Guinea","GNQ",1403000,"Upper middle income",0,NaN,"Does not meet sequencing target"
"Eritrea","ERI",3546000,"Low income",0,NaN,"Does not meet sequencing target"
"Estonia","EST",1327000,"High income",4.04,NaN,"Does not meet sequencing target"
"Eswatini","SWZ",1160000,"Lower middle income",5.75,NaN,"Does not meet sequencing target"
"Ethiopia","ETH",114964000,"Low income",0,NaN,"Does not meet sequencing target"
"Faroe Islands","FRO",49000,"High income",0,NaN,"Does not meet sequencing target"
"Fiji","FJI",896000,"Upper middle income",0,NaN,"Does not meet sequencing target"
"Finland","FIN",5541000,"High income",1.78,NaN,"Does not meet sequencing target"
"France","FRA",65274000,"High income",1.39,NaN,"Does not meet sequencing target"
"French Polynesia","PYF",281000,"High income",0,NaN,"Does not meet sequencing target"
"Gabon","GAB",2226000,"Upper middle income",0.14,NaN,"Does not meet sequencing target"
"Georgia","GEO",3989000,"Upper middle income",0.53,NaN,"Does not meet sequencing target"
"Germany","DEU",83784000,"High income",1.67,NaN,"Does not meet sequencing target"
