"Country","Socioeconomic status","Date tests last reported","Test positivity rate (%)","Average daily tests","% of cases sequenced","Number of sequences","Cumulative number of sequences entire pandemic","Test Archetype","Sequencing Archetype"
"Afghanistan","Low income","May 12, 2022","9.7 %","0.02 per 1,000 persons","0.04 %","Insufficient data",120,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Albania","Upper middle income","February 21, 2023","21.1 %","0.29 per 1,000 persons","0 %","Insufficient data",1123,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Algeria","Lower middle income","November 01, 2020","Insufficient data","Insufficient data","5.49 %","Insufficient data",750,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"American Samoa","Upper middle income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Andorra","High income","March 01, 2022","Insufficient data","0.61 per 1,000 persons","2.48 %","Insufficient data",393,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Angola","Lower middle income","December 30, 2022","0.4 %","0.16 per 1,000 persons","0.81 %","Insufficient data",1336,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Antigua and Barbuda","High income","June 07, 2021","Insufficient data","Insufficient data","4.34 %","Insufficient data",260,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Argentina","Upper middle income","April 17, 2022","11.1 %","0.68 per 1,000 persons","0.29 %","Insufficient data",22762,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Armenia","Upper middle income","June 06, 2022","1.8 %","0.75 per 1,000 persons","0 %","Insufficient data",192,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Aruba","High income","No tests reported","Insufficient data","Insufficient data","8.23 %","Insufficient data",4078,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Australia","High income","September 09, 2022","45.6 %","3.05 per 1,000 persons","1.32 %","Insufficient data",188737,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Austria","High income","February 28, 2023","6.9 %","14.62 per 1,000 persons","4.5 %","Insufficient data",229396,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Azerbaijan","Upper middle income","February 28, 2023","4.6 %","0.27 per 1,000 persons","0 %","Insufficient data",191,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Bahrain","High income","December 22, 2022","15.1 %","2.46 per 1,000 persons","1.49 %","Insufficient data",10302,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Bangladesh","Lower middle income","February 26, 2023","5 %","0.03 per 1,000 persons","0.83 %","Insufficient data",7511,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Barbados","High income","February 17, 2023","24.4 %","2.06 per 1,000 persons","0.29 %","Insufficient data",262,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Belarus","Upper middle income","July 06, 2022","6.4 %","1.01 per 1,000 persons","0 %","Insufficient data",520,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Belgium","High income","February 24, 2023","23 %","1.21 per 1,000 persons","4.82 %","Insufficient data",172382,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Belize","Upper middle income","June 10, 2022","5.6 %","1.8 per 1,000 persons","2.25 %","Insufficient data",1071,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Benin","Lower middle income","January 25, 2022","Insufficient data","Insufficient data","2.95 %","Insufficient data",1293,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Bermuda","High income","February 23, 2023","No cases reported","10.31 per 1,000 persons","2.04 %","Insufficient data",277,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Bhutan","Lower middle income","March 01, 2022","4.1 %","12.89 per 1,000 persons","0.12 %","Insufficient data",135,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Bolivia","Lower middle income","January 02, 2022","Insufficient data","Insufficient data","0 %","Insufficient data",361,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Bosnia and Herzegovina","Upper middle income","February 28, 2023","22.3 %","0.12 per 1,000 persons","0.27 %","Insufficient data",1500,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Botswana","Upper middle income","May 18, 2022","41.4 %","0.55 per 1,000 persons","2.35 %","Insufficient data",5256,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Brazil","Upper middle income","August 17, 2022","62.7 %","0.24 per 1,000 persons","0.7 %","Insufficient data",221435,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"British Virgin Islands","High income","No tests reported","Insufficient data","Insufficient data","1.39 %","Insufficient data",198,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Brunei","High income","December 14, 2021","Insufficient data","Insufficient data","1.7 %","Insufficient data",5297,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Bulgaria","Upper middle income","March 01, 2023","9.9 %","0.83 per 1,000 persons","1.11 %","Insufficient data",20452,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Burkina Faso","Low income","March 09, 2022","No cases reported","0.02 per 1,000 persons","1.15 %","Insufficient data",758,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Burundi","Low income","January 03, 2023","2.2 %","0.17 per 1,000 persons","0 %","Insufficient data",157,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Cambodia","Lower middle income","November 01, 2022","3.3 %","0.06 per 1,000 persons","13.28 %","Insufficient data",3891,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Cameroon","Lower middle income","August 25, 2022","0.2 %","0.18 per 1,000 persons","1.73 %","Insufficient data",1503,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Canada","High income","November 28, 2022","14.1 %","0.81 per 1,000 persons","14.38 %","Insufficient data",474266,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Cape Verde","Lower middle income","January 03, 2023","8.1 %","0.52 per 1,000 persons","5 %","Insufficient data",818,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Cayman Islands","High income","No tests reported","Insufficient data","Insufficient data","1.46 %","Insufficient data",278,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Central African Republic","Low income","January 03, 2023","4 %","0.02 per 1,000 persons","0 %","Insufficient data",110,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Chad","Low income","December 30, 2022","1.6 %","0 per 1,000 persons","0 %","Insufficient data",49,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Chile","High income","February 28, 2023","13.7 %","2.26 per 1,000 persons","0.85 %","Insufficient data",42660,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"China","Upper middle income","June 24, 2020","Insufficient data","Insufficient data","0.8 %","Insufficient data",18661,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Colombia","Upper middle income","February 28, 2023","7 %","0.23 per 1,000 persons","2.7 %","Insufficient data",26213,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Comoros","Lower middle income","November 13, 2022","2.6 %","0.15 per 1,000 persons","0.83 %","Insufficient data",42,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Costa Rica","Upper middle income","June 01, 2022","10.5 %","1.9 per 1,000 persons","1.59 %","Insufficient data",9622,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Croatia","High income","February 26, 2023","21.6 %","0.67 per 1,000 persons","6.53 %","Insufficient data",42077,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Cuba","Upper middle income","October 17, 2022","3.9 %","0.42 per 1,000 persons","0.73 %","Insufficient data",1671,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Curaçao","High income","No tests reported","Insufficient data","Insufficient data","11.43 %","Insufficient data",2229,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Cyprus","High income","July 11, 2021","Insufficient data","Insufficient data","0.06 %","Insufficient data",3131,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Czech Republic","High income","February 27, 2023","19.4 %","1.14 per 1,000 persons","2.7 %","Insufficient data",56926,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Democratic Republic of the Congo","Low income","January 03, 2023","4.1 %","0.01 per 1,000 persons","1.47 %","Insufficient data",1356,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Denmark","High income","February 24, 2023","8.5 %","3.76 per 1,000 persons","36.18 %","Insufficient data",631889,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Djibouti","Lower middle income","September 20, 2022","0.2 %","0.34 per 1,000 persons","133.57 %","Insufficient data",885,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Dominica","Upper middle income","December 28, 2021","Insufficient data","Insufficient data","0.17 %","Insufficient data",40,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Dominican Republic","Upper middle income","November 30, 2022","8.7 %","0.29 per 1,000 persons","1.71 %","Insufficient data",2647,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"East Timor","Lower middle income","No tests reported","Insufficient data","Insufficient data","0 %","Insufficient data",357,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Ecuador","Upper middle income","February 01, 2022","Insufficient data","Insufficient data","1.71 %","Insufficient data",9444,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Egypt","Lower middle income","August 15, 2022","0.5 %","0.37 per 1,000 persons","2.77 %","Insufficient data",3214,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"El Salvador","Lower middle income","August 30, 2022","5.4 %","0.72 per 1,000 persons","0.33 %","Insufficient data",611,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Equatorial Guinea","Upper middle income","December 30, 2022","1.3 %","0.26 per 1,000 persons","0 %","Insufficient data",214,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Eritrea","Low income","December 21, 2020","Insufficient data","Insufficient data","0 %","Insufficient data",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Estonia","High income","February 28, 2023","22.8 %","1.16 per 1,000 persons","4.04 %","Insufficient data",14894,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Eswatini","Lower middle income","January 03, 2023","6.3 %","0.22 per 1,000 persons","5.75 %","Insufficient data",1135,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Ethiopia","Low income","January 03, 2023","3.2 %","0.03 per 1,000 persons","0 %","Insufficient data",616,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Faroe Islands","High income","February 27, 2022","No cases reported","9.43 per 1,000 persons","0 %","Insufficient data",42,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Fiji","Upper middle income","February 25, 2023","3 %","0.53 per 1,000 persons","0 %","Insufficient data",531,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
