"country","code","population_size","world_bank_economies","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","sars_cov_2_binary"
"Afghanistan","AFG",38928000,"Low income",0.05,0.141,"Does not meet sequencing target"
"Albania","ALB",2878000,"Upper middle income",0.02,0.94,"Does not meet sequencing target"
"Algeria","DZA",43851000,"Lower middle income",0.13,0.428,"Does not meet sequencing target"
"Andorra","AND",77000,"High income",0.66,240.453,"Meets sequencing target"
"Angola","AGO",32866000,"Lower middle income",0.58,1.229,"Does not meet sequencing target"
"Anguilla","AIA",NaN,"No income data",2.67,476.033,"Meets sequencing target"
"Antigua and Barbuda","ATG",98000,"High income",2.64,171.177,"Meets sequencing target"
"Argentina","ARG",45196000,"Upper middle income",0.22,29.439,"Does not meet sequencing target"
"Armenia","ARM",2963000,"Upper middle income",0.05,3.571,"Does not meet sequencing target"
"Aruba","ABW",NaN,"High income",9.37,2114.837,"Meets sequencing target"
"Australia","AUS",25500000,"High income",1.31,302.983,"Meets sequencing target"
"Austria","AUT",9006000,"High income",2.1,817.996,"Meets sequencing target"
"Azerbaijan","AZE",10139000,"Upper middle income",0,0.137,"Does not meet sequencing target"
"Bahrain","BHR",1702000,"High income",0.53,117.6,"Meets sequencing target"
"Bangladesh","BGD",164689000,"Lower middle income",0.33,2.395,"Does not meet sequencing target"
"Barbados","BRB",287000,"High income",0.14,31.977,"Does not meet sequencing target"
"Belarus","BLR",9449000,"Upper middle income",0.05,3.59,"Does not meet sequencing target"
"Belgium","BEL",11590000,"High income",2.78,730.842,"Meets sequencing target"
"Belize","BLZ",398000,"Upper middle income",1.27,140.77,"Meets sequencing target"
"Benin","BEN",12123000,"Lower middle income",0.52,3.309,"Does not meet sequencing target"
"Bermuda","BMU",62000,"High income",0.85,151.388,"Meets sequencing target"
"Bhutan","BTN",772000,"Lower middle income",0,0,"Does not meet sequencing target"
"Bolivia","BOL",11673000,"Lower middle income",0.02,1.073,"Does not meet sequencing target"
"Bosnia and Herzegovina","BIH",3281000,"Upper middle income",0.73,40.203,"Meets sequencing target"
"Botswana","BWA",2352000,"Upper middle income",1.23,132.861,"Meets sequencing target"
"Brazil","BRA",212559000,"Upper middle income",0.7,50.702,"Meets sequencing target"
"British Virgin Islands","VGB",NaN,"High income",2.68,542.353,"Meets sequencing target"
"Brunei","BRN",437000,"High income",1.31,421.713,"Meets sequencing target"
"Bulgaria","BGR",6948000,"Upper middle income",1.69,184.771,"Meets sequencing target"
"Burkina Faso","BFA",20903000,"Low income",0.56,0.195,"Does not meet sequencing target"
"Burundi","BDI",11891000,"Low income",0.18,0.514,"Does not meet sequencing target"
"Cambodia","KHM",16719000,"Lower middle income",2.34,16.942,"Meets sequencing target"
"Cameroon","CMR",26546000,"Lower middle income",0.94,1.649,"Does not meet sequencing target"
"Canada","CAN",37742000,"High income",8.2,546.032,"Meets sequencing target"
"Cape Verde","CPV",556000,"Lower middle income",1.14,64.602,"Meets sequencing target"
"Cayman Islands","CYM",NaN,"High income",0.24,78.198,"Does not meet sequencing target"
"Central African Republic","CAF",4830000,"Low income",0.57,0.955,"Does not meet sequencing target"
"Chad","TCD",16426000,"Low income",1.89,0.29,"Does not meet sequencing target"
"Chile","CHL",19116000,"High income",0.88,107.983,"Meets sequencing target"
"China","CHN",1439324000,"Upper middle income",0.09,0.054,"Does not meet sequencing target"
"Colombia","COL",50883000,"Upper middle income",0.44,27.593,"Does not meet sequencing target"
"Comoros","COM",870000,"Lower middle income",0.66,3.152,"Does not meet sequencing target"
"Cook Islands","COK",NaN,"No income data",0,NaN,"Does not meet sequencing target"
"Costa Rica","CRI",5094000,"Upper middle income",0.52,60.867,"Meets sequencing target"
"Croatia","HRV",4105000,"High income",3.38,653.362,"Meets sequencing target"
"Cuba","CUB",11327000,"Upper middle income",0.06,4.869,"Does not meet sequencing target"
"Curaçao","CUW",NaN,"High income",3.87,705.721,"Meets sequencing target"
"Cyprus","CYP",1207000,"High income",0,0.112,"Does not meet sequencing target"
"Czech Republic","CZE",10709000,"High income",1.52,321.962,"Meets sequencing target"
"Democratic Republic of the Congo","COD",89561000,"Low income",0.85,0.526,"Does not meet sequencing target"
"Denmark","DNK",5792000,"High income",14.02,6907.692,"Meets sequencing target"
"Djibouti","DJI",988000,"Lower middle income",8.44,37.817,"Meets sequencing target"
"Dominica","DMA",72000,"Upper middle income",0.18,29.097,"Does not meet sequencing target"
"Dominican Republic","DOM",10848000,"Upper middle income",0.29,8.171,"Does not meet sequencing target"
"East Timor","TLS",NaN,"Lower middle income",0.88,13.543,"Meets sequencing target"
"Ecuador","ECU",17643000,"Upper middle income",0.98,26.654,"Meets sequencing target"
"Egypt","EGY",102334000,"Lower middle income",0.25,0.694,"Does not meet sequencing target"
"El Salvador","SLV",6486000,"Lower middle income",0.39,5.584,"Does not meet sequencing target"
"Equatorial Guinea","GNQ",1403000,"Upper middle income",0.25,1.448,"Does not meet sequencing target"
"Eritrea","ERI",3546000,"Low income",0,0,"Does not meet sequencing target"
"Estonia","EST",1327000,"High income",1.5,510.041,"Meets sequencing target"
"Eswatini","SWZ",1160000,"Lower middle income",0.92,40.772,"Meets sequencing target"
"Ethiopia","ETH",114964000,"Low income",0.26,0.477,"Does not meet sequencing target"
"Falkland Islands","FLK",NaN,"No income data",0,0,"Does not meet sequencing target"
"Faroe Islands","FRO",49000,"High income",0,2.039,"Does not meet sequencing target"
"Fiji","FJI",896000,"Upper middle income",0.76,54.27,"Meets sequencing target"
"Finland","FIN",5541000,"High income",2.1,354.177,"Meets sequencing target"
"France","FRA",65274000,"High income",1,346.56,"Meets sequencing target"
"French Polynesia","PYF",281000,"High income",0.14,27.253,"Does not meet sequencing target"
"Gabon","GAB",2226000,"Upper middle income",1.16,12.463,"Meets sequencing target"
"Georgia","GEO",3989000,"Upper middle income",0.12,41.987,"Does not meet sequencing target"
"Germany","DEU",83784000,"High income",2.2,561.166,"Meets sequencing target"
"Ghana","GHA",31073000,"Lower middle income",3.07,6.631,"Does not meet sequencing target"
"Gibraltar","GIB",NaN,"High income",15.06,6063.934,"Meets sequencing target"
"Greece","GRC",10423000,"High income",0.36,102.326,"Does not meet sequencing target"
"Greenland","GRL",57000,"High income",0,0,"Does not meet sequencing target"
"Grenada","GRD",113000,"Upper middle income",0.35,45.127,"Does not meet sequencing target"
"Guatemala","GTM",17916000,"Upper middle income",0.22,7.452,"Does not meet sequencing target"
"Guinea","GIN",13133000,"Low income",1.85,1.956,"Does not meet sequencing target"
"Guinea-Bissau","GNB",1968000,"Low income",0,0,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.26,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.26,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.26,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.26,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.26,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.26,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.26,16.575,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.26,16.575,"Does not meet sequencing target"
"Haiti","HTI",NaN,"Low income",0.88,1.343,"Does not meet sequencing target"
"Honduras","HND",9905000,"Lower middle income",0.08,1.65,"Does not meet sequencing target"
"Hong Kong SAR, China","HKG",7497000,"High income",0.18,28.771,"Does not meet sequencing target"
"Hungary","HUN",9660000,"High income",0.01,1.173,"Does not meet sequencing target"
"Iceland","ISL",341000,"High income",2.22,1077.572,"Meets sequencing target"
"India","IND",1380004000,"Lower middle income",0.55,9.327,"Does not meet sequencing target"
"Indonesia","IDN",273524000,"Upper middle income",0.47,7.463,"Does not meet sequencing target"
"Iran","IRN",83993000,"Upper middle income",0.02,0.954,"Does not meet sequencing target"
"Iraq","IRQ",40223000,"Upper middle income",0.05,1.52,"Does not meet sequencing target"
"Ireland","IRL",4938000,"High income",4.17,1067.47,"Meets sequencing target"
"Isle of Man","IMN",NaN,"High income",0,0,"Does not meet sequencing target"
"Israel","ISR",8656000,"High income",1.9,662.415,"Meets sequencing target"
"Italy","ITA",60462000,"High income",0.65,134.206,"Meets sequencing target"
"Ivory Coast","CIV",26378000,"Lower middle income",0.49,0.643,"Does not meet sequencing target"
"Jamaica","JAM",2961000,"Upper middle income",1.24,34.976,"Meets sequencing target"
"Japan","JPN",126476000,"High income",2.76,159.301,"Meets sequencing target"
"Jordan","JOR",10203000,"Upper middle income",0.07,6.729,"Does not meet sequencing target"
"Kazakhstan","KAZ",18777000,"Upper middle income",0.02,1.053,"Does not meet sequencing target"
"Kenya","KEN",53771000,"Lower middle income",3.27,9.728,"Does not meet sequencing target"
"Kiribati","KIR",NaN,"Lower middle income",0,NaN,"Does not meet sequencing target"
"Kuwait","KWT",4271000,"High income",0.11,8.987,"Does not meet sequencing target"
"Kyrgyzstan","KGZ",6524000,"Lower middle income",0.09,1.463,"Does not meet sequencing target"
"Laos","LAO",NaN,"Lower middle income",0.01,0.257,"Does not meet sequencing target"
"Latvia","LVA",1886000,"High income",1.05,395.622,"Meets sequencing target"
"Lebanon","LBN",6825000,"Upper middle income",0.07,5.761,"Does not meet sequencing target"
"Lesotho","LSO",2142000,"Lower middle income",0.02,0.232,"Does not meet sequencing target"
"Liberia","LBR",5058000,"Low income",1.76,1.853,"Does not meet sequencing target"
"Libya","LBY",6871000,"Upper middle income",0,0.129,"Does not meet sequencing target"
"Liechtenstein","LIE",NaN,"High income",8.32,3079.417,"Meets sequencing target"
"Lithuania","LTU",2722000,"High income",3.58,1076.226,"Meets sequencing target"
"Luxembourg","LUX",626000,"High income",9.46,2543.265,"Meets sequencing target"
"Macao SAR, China","MAC",NaN,"High income",0,0,"Does not meet sequencing target"
"Madagascar","MDG",27691000,"Low income",0.25,0.239,"Does not meet sequencing target"
"Malawi","MWI",19130000,"Low income",1.17,3.089,"Does not meet sequencing target"
"Malaysia","MYS",32366000,"Upper middle income",0.36,43.794,"Does not meet sequencing target"
"Maldives","MDV",541000,"Upper middle income",0.81,220.926,"Meets sequencing target"
"Mali","MLI",20251000,"Low income",0.07,0.058,"Does not meet sequencing target"
"Malta","MLT",442000,"High income",1.24,148.033,"Meets sequencing target"
"Marshall Islands","MHL",NaN,"Upper middle income",0,0,"Does not meet sequencing target"
"Mauritania","MRT",4650000,"Lower middle income",0.1,0.859,"Does not meet sequencing target"
"Mauritius","MUS",1272000,"High income",0.64,110.725,"Meets sequencing target"
"Mexico","MEX",128933000,"Upper middle income",1.39,36.245,"Meets sequencing target"
"Micronesia","FSM",NaN,"Lower middle income",0,0,"Does not meet sequencing target"
"Moldova","MDA",4034000,"Lower middle income",0.19,12.425,"Does not meet sequencing target"
"Monaco","MCO",NaN,"High income",0.94,222.672,"Meets sequencing target"
"Mongolia","MNG",NaN,"Lower middle income",0.1,25.741,"Does not meet sequencing target"
"Montenegro","MNE",628000,"Upper middle income",0.52,113.844,"Meets sequencing target"
"Montserrat","MSR",NaN,"No income data",6.79,301.144,"Meets sequencing target"
"Morocco","MAR",36911000,"Lower middle income",0.06,1.001,"Does not meet sequencing target"
"Mozambique","MOZ",31255000,"Low income",0.4,1.931,"Does not meet sequencing target"
"Myanmar","MMR",54410000,"Lower middle income",0.02,0.135,"Does not meet sequencing target"
"Namibia","NAM",2541000,"Upper middle income",0.24,10.049,"Does not meet sequencing target"
"Nepal","NPL",29137000,"Lower middle income",0.28,6.025,"Does not meet sequencing target"
