"Country","Socioeconomic status","Date tests last reported","Test positivity rate (%)","Average daily tests","% of cases sequenced","Number of sequences","Cumulative number of sequences entire pandemic","Test Archetype","Sequencing Archetype"
"Afghanistan","Low income","May 01, 2022","21.9 %","0.04 per 1,000 persons","0.05 %","0.1 per 100k persons",103,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Albania","Upper middle income","May 01, 2022","12.3 %","1.12 per 1,000 persons","0.02 %","0.9 per 100k persons",57,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Algeria","Lower middle income","November 01, 2020","Insufficient data","Insufficient data","0.13 %","0.4 per 100k persons",262,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"American Samoa","Upper middle income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Andorra","High income","March 01, 2022","21 %","5.03 per 1,000 persons","0.66 %","240.5 per 100k persons",187,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Angola","Lower middle income","April 05, 2022","7.2 %","0.09 per 1,000 persons","0.58 %","1.2 per 100k persons",1204,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Antigua and Barbuda","High income","June 07, 2021","2.6 %","0.35 per 1,000 persons","2.64 %","171.2 per 100k persons",187,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Argentina","Upper middle income","April 17, 2022","24.8 %","1.55 per 1,000 persons","0.22 %","29.4 per 100k persons",18356,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Armenia","Upper middle income","May 01, 2022","10.1 %","1.91 per 1,000 persons","0.05 %","3.6 per 100k persons",191,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Aruba","High income","No tests reported","Insufficient data","Insufficient data","9.37 %","2114.8 per 100k persons",3167,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Australia","High income","May 01, 2022","11.3 %","5.63 per 1,000 persons","1.31 %","303 per 100k persons",98612,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Austria","High income","May 01, 2022","2.3 %","45.99 per 1,000 persons","2.1 %","818 per 100k persons",97953,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Azerbaijan","Upper middle income","May 01, 2022","13.3 %","0.97 per 1,000 persons","0 %","0.1 per 100k persons",151,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Bahrain","High income","May 01, 2022","6.9 %","9.12 per 1,000 persons","0.53 %","117.6 per 100k persons",2269,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Bangladesh","Lower middle income","May 01, 2022","14 %","0.14 per 1,000 persons","0.33 %","2.4 per 100k persons",6133,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Barbados","High income","May 01, 2022","13.3 %","4.71 per 1,000 persons","0.14 %","32 per 100k persons",114,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Belarus","Upper middle income","May 01, 2022","8.5 %","2.12 per 1,000 persons","0.05 %","3.6 per 100k persons",430,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Belgium","High income","April 29, 2022","14.4 %","5.01 per 1,000 persons","2.78 %","730.8 per 100k persons",108745,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Belize","Upper middle income","April 29, 2022","10.6 %","2.91 per 1,000 persons","1.27 %","140.8 per 100k persons",685,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Benin","Lower middle income","January 25, 2022","Insufficient data","Insufficient data","0.52 %","3.3 per 100k persons",861,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Bermuda","High income","April 28, 2022","No cases reported","28.26 per 1,000 persons","0.85 %","151.4 per 100k persons",134,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Bhutan","Lower middle income","March 01, 2022","1.1 %","4.42 per 1,000 persons","0 %","0 per 100k persons",0,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Bolivia","Lower middle income","January 02, 2022","16.3 %","0.65 per 1,000 persons","0.02 %","1.1 per 100k persons",267,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Bosnia and Herzegovina","Upper middle income","May 01, 2022","28.6 %","0.53 per 1,000 persons","0.73 %","40.2 per 100k persons",1433,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Botswana","Upper middle income","March 17, 2022","20.4 %","1.48 per 1,000 persons","1.23 %","132.9 per 100k persons",3467,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Brazil","Upper middle income","March 11, 2022","40.7 %","0.54 per 1,000 persons","0.7 %","50.7 per 100k persons",134497,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"British Virgin Islands","High income","No tests reported","Insufficient data","Insufficient data","2.68 %","542.4 per 100k persons",178,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Brunei","High income","December 14, 2021","2.8 %","5.47 per 1,000 persons","1.31 %","421.7 per 100k persons",1872,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Bulgaria","Upper middle income","May 01, 2022","10.3 %","2.9 per 1,000 persons","1.69 %","184.8 per 100k persons",15729,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Burkina Faso","Low income","March 09, 2022","5.2 %","0.02 per 1,000 persons","0.56 %","0.2 per 100k persons",616,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Burundi","Low income","April 25, 2022","2.9 %","0.28 per 1,000 persons","0.18 %","0.5 per 100k persons",63,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Cambodia","Lower middle income","May 01, 2022","6 %","0.34 per 1,000 persons","2.34 %","16.9 per 100k persons",3057,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cameroon","Lower middle income","April 19, 2022","4.2 %","0.13 per 1,000 persons","0.94 %","1.6 per 100k persons",734,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Canada","High income","April 29, 2022","8.6 %","2.15 per 1,000 persons","8.2 %","546 per 100k persons",292525,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cape Verde","Lower middle income","May 01, 2022","11 %","1.48 per 1,000 persons","1.14 %","64.6 per 100k persons",410,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cayman Islands","High income","No tests reported","Insufficient data","Insufficient data","0.24 %","78.2 per 100k persons",101,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Central African Republic","Low income","April 30, 2022","19.1 %","0.02 per 1,000 persons","0.57 %","1 per 100k persons",110,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Chad","Low income","April 27, 2022","2.8 %","0.02 per 1,000 persons","1.89 %","0.3 per 100k persons",49,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Chile","High income","May 01, 2022","9.9 %","3.44 per 1,000 persons","0.88 %","108 per 100k persons",23687,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"China","Upper middle income","June 24, 2020","Insufficient data","Insufficient data","0.09 %","0.1 per 100k persons",1982,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Colombia","Upper middle income","May 01, 2022","16.5 %","1.07 per 1,000 persons","0.44 %","27.6 per 100k persons",16552,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Comoros","Lower middle income","November 27, 2020","Insufficient data","Insufficient data","0.66 %","3.2 per 100k persons",34,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Costa Rica","Upper middle income","April 27, 2022","18.2 %","1.79 per 1,000 persons","0.52 %","60.9 per 100k persons",3825,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Croatia","High income","May 01, 2022","26.5 %","2 per 1,000 persons","3.38 %","653.4 per 100k persons",30493,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cuba","Upper middle income","April 30, 2022","9.9 %","2.44 per 1,000 persons","0.06 %","4.9 per 100k persons",1170,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Curaçao","High income","No tests reported","Insufficient data","Insufficient data","3.87 %","705.7 per 100k persons",1550,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Cyprus","High income","July 11, 2021","0.5 %","43.44 per 1,000 persons","0 %","0.1 per 100k persons",728,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Czech Republic","High income","May 01, 2022","6.1 %","9.6 per 1,000 persons","1.52 %","322 per 100k persons",39283,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Democratic Republic of the Congo","Low income","May 01, 2022","6.7 %","0.03 per 1,000 persons","0.85 %","0.5 per 100k persons",1093,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Denmark","High income","April 28, 2022","3.2 %","42.64 per 1,000 persons","14.02 %","6907.7 per 100k persons",492814,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Djibouti","Lower middle income","April 30, 2022","2.9 %","0.44 per 1,000 persons","8.44 %","37.8 per 100k persons",687,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Dominica","Upper middle income","December 28, 2021","5.9 %","6.22 per 1,000 persons","0.18 %","29.1 per 100k persons",30,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Dominican Republic","Upper middle income","September 23, 2021","14.1 %","0.4 per 1,000 persons","0.29 %","8.2 per 100k persons",1162,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"East Timor","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.88 %","13.5 per 100k persons",356,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Ecuador","Upper middle income","February 01, 2022","30.3 %","0.24 per 1,000 persons","0.98 %","26.7 per 100k persons",5185,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Egypt","Lower middle income","March 31, 2022","8.2 %","0.1 per 1,000 persons","0.25 %","0.7 per 100k persons",1829,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"El Salvador","Lower middle income","March 18, 2022","9.8 %","0.44 per 1,000 persons","0.39 %","5.6 per 100k persons",461,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Equatorial Guinea","Upper middle income","April 24, 2022","4.4 %","0.37 per 1,000 persons","0.25 %","1.4 per 100k persons",212,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Eritrea","Low income","December 21, 2020","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Estonia","High income","April 30, 2022","22 %","4.23 per 1,000 persons","1.5 %","510 per 100k persons",10722,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Eswatini","Lower middle income","May 01, 2022","15.6 %","0.79 per 1,000 persons","0.92 %","40.8 per 100k persons",548,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Ethiopia","Low income","May 01, 2022","9.7 %","0.05 per 1,000 persons","0.26 %","0.5 per 100k persons",616,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Faroe Islands","High income","February 27, 2022","No cases reported","35.18 per 1,000 persons","0 %","2 per 100k persons",42,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Fiji","Upper middle income","April 28, 2022","14.1 %","1.4 per 1,000 persons","0.76 %","54.3 per 100k persons",531,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Finland","High income","April 28, 2022","14.8 %","3.11 per 1,000 persons","2.1 %","354.2 per 100k persons",30756,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"France","High income","May 01, 2022","12.1 %","8.11 per 1,000 persons","1 %","346.6 per 100k persons",280083,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"French Polynesia","High income","September 07, 2020","Insufficient data","Insufficient data","0.14 %","27.3 per 100k persons",110,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Gabon","Upper middle income","April 30, 2022","2.9 %","1.07 per 1,000 persons","1.16 %","12.5 per 100k persons",952,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Georgia","Upper middle income","June 16, 2021","8.8 %","2.82 per 1,000 persons","0.12 %","42 per 100k persons",1762,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Germany","High income","April 28, 2022","30.5 %","2.31 per 1,000 persons","2.2 %","561.2 per 100k persons",580593,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Ghana","Lower middle income","May 01, 2022","5.1 %","0.12 per 1,000 persons","3.07 %","6.6 per 100k persons",3423,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Gibraltar","High income","No tests reported","Insufficient data","Insufficient data","15.06 %","6063.9 per 100k persons",2749,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Greece","High income","May 01, 2022","4.2 %","18.78 per 1,000 persons","0.36 %","102.3 per 100k persons",16619,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Greenland","High income","August 25, 2021","No cases reported","5 per 1,000 persons","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Grenada","Upper middle income","January 23, 2022","11.9 %","3.08 per 1,000 persons","0.35 %","45.1 per 100k persons",58,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Guam","High income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",692,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Guatemala","Upper middle income","April 29, 2022","19.4 %","0.49 per 1,000 persons","0.22 %","7.5 per 100k persons",1814,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Guinea","Low income","March 24, 2022","6.1 %","0.05 per 1,000 persons","1.85 %","2 per 100k persons",545,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Guinea-Bissau","Low income","May 01, 2022","6.3 %","0.1 per 1,000 persons","0 %","0 per 100k persons",48,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Guyana","Upper middle income","December 28, 2021","8.7 %","1.57 per 1,000 persons","0.26 %","16.6 per 100k persons",145,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Haiti","Low income","No tests reported","Insufficient data","Insufficient data","0.88 %","1.3 per 100k persons",186,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Honduras","Lower middle income","December 22, 2021","32.5 %","0.22 per 1,000 persons","0.08 %","1.6 per 100k persons",231,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Hong Kong SAR, China","High income","March 29, 2022","No cases reported","12.21 per 1,000 persons","0.18 %","28.8 per 100k persons",4904,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Hungary","High income","April 29, 2022","18.7 %","1.7 per 1,000 persons","0.01 %","1.2 per 100k persons",549,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Iceland","High income","April 29, 2022","12.9 %","11.14 per 1,000 persons","2.22 %","1077.6 per 100k persons",9812,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"India","Lower middle income","May 01, 2022","4.5 %","1.1 per 1,000 persons","0.55 %","9.3 per 100k persons",172434,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Indonesia","Upper middle income","May 01, 2022","5.1 %","0.86 per 1,000 persons","0.47 %","7.5 per 100k persons",23836,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Iran","Upper middle income","April 26, 2022","13.4 %","1.16 per 1,000 persons","0.02 %","1 per 100k persons",1419,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Iraq","Upper middle income","April 28, 2022","13.8 %","0.63 per 1,000 persons","0.05 %","1.5 per 100k persons",862,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Ireland","High income","April 29, 2022","16.9 %","4.22 per 1,000 persons","4.17 %","1067.5 per 100k persons",67116,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Isle of Man","High income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Israel","High income","January 23, 2022","4.7 %","13.53 per 1,000 persons","1.9 %","662.4 per 100k persons",73394,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Italy","High income","May 01, 2022","8 %","7.02 per 1,000 persons","0.65 %","134.2 per 100k persons",115415,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Ivory Coast","Lower middle income","May 01, 2022","4 %","0.09 per 1,000 persons","0.49 %","0.6 per 100k persons",758,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Jamaica","Upper middle income","December 26, 2021","12.8 %","0.52 per 1,000 persons","1.24 %","35 per 100k persons",1212,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Japan","High income","May 01, 2022","21.4 %","0.73 per 1,000 persons","2.76 %","159.3 per 100k persons",257865,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Jordan","Upper middle income","April 20, 2022","9.8 %","2.71 per 1,000 persons","0.07 %","6.7 per 100k persons",1421,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kazakhstan","Upper middle income","May 28, 2021","4.4 %","2.77 per 1,000 persons","0.02 %","1.1 per 100k persons",584,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kenya","Lower middle income","May 01, 2022","8.6 %","0.1 per 1,000 persons","3.27 %","9.7 per 100k persons",8904,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kiribati","Lower middle income","No tests reported","Insufficient data","Insufficient data","0 %","Insufficient data",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Kosovo","Upper middle income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Kuwait","High income","March 10, 2022","6.5 %","4.04 per 1,000 persons","0.11 %","9 per 100k persons",469,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kyrgyzstan","Lower middle income","June 23, 2021","1.8 %","3.44 per 1,000 persons","0.09 %","1.5 per 100k persons",114,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Laos","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.01 %","0.3 per 100k persons",24,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Latvia","High income","May 01, 2022","14.3 %","7.13 per 1,000 persons","1.05 %","395.6 per 100k persons",12941,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
