"Country","Region","WHO testing Capacity","Max 30-day average of new tests per capita","Sequencing capacity","Cumulative GISAID sequences","New cases per capita in the last 7 days per 100k","Archetype"
"Albania","Europe","1 - Reliable",190.16,"0 - 0 NGS facilities or equivalent",42,103.62,"2 - Connect"
"Andorra","Europe","1 - Reliable",11029.48,"0 - 0 NGS facilities or equivalent",29,38.83,"0 - High Income*"
"Armenia","Europe","1 - Reliable",230.7,"0 - 0 NGS facilities or equivalent",143,269.77,"2 - Connect"
"Austria","Europe","1 - Reliable",5074.8,"2 - 4+ NGS facilities or equivalent",61004,143.88,"0 - High Income*"
"Azerbaijan","Europe","0 - Unreliable",161.18,"1 - 1-3 NGS facilities or equivalent",14,70.21,"3 - Leverage"
"Belarus","Europe","1 - Reliable",336.13,"1 - 1-3 NGS facilities or equivalent",91,148.12,"3 - Leverage"
"Belgium","Europe","1 - Reliable",1311.73,"2 - 4+ NGS facilities or equivalent",52032,110.9,"0 - High Income*"
"Bosnia and Herzegovina","Europe","1 - Reliable",102.26,"1 - 1-3 NGS facilities or equivalent",273,122.26,"3 - Leverage"
"Bulgaria","Europe","1 - Reliable",302.99,"2 - 4+ NGS facilities or equivalent",5426,243.42,"4 - Strengthen"
"Croatia","Europe","1 - Reliable",237.5,"1 - 1-3 NGS facilities or equivalent",8404,227.76,"0 - High Income*"
"Cyprus","Europe","1 - Reliable",5361.32,"1 - 1-3 NGS facilities or equivalent",168,110.47,"0 - High Income*"
"Czech Republic","Europe","1 - Reliable",2964.16,"1 - 1-3 NGS facilities or equivalent",10090,68.79,"0 - High Income*"
"Denmark","Europe","1 - Reliable",9787.53,"2 - 4+ NGS facilities or equivalent",175583,75.2,"0 - High Income*"
"Estonia","Europe","1 - Reliable",606.94,"1 - 1-3 NGS facilities or equivalent",6237,534.47,"0 - High Income*"
"Faroe Islands","Europe","1 - Reliable",3988.98,"0 - 0 NGS facilities or equivalent",42,157.58,"0 - High Income*"
"Finland","Europe","1 - Reliable",419.13,"2 - 4+ NGS facilities or equivalent",18886,60.61,"0 - High Income*"
