"Country","Region","WHO testing Capacity","Max 30-day average of new tests per capita","Sequencing capacity","Cumulative GISAID sequences","New cases per capita in the last 7 days per 100k","Archetype"
"Abyei","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Abyei Disputed Boundary","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Abyei Disputed Boundary","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Abyei Disputed Boundary","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Afghanistan","Eastern Mediterranean","1 - Reliable",10.65,"0 - 0 NGS facilities or equivalent",99,0.63,"2 - Connect"
"Aksai Chin","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Aksai Chin Disputed Boundary","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Aksai Chin Disputed Boundary","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Albania","Europe","1 - Reliable",190.16,"0 - 0 NGS facilities or equivalent",42,103.62,"2 - Connect"
"Algeria","Africa","1 - Reliable",4.46,"0 - 0 NGS facilities or equivalent",72,1.66,"2 - Connect"
"American Samoa","Western Pacific","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"Andorra","Europe","1 - Reliable",11029.48,"0 - 0 NGS facilities or equivalent",29,38.83,"0 - High Income*"
"Angola","Africa","1 - Reliable",16.29,"0 - 0 NGS facilities or equivalent",945,5.16,"3 - Leverage"
"Anguilla","",NaN,NaN,"0 - 0 NGS facilities or equivalent",12,1273.16,"1 - Test"
"Antigua and Barbuda","Americas","0 - Unreliable",131.09,"0 - 0 NGS facilities or equivalent",67,259.37,"0 - High Income*"
"Argentina","Americas","1 - Reliable",260.95,"2 - 4+ NGS facilities or equivalent",8500,11.96,"4 - Strengthen"
"Armenia","Europe","1 - Reliable",230.7,"0 - 0 NGS facilities or equivalent",143,269.77,"2 - Connect"
