"Country","Region","WHO testing Capacity","Max 30-day average of new tests per capita","Sequencing capacity","Cumulative GISAID sequences","New cases per capita in the last 7 days per 100k","Archetype"
"American Samoa","Western Pacific","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"Australia","Western Pacific","1 - Reliable",863.04,"2 - 4+ NGS facilities or equivalent",34835,53.37,"0 - High Income*"
"Brunei","Western Pacific","1 - Reliable",1098.2,"1 - 1-3 NGS facilities or equivalent",38,346.3,"0 - High Income*"
"Cambodia","Western Pacific","1 - Reliable",3381.69,"1 - 1-3 NGS facilities or equivalent",1165,10.07,"4 - Strengthen"
"China","Western Pacific","1 - Reliable",49.85,"2 - 4+ NGS facilities or equivalent",1337,0.02,"0 - High Income*"
"Fiji","Western Pacific","1 - Reliable",349,"0 - 0 NGS facilities or equivalent",531,35.7,"3 - Leverage"
"French Polynesia","Western Pacific","0 - Unreliable",33.29,"0 - 0 NGS facilities or equivalent",11,28.48,"0 - High Income*"
"Guam","Western Pacific","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",196,253,"0 - High Income*"
"Hong Kong SAR, China","Western Pacific","1 - Reliable",1183.81,"2 - 4+ NGS facilities or equivalent",5015,NaN,"0 - High Income*"
"Japan","Western Pacific","1 - Reliable",94.63,"2 - 4+ NGS facilities or equivalent",130768,3.87,"0 - High Income*"
"Kiribati","Western Pacific","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"2 - Connect"
"Laos","Western Pacific","1 - Reliable",37.1,"0 - 0 NGS facilities or equivalent",23,48.13,"2 - Connect"
"Macao SAR, China","Western Pacific","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"0 - High Income*"
"Malaysia","Western Pacific","1 - Reliable",284.15,"1 - 1-3 NGS facilities or equivalent",3807,178.25,"4 - Strengthen"
"Marshall Islands","Western Pacific","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"Micronesia","Western Pacific","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"Mongolia","Western Pacific","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",28,276.49,"2 - Connect"
"Nauru","Western Pacific","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"0 - High Income*"
"New Zealand","Western Pacific","1 - Reliable",426.86,"2 - 4+ NGS facilities or equivalent",2806,7.26,"0 - High Income*"
"Northern Mariana Islands","Western Pacific","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",152,15.64,"0 - High Income*"
"Palau","Western Pacific","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,16.58,"0 - High Income*"
"Papua New Guinea","Western Pacific","0 - Unreliable",11.79,"0 - 0 NGS facilities or equivalent",1001,23.97,"1 - Test"
"Philippines","Western Pacific","1 - Reliable",72.12,"1 - 1-3 NGS facilities or equivalent",7134,61.63,"4 - Strengthen"
"Samoa","Western Pacific","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"Singapore","Western Pacific","1 - Reliable",1278.43,"2 - 4+ NGS facilities or equivalent",8361,376.29,"0 - High Income*"
"Solomon Islands","Western Pacific","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",6,0,"2 - Connect"
"South Korea","Western Pacific","1 - Reliable",95.55,"2 - 4+ NGS facilities or equivalent",16018,23.17,"0 - High Income*"
"Taiwan","Western Pacific","1 - Reliable",215.97,"2 - 4+ NGS facilities or equivalent",256,NaN,"0 - High Income*"
"Tonga","Western Pacific","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"2 - Connect"
"Tuvalu","Western Pacific","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"Vanuatu","Western Pacific","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",2,0,"2 - Connect"
"Vietnam","Western Pacific","1 - Reliable",13.21,"1 - 1-3 NGS facilities or equivalent",695,27.74,"4 - Strengthen"
