"Country","Socioeconomic status","Date tests last reported","Test positivity rate (%)","Average daily tests","% of cases sequenced","Number of sequences","Cumulative number of sequences entire pandemic","Test Archetype","Sequencing Archetype"
"Afghanistan","Low income","May 12, 2022","13 %","0.02 per 1,000 persons","0.04 %","0 per 100k persons",120,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Albania","Upper middle income","October 30, 2022","21.3 %","0.66 per 1,000 persons","0.01 %","0.5 per 100k persons",58,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Algeria","Lower middle income","November 01, 2020","Insufficient data","Insufficient data","0.48 %","0.7 per 100k persons",472,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"American Samoa","Upper middle income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Andorra","High income","March 01, 2022","28.7 %","8.34 per 1,000 persons","1 %","388.3 per 100k persons",347,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Angola","Lower middle income","September 13, 2022","2.1 %","0.18 per 1,000 persons","0.31 %","0.3 per 100k persons",1283,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Antigua and Barbuda","High income","June 07, 2021","Insufficient data","Insufficient data","2.06 %","110.9 per 100k persons",239,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Argentina","Upper middle income","April 17, 2022","35.3 %","1.39 per 1,000 persons","0.19 %","18.9 per 100k persons",21814,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Armenia","Upper middle income","June 06, 2022","10.3 %","1.76 per 1,000 persons","0.03 %","1.4 per 100k persons",192,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Aruba","High income","No tests reported","Insufficient data","Insufficient data","3.12 %","828.5 per 100k persons",3716,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Australia","High income","September 09, 2022","28.3 %","4.42 per 1,000 persons","1.13 %","442.4 per 100k persons",160287,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Austria","High income","October 29, 2022","4.5 %","31.51 per 1,000 persons","2.56 %","1325.4 per 100k persons",176483,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Azerbaijan","Upper middle income","October 31, 2022","13.8 %","0.58 per 1,000 persons","0 %","0.1 per 100k persons",151,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Bahrain","High income","November 01, 2022","11.4 %","5.81 per 1,000 persons","1.86 %","520.9 per 100k persons",10302,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
