"country","code","population_size","world_bank_economies","date_tests_last_reported","days_since_tests_reported","tpr_year_smoothed_truncated","avg_daily_tests_per_1000_last_year_smoothed","cum_seq","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","dx_testing_binary","sars_cov_2_binary","ngs_capacity","facility_access","ngs_facility","archetype_orig","dx_archetype","sx_archetype","dx_testing_rec","sx_sequencing_rec","prev_dx","prev_sequ","seq_but_no_test_flag","TPR_pct","daily_tests_per_1000","pct_seq","seq_per_100k"
"Afghanistan","AFG",38928000,"Low income","May 12, 2022",173,0.13,0.02,120,0.04,0.041,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","13 %","0.02 per 1,000 persons","0.04 %","0 per 100k persons"
"Albania","ALB",2878000,"Upper middle income","October 30, 2022",2,0.2135,0.66,58,0.01,0.528,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","21.3 %","0.66 per 1,000 persons","0.01 %","0.5 per 100k persons"
"Algeria","DZA",43851000,"Lower middle income","November 01, 2020",730,NaN,NaN,472,0.48,0.688,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","0.48 %","0.7 per 100k persons"
"American Samoa","ASM",NaN,"Upper middle income","No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient testing data","Insufficient data",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Insufficient data","Insufficient data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics","Insufficient data","Insufficient data","no","Insufficient data","Insufficient data","Insufficient data","Insufficient data"
"Andorra","AND",77000,"High income","March 01, 2022",245,0.2869,8.34,347,1,388.262,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","28.7 %","8.34 per 1,000 persons","1 %","388.3 per 100k persons"
"Angola","AGO",32866000,"Lower middle income","September 13, 2022",49,0.0209,0.18,1283,0.31,0.332,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","2.1 %","0.18 per 1,000 persons","0.31 %","0.3 per 100k persons"
"Anguilla","AIA",NaN,"No income data","No tests reported",NaN,NaN,NaN,101,2.22,409.397,"Insufficient testing data","Meets sequencing target",NaN,"Insufficient data",NaN,"Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","2.22 %","409.4 per 100k persons"
"Antigua and Barbuda","ATG",98000,"High income","June 07, 2021",512,NaN,NaN,239,2.06,110.907,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","2.06 %","110.9 per 100k persons"
"Argentina","ARG",45196000,"Upper middle income","April 17, 2022",198,0.3532,1.39,21814,0.19,18.877,"Insufficient testing data","Does not meet sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Leverage","Insufficient data","Strengthen/Leverage","Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","35.3 %","1.39 per 1,000 persons","0.19 %","18.9 per 100k persons"
"Armenia","ARM",2963000,"Upper middle income","June 06, 2022",148,0.1035,1.76,192,0.03,1.439,"Meets testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Sustain","Connect/Build","Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Sustain","Connect/Build","no","10.3 %","1.76 per 1,000 persons","0.03 %","1.4 per 100k persons"
