"","name","world_bank_economies","prev_sequ","sx_archetype","prev_dx","dx_archetype","tpr_year_smoothed_truncated","avg_daily_tests_per_1000_last_year_smoothed","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","ngs_capacity","ngs_facility"
"1","Barbados","High income","Connect/Build","Connect/Build","Sustain","Test",0.2102,4.29,0.13,41.963,0,"0 NGS facilities or equivalent"
"2","Belgium","High income","Sustain","Sustain","Sustain","Test",0.2103,3.71,3.11,882.545,2,"4+ NGS facilities or equivalent"
"3","Burkina Faso","Low income","Strengthen/Leverage","Strengthen/Leverage","Test","Insufficient data",0.0832,0.02,0.52,0.172,1,"1-3 NGS facilities or equivalent"
"4","Eswatini","Lower middle income","Sustain","Sustain","Sustain","Test",0.1366,0.48,2.25,51.666,0,"0 NGS facilities or equivalent"
"5","Kuwait","High income","Strengthen/Leverage","Strengthen/Leverage","Sustain","Insufficient data",0.0602,5.09,0.17,9.859,1,"1-3 NGS facilities or equivalent"
"6","Latvia","High income","Sustain","Sustain","Sustain","Test",0.2324,4.82,1.19,489.776,1,"1-3 NGS facilities or equivalent"
"7","Nauru","High income","Insufficient data","Connect/Build","Insufficient data","Insufficient data",NA,NA,0,0,0,"0 NGS facilities or equivalent"
"8","Paraguay","Upper middle income","Connect/Build","Connect/Build","Test","Insufficient data",0.2442,0.6,0.47,17.9,0,"0 NGS facilities or equivalent"
"9","Poland","High income","Sustain","Sustain","Sustain","Test",0.2047,1.21,1.88,165.792,2,"4+ NGS facilities or equivalent"
"10","Qatar","High income","Sustain","Strengthen/Leverage","Sustain","Sustain",0.1645,1.23,0.42,33.368,2,"4+ NGS facilities or equivalent"
"11","Sri Lanka","Lower middle income","Sustain","Strengthen/Leverage","Test","Test",0.0754,0.35,1.33,9.287,1,"1-3 NGS facilities or equivalent"
"12","Tuvalu","Upper middle income","Insufficient data","Connect/Build","Insufficient data","Insufficient data",NA,NA,0,0,0,"0 NGS facilities or equivalent"
"13","Uruguay","High income","Strengthen/Leverage","Strengthen/Leverage","Sustain","Test",0.2011,3.59,0.01,2.043,2,"4+ NGS facilities or equivalent"
