"Country","Socioeconomic status","Date tests last reported","Test positivity rate (%)","Average daily tests","% of cases sequenced","Number of sequences","Cumulative number of sequences entire pandemic","Test Archetype","Sequencing Archetype"
"Afghanistan","Low income","May 12, 2022","12.7 %","0.02 per 1,000 persons","0.04 %","0 per 100k persons",120,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Albania","Upper middle income","September 30, 2022","20.8 %","0.75 per 1,000 persons","0.01 %","0.6 per 100k persons",58,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Algeria","Lower middle income","November 01, 2020","Insufficient data","Insufficient data","0.35 %","0.5 per 100k persons",396,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"American Samoa","Upper middle income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Andorra","High income","March 01, 2022","26.8 %","7.24 per 1,000 persons","1 %","392.2 per 100k persons",343,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Angola","Lower middle income","September 13, 2022","2.4 %","0.17 per 1,000 persons","0.32 %","0.4 per 100k persons",1283,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Antigua and Barbuda","High income","June 07, 2021","Insufficient data","Insufficient data","2.19 %","135.2 per 100k persons",239,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Argentina","Upper middle income","April 17, 2022","31.8 %","1.32 per 1,000 persons","0.22 %","21.6 per 100k persons",21449,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Armenia","Upper middle income","June 06, 2022","11.7 %","1.87 per 1,000 persons","0.02 %","1.5 per 100k persons",192,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Aruba","High income","No tests reported","Insufficient data","Insufficient data","3.17 %","815.7 per 100k persons",3660,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Australia","High income","September 09, 2022","24.6 %","4.66 per 1,000 persons","1.11 %","435.1 per 100k persons",152256,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Austria","High income","September 12, 2022","3.9 %","34.97 per 1,000 persons","2.57 %","1269 per 100k persons",164835,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Azerbaijan","Upper middle income","October 01, 2022","14.1 %","0.65 per 1,000 persons","0 %","0.1 per 100k persons",151,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Bahrain","High income","October 01, 2022","10.2 %","6.39 per 1,000 persons","1.53 %","424.1 per 100k persons",7906,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Bangladesh","Lower middle income","September 27, 2022","9 %","0.09 per 1,000 persons","0.58 %","1.6 per 100k persons",7218,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Barbados","High income","October 01, 2022","21 %","4.29 per 1,000 persons","0.13 %","42 per 100k persons",212,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Belarus","Upper middle income","July 06, 2022","8.8 %","1.96 per 1,000 persons","0.06 %","2.9 per 100k persons",520,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Belgium","High income","September 30, 2022","21 %","3.71 per 1,000 persons","3.11 %","882.5 per 100k persons",161597,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Belize","Upper middle income","June 10, 2022","12.9 %","3.1 per 1,000 persons","1.32 %","157.7 per 100k persons",957,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Benin","Lower middle income","January 25, 2022","Insufficient data","Insufficient data","12.57 %","3.6 per 100k persons",1250,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Bermuda","High income","September 28, 2022","No cases reported","20.72 per 1,000 persons","1.4 %","282 per 100k persons",233,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Bhutan","Lower middle income","March 01, 2022","1.7 %","5.12 per 1,000 persons","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Bolivia","Lower middle income","January 02, 2022","18 %","0.55 per 1,000 persons","0.02 %","0.9 per 100k persons",345,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Bosnia and Herzegovina","Upper middle income","October 01, 2022","34.9 %","0.4 per 1,000 persons","0.73 %","36.4 per 100k persons",1456,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Botswana","Upper middle income","May 18, 2022","23.9 %","0.99 per 1,000 persons","2.11 %","120 per 100k persons",4566,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Brazil","Upper middle income","August 17, 2022","67.4 %","0.28 per 1,000 persons","0.7 %","43.1 per 100k persons",180928,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"British Virgin Islands","High income","No tests reported","Insufficient data","Insufficient data","2.21 %","331 per 100k persons",195,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Brunei","High income","December 14, 2021","2.7 %","9.64 per 1,000 persons","1.59 %","787.9 per 100k persons",3547,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Bulgaria","Upper middle income","October 01, 2022","13.1 %","2.29 per 1,000 persons","1.63 %","178.6 per 100k persons",19846,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Burkina Faso","Low income","March 09, 2022","8.3 %","0.02 per 1,000 persons","0.52 %","0.2 per 100k persons",664,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Burundi","Low income","September 13, 2022","3.1 %","0.25 per 1,000 persons","0.29 %","0.7 per 100k persons",157,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Cambodia","Lower middle income","September 21, 2022","4.2 %","0.11 per 1,000 persons","9.63 %","14.5 per 100k persons",3603,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cameroon","Lower middle income","August 25, 2022","2.4 %","0.16 per 1,000 persons","2.13 %","2.3 per 100k persons",1305,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Canada","High income","September 23, 2022","12.1 %","1.63 per 1,000 persons","8.62 %","600.9 per 100k persons",397240,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cape Verde","Lower middle income","September 29, 2022","12.5 %","0.98 per 1,000 persons","1.67 %","70.2 per 100k persons",656,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cayman Islands","High income","No tests reported","Insufficient data","Insufficient data","0 %","1.5 per 100k persons",101,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Central African Republic","Low income","September 20, 2022","9.1 %","0.02 per 1,000 persons","1.33 %","0.9 per 100k persons",110,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Chad","Low income","August 16, 2022","3.8 %","0.01 per 1,000 persons","1.34 %","0.2 per 100k persons",49,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Chile","High income","October 01, 2022","12.7 %","3.35 per 1,000 persons","0.76 %","115.6 per 100k persons",35781,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"China","Upper middle income","June 24, 2020","Insufficient data","Insufficient data","0.1 %","0.1 per 100k persons",2492,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Colombia","Upper middle income","September 29, 2022","12.1 %","0.6 per 1,000 persons","1 %","26.2 per 100k persons",22805,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Comoros","Lower middle income","July 06, 2022","8.3 %","0.2 per 1,000 persons","0.65 %","3.4 per 100k persons",34,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Costa Rica","Upper middle income","June 01, 2022","16 %","1.85 per 1,000 persons","0.95 %","107.7 per 100k persons",7092,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Croatia","High income","September 29, 2022","34.4 %","1.61 per 1,000 persons","3.41 %","693.5 per 100k persons",37925,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cuba","Upper middle income","October 01, 2022","5.2 %","1.13 per 1,000 persons","0.23 %","4.7 per 100k persons",1600,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Curaçao","High income","No tests reported","Insufficient data","Insufficient data","4.17 %","631.5 per 100k persons",2015,"Insufficient testing data","Sustain - Sustain current sequencing levels"
