"country","code","population_size","world_bank_economies","date_tests_last_reported","days_since_tests_reported","tpr_year_smoothed_truncated","avg_daily_tests_per_1000_last_year_smoothed","cum_seq","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","dx_testing_binary","sars_cov_2_binary","ngs_capacity","facility_access","ngs_facility","archetype_orig","dx_archetype","sx_archetype","dx_testing_rec","sx_sequencing_rec","prev_dx","prev_sequ","seq_but_no_test_flag","TPR_pct","daily_tests_per_1000","pct_seq","seq_per_100k"
"Afghanistan","AFG",38928000,"Low income","May 12, 2022",142,0.1272,0.02,120,0.04,0.042,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","12.7 %","0.02 per 1,000 persons","0.04 %","0 per 100k persons"
"Albania","ALB",2878000,"Upper middle income","September 30, 2022",1,0.2076,0.75,58,0.01,0.56,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","20.8 %","0.75 per 1,000 persons","0.01 %","0.6 per 100k persons"
"Algeria","DZA",43851000,"Lower middle income","November 01, 2020",699,NaN,NaN,396,0.35,0.527,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","0.35 %","0.5 per 100k persons"
"American Samoa","ASM",NaN,"Upper middle income","No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient testing data","Insufficient data",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Insufficient data","Insufficient data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics","Insufficient data","Insufficient data","no","Insufficient data","Insufficient data","Insufficient data","Insufficient data"
"Andorra","AND",77000,"High income","March 01, 2022",214,0.2677,7.24,343,1,392.236,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","26.8 %","7.24 per 1,000 persons","1 %","392.2 per 100k persons"
"Angola","AGO",32866000,"Lower middle income","September 13, 2022",18,0.0238,0.17,1283,0.32,0.42,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","2.4 %","0.17 per 1,000 persons","0.32 %","0.4 per 100k persons"
"Anguilla","AIA",NaN,"No income data","No tests reported",NaN,NaN,NaN,101,2.15,469.752,"Insufficient testing data","Meets sequencing target",NaN,"Insufficient data",NaN,"Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","2.15 %","469.8 per 100k persons"
"Antigua and Barbuda","ATG",98000,"High income","June 07, 2021",481,NaN,NaN,239,2.19,135.164,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","2.19 %","135.2 per 100k persons"
"Argentina","ARG",45196000,"Upper middle income","April 17, 2022",167,0.3176,1.32,21449,0.22,21.614,"Does not meet testing target","Does not meet sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","31.8 %","1.32 per 1,000 persons","0.22 %","21.6 per 100k persons"
"Armenia","ARM",2963000,"Upper middle income","June 06, 2022",117,0.117,1.87,192,0.02,1.469,"Meets testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Sustain","Connect/Build","Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Sustain","Connect/Build","no","11.7 %","1.87 per 1,000 persons","0.02 %","1.5 per 100k persons"
"Aruba","ABW",NaN,"High income","No tests reported",NaN,NaN,NaN,3660,3.17,815.687,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","3.17 %","815.7 per 100k persons"
"Australia","AUS",25500000,"High income","September 09, 2022",22,0.2457,4.66,152256,1.11,435.136,"Does not meet testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","24.6 %","4.66 per 1,000 persons","1.11 %","435.1 per 100k persons"
"Austria","AUT",9006000,"High income","September 12, 2022",19,0.0388,34.97,164835,2.57,1269.02,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","3.9 %","34.97 per 1,000 persons","2.57 %","1269 per 100k persons"
"Azerbaijan","AZE",10139000,"Upper middle income","October 01, 2022",0,0.1409,0.65,151,0,0.116,"Meets testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Sustain","Strengthen/Leverage","Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Sustain","Strengthen/Leverage","no","14.1 %","0.65 per 1,000 persons","0 %","0.1 per 100k persons"
"Bahrain","BHR",1702000,"High income","October 01, 2022",0,0.102,6.39,7906,1.53,424.052,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","10.2 %","6.39 per 1,000 persons","1.53 %","424.1 per 100k persons"
"Bangladesh","BGD",164689000,"Lower middle income","September 27, 2022",4,0.0898,0.09,7218,0.58,1.607,"Does not meet testing target","Does not meet sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","9 %","0.09 per 1,000 persons","0.58 %","1.6 per 100k persons"
"Barbados","BRB",287000,"High income","October 01, 2022",0,0.2102,4.29,212,0.13,41.963,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Sustain","Connect/Build","no","21 %","4.29 per 1,000 persons","0.13 %","42 per 100k persons"
"Belarus","BLR",9449000,"Upper middle income","July 06, 2022",87,0.0877,1.96,520,0.06,2.934,"Meets testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Sustain","Strengthen/Leverage","Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Sustain","Strengthen/Leverage","no","8.8 %","1.96 per 1,000 persons","0.06 %","2.9 per 100k persons"
"Belgium","BEL",11590000,"High income","September 30, 2022",1,0.2103,3.71,161597,3.11,882.545,"Does not meet testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","yes","21 %","3.71 per 1,000 persons","3.11 %","882.5 per 100k persons"
"Belize","BLZ",398000,"Upper middle income","June 10, 2022",113,0.1286,3.1,957,1.32,157.738,"Meets testing target","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","12.9 %","3.1 per 1,000 persons","1.32 %","157.7 per 100k persons"
"Benin","BEN",12123000,"Lower middle income","January 25, 2022",249,NaN,NaN,1250,12.57,3.624,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","12.57 %","3.6 per 100k persons"
"Bermuda","BMU",62000,"High income","September 28, 2022",3,0,20.72,233,1.4,281.997,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","No cases reported","20.72 per 1,000 persons","1.4 %","282 per 100k persons"
"Bhutan","BTN",772000,"Lower middle income","March 01, 2022",214,0.0172,5.12,0,0,0,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","1.7 %","5.12 per 1,000 persons","0 %","0 per 100k persons"
"Bolivia","BOL",11673000,"Lower middle income","January 02, 2022",272,0.1797,0.55,345,0.02,0.911,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","18 %","0.55 per 1,000 persons","0.02 %","0.9 per 100k persons"
"Bosnia and Herzegovina","BIH",3281000,"Upper middle income","October 01, 2022",0,0.3494,0.4,1456,0.73,36.412,"Does not meet testing target","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","34.9 %","0.4 per 1,000 persons","0.73 %","36.4 per 100k persons"
"Botswana","BWA",2352000,"Upper middle income","May 18, 2022",136,0.239,0.99,4566,2.11,119.957,"Does not meet testing target","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","23.9 %","0.99 per 1,000 persons","2.11 %","120 per 100k persons"
"Brazil","BRA",212559000,"Upper middle income","August 17, 2022",45,0.6741,0.28,180928,0.7,43.121,"Does not meet testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","67.4 %","0.28 per 1,000 persons","0.7 %","43.1 per 100k persons"
"British Indian Ocean Territory","IOT",NaN,"No income data","No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient testing data","Insufficient data",NaN,"Insufficient data",NaN,"Insufficient data","Insufficient data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics","Insufficient data","Insufficient data","no","Insufficient data","Insufficient data","Insufficient data","Insufficient data"
"British Virgin Islands","VGB",NaN,"High income","No tests reported",NaN,NaN,NaN,195,2.21,330.956,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","2.21 %","331 per 100k persons"
"Brunei","BRN",437000,"High income","December 14, 2021",291,0.0266,9.64,3547,1.59,787.879,"Insufficient testing data","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","2.7 %","9.64 per 1,000 persons","1.59 %","787.9 per 100k persons"
"Bulgaria","BGR",6948000,"Upper middle income","October 01, 2022",0,0.131,2.29,19846,1.63,178.569,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","13.1 %","2.29 per 1,000 persons","1.63 %","178.6 per 100k persons"
"Burkina Faso","BFA",20903000,"Low income","March 09, 2022",206,0.0832,0.02,664,0.52,0.172,"Insufficient testing data","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Insufficient data","Strengthen/Leverage","Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","8.3 %","0.02 per 1,000 persons","0.52 %","0.2 per 100k persons"
