"country","code","population_size","world_bank_economies","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","sars_cov_2_binary"
"Afghanistan","AFG",38928000,"Low income",0,0,"Does not meet sequencing target"
"Albania","ALB",2878000,"Upper middle income",0.01,0.56,"Does not meet sequencing target"
"Algeria","DZA",43851000,"Lower middle income",0.32,0.539,"Does not meet sequencing target"
"Andorra","AND",77000,"High income",0.96,375.788,"Meets sequencing target"
"Angola","AGO",32866000,"Lower middle income",0.59,0.936,"Does not meet sequencing target"
"Anguilla","AIA",NaN,"No income data",2.04,469.752,"Meets sequencing target"
"Antigua and Barbuda","ATG",98000,"High income",1.75,136.237,"Meets sequencing target"
"Argentina","ARG",45196000,"Upper middle income",0.22,22.069,"Does not meet sequencing target"
"Armenia","ARM",2963000,"Upper middle income",0.03,1.863,"Does not meet sequencing target"
"Aruba","ABW",NaN,"High income",3.77,996.846,"Meets sequencing target"
"Australia","AUS",25500000,"High income",1.12,432.301,"Meets sequencing target"
"Austria","AUT",9006000,"High income",2.46,1178.682,"Meets sequencing target"
"Azerbaijan","AZE",10139000,"Upper middle income",0,0.116,"Does not meet sequencing target"
"Bahrain","BHR",1702000,"High income",1.68,457.948,"Meets sequencing target"
"Bangladesh","BGD",164689000,"Lower middle income",0.58,1.731,"Does not meet sequencing target"
"Barbados","BRB",287000,"High income",0.09,32.006,"Does not meet sequencing target"
"Belarus","BLR",9449000,"Upper middle income",0.07,3.654,"Does not meet sequencing target"
"Belgium","BEL",11590000,"High income",2.9,823.879,"Meets sequencing target"
"Belize","BLZ",398000,"Upper middle income",1.23,158.988,"Meets sequencing target"
"Benin","BEN",12123000,"Lower middle income",4.08,3.624,"Does not meet sequencing target"
"Bermuda","BMU",62000,"High income",1.07,250.837,"Meets sequencing target"
"Bhutan","BTN",772000,"Lower middle income",0,0,"Does not meet sequencing target"
"Bolivia","BOL",11673000,"Lower middle income",0.02,0.993,"Does not meet sequencing target"
"Bosnia and Herzegovina","BIH",3281000,"Upper middle income",0.69,37.971,"Meets sequencing target"
"Botswana","BWA",2352000,"Upper middle income",1.92,125.018,"Meets sequencing target"
"Brazil","BRA",212559000,"Upper middle income",0.74,46.305,"Meets sequencing target"
"British Virgin Islands","VGB",NaN,"High income",2.65,401.645,"Meets sequencing target"
"Brunei","BRN",437000,"High income",1.37,669.551,"Meets sequencing target"
"Bulgaria","BGR",6948000,"Upper middle income",1.59,181.096,"Meets sequencing target"
"Burkina Faso","BFA",20903000,"Low income",0.71,0.235,"Does not meet sequencing target"
"Burundi","BDI",11891000,"Low income",0.26,0.749,"Does not meet sequencing target"
"Cambodia","KHM",16719000,"Lower middle income",5.56,14.793,"Meets sequencing target"
"Cameroon","CMR",26546000,"Lower middle income",2.18,3,"Does not meet sequencing target"
"Canada","CAN",37742000,"High income",8.52,603.436,"Meets sequencing target"
"Cape Verde","CPV",556000,"Lower middle income",1.56,71.098,"Meets sequencing target"
"Cayman Islands","CYM",NaN,"High income",0.09,38.159,"Does not meet sequencing target"
"Central African Republic","CAF",4830000,"Low income",1.32,0.861,"Does not meet sequencing target"
"Chad","TCD",16426000,"Low income",1.45,0.215,"Does not meet sequencing target"
"Chile","CHL",19116000,"High income",0.84,123.064,"Meets sequencing target"
"China","CHN",1439324000,"Upper middle income",0.11,0.066,"Does not meet sequencing target"
"Colombia","COL",50883000,"Upper middle income",1.05,28.375,"Meets sequencing target"
"Comoros","COM",870000,"Lower middle income",0.64,3.408,"Does not meet sequencing target"
"Cook Islands","COK",NaN,"No income data",0,0,"Does not meet sequencing target"
"Costa Rica","CRI",5094000,"Upper middle income",0.85,102.232,"Meets sequencing target"
"Croatia","HRV",4105000,"High income",3.34,689.534,"Meets sequencing target"
"Cuba","CUB",11327000,"Upper middle income",0.1,4.033,"Does not meet sequencing target"
"Curaçao","CUW",NaN,"High income",4.31,677.742,"Meets sequencing target"
"Cyprus","CYP",1207000,"High income",0.14,71.874,"Does not meet sequencing target"
"Czech Republic","CZE",10709000,"High income",1.66,373.646,"Meets sequencing target"
"Democratic Republic of the Congo","COD",89561000,"Low income",0.64,0.251,"Does not meet sequencing target"
"Denmark","DNK",5792000,"High income",13.58,6788.584,"Meets sequencing target"
"Djibouti","DJI",988000,"Lower middle income",10.09,35.91,"Meets sequencing target"
"Dominica","DMA",72000,"Upper middle income",0.15,27.62,"Does not meet sequencing target"
"Dominican Republic","DOM",10848000,"Upper middle income",0.35,8.959,"Does not meet sequencing target"
"East Timor","TLS",NaN,"Lower middle income",0.02,0.076,"Does not meet sequencing target"
"Ecuador","ECU",17643000,"Upper middle income",0.87,24.205,"Meets sequencing target"
"Egypt","EGY",102334000,"Lower middle income",0.58,1.198,"Does not meet sequencing target"
"El Salvador","SLV",6486000,"Lower middle income",0.26,4.403,"Does not meet sequencing target"
"Equatorial Guinea","GNQ",1403000,"Upper middle income",0.09,0.428,"Does not meet sequencing target"
"Eritrea","ERI",3546000,"Low income",0,0,"Does not meet sequencing target"
"Estonia","EST",1327000,"High income",1.6,550.086,"Meets sequencing target"
"Eswatini","SWZ",1160000,"Lower middle income",2.28,56.95,"Meets sequencing target"
"Ethiopia","ETH",114964000,"Low income",0.05,0.077,"Does not meet sequencing target"
"Falkland Islands","FLK",NaN,"No income data",0,0,"Does not meet sequencing target"
"Faroe Islands","FRO",49000,"High income",0,0,"Does not meet sequencing target"
"Fiji","FJI",896000,"Upper middle income",0,0,"Does not meet sequencing target"
"Finland","FIN",5541000,"High income",1.62,330.456,"Meets sequencing target"
"France","FRA",65274000,"High income",1.26,521.29,"Meets sequencing target"
"French Polynesia","PYF",281000,"High income",0.12,14.472,"Does not meet sequencing target"
"Gabon","GAB",2226000,"Upper middle income",0.77,7.475,"Does not meet sequencing target"
"Georgia","GEO",3989000,"Upper middle income",0.16,49.229,"Does not meet sequencing target"
"Germany","DEU",83784000,"High income",2.06,697.24,"Meets sequencing target"
"Ghana","GHA",31073000,"Lower middle income",3.33,4.98,"Does not meet sequencing target"
"Gibraltar","GIB",NaN,"High income",8.06,3624.12,"Meets sequencing target"
"Greece","GRC",10423000,"High income",0.26,102.639,"Does not meet sequencing target"
"Greenland","GRL",57000,"High income",0,0,"Does not meet sequencing target"
"Grenada","GRD",113000,"Upper middle income",0.14,20.865,"Does not meet sequencing target"
"Guatemala","GTM",17916000,"Upper middle income",0.22,7.911,"Does not meet sequencing target"
"Guinea","GIN",13133000,"Low income",4,2.343,"Does not meet sequencing target"
"Guinea-Bissau","GNB",1968000,"Low income",0.04,0.049,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.29,16.282,"Does not meet sequencing target"
"Haiti","HTI",NaN,"Low income",0.73,0.795,"Does not meet sequencing target"
"Honduras","HND",9905000,"Lower middle income",0.1,1.06,"Does not meet sequencing target"
"Hong Kong SAR, China","HKG",7497000,"High income",0.43,87.517,"Does not meet sequencing target"
"Hungary","HUN",9660000,"High income",0.01,1.164,"Does not meet sequencing target"
"Iceland","ISL",341000,"High income",0.61,320.521,"Meets sequencing target"
"India","IND",1380004000,"Lower middle income",1.05,8.674,"Does not meet sequencing target"
"Indonesia","IDN",273524000,"Upper middle income",1.03,8.463,"Does not meet sequencing target"
"Iran","IRN",83993000,"Upper middle income",0.07,1.93,"Does not meet sequencing target"
"Iraq","IRQ",40223000,"Upper middle income",0.09,1.206,"Does not meet sequencing target"
"Ireland","IRL",4938000,"High income",4.12,1083.46,"Meets sequencing target"
"Isle of Man","IMN",NaN,"High income",0,0,"Does not meet sequencing target"
"Israel","ISR",8656000,"High income",3.08,1176.849,"Meets sequencing target"
"Italy","ITA",60462000,"High income",0.46,133.504,"Does not meet sequencing target"
"Ivory Coast","CIV",26378000,"Lower middle income",0.3,0.331,"Does not meet sequencing target"
"Jamaica","JAM",2961000,"Upper middle income",2.02,57.998,"Meets sequencing target"
"Japan","JPN",126476000,"High income",1.18,165.039,"Meets sequencing target"
"Jordan","JOR",10203000,"Upper middle income",0.07,5.526,"Does not meet sequencing target"
"Kazakhstan","KAZ",18777000,"Upper middle income",0.15,4.892,"Does not meet sequencing target"
"Kenya","KEN",53771000,"Lower middle income",4.72,9.024,"Does not meet sequencing target"
"Kiribati","KIR",NaN,"Lower middle income",3.96,105.529,"Meets sequencing target"
"Kuwait","KWT",4271000,"High income",0.18,10.211,"Does not meet sequencing target"
"Kyrgyzstan","KGZ",6524000,"Lower middle income",0.29,1.333,"Does not meet sequencing target"
"Laos","LAO",NaN,"Lower middle income",0.22,5.872,"Does not meet sequencing target"
"Latvia","LVA",1886000,"High income",1.28,515.39,"Meets sequencing target"
"Lebanon","LBN",6825000,"Upper middle income",0.13,14.108,"Does not meet sequencing target"
"Lesotho","LSO",2142000,"Lower middle income",0.55,4.734,"Does not meet sequencing target"
