"Country","Socioeconomic status","Date tests last reported","Test positivity rate (%)","Average daily tests","% of cases sequenced","Number of sequences","Cumulative number of sequences entire pandemic","Test Archetype","Sequencing Archetype"
"Afghanistan","Low income","May 12, 2022","13.1 %","0.02 per 1,000 persons","0 %","0 per 100k persons",103,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Albania","Upper middle income","August 31, 2022","20.1 %","0.87 per 1,000 persons","0.01 %","0.6 per 100k persons",58,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Algeria","Lower middle income","November 01, 2020","Insufficient data","Insufficient data","0.32 %","0.5 per 100k persons",386,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"American Samoa","Upper middle income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Andorra","High income","March 01, 2022","25.5 %","6.4 per 1,000 persons","0.96 %","375.8 per 100k persons",325,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Angola","Lower middle income","August 05, 2022","2.8 %","0.18 per 1,000 persons","0.59 %","0.9 per 100k persons",1283,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Antigua and Barbuda","High income","June 07, 2021","Insufficient data","Insufficient data","1.75 %","136.2 per 100k persons",239,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Argentina","Upper middle income","April 17, 2022","28.2 %","1.32 per 1,000 persons","0.22 %","22.1 per 100k persons",20683,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Armenia","Upper middle income","June 06, 2022","11.5 %","1.9 per 1,000 persons","0.03 %","1.9 per 100k persons",192,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Aruba","High income","No tests reported","Insufficient data","Insufficient data","3.77 %","996.8 per 100k persons",3513,"Insufficient testing data","Sustain - Sustain current sequencing levels"
