"country","code","population_size","world_bank_economies","date_tests_last_reported","days_since_tests_reported","tpr_year_smoothed_truncated","avg_daily_tests_per_1000_last_year_smoothed","cum_seq","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","dx_testing_binary","sars_cov_2_binary","ngs_capacity","facility_access","ngs_facility","archetype_orig","dx_archetype","sx_archetype","dx_testing_rec","sx_sequencing_rec","prev_dx","prev_sequ","seq_but_no_test_flag","TPR_pct","daily_tests_per_1000","pct_seq","seq_per_100k"
"Afghanistan","AFG",38928000,"Low income","May 12, 2022",112,0.1313,0.02,103,0,0,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","13.1 %","0.02 per 1,000 persons","0 %","0 per 100k persons"
"Albania","ALB",2878000,"Upper middle income","August 31, 2022",1,0.2006,0.87,58,0.01,0.56,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Sustain","Connect/Build","no","20.1 %","0.87 per 1,000 persons","0.01 %","0.6 per 100k persons"
"Algeria","DZA",43851000,"Lower middle income","November 01, 2020",669,NaN,NaN,386,0.32,0.539,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","0.32 %","0.5 per 100k persons"
"American Samoa","ASM",NaN,"Upper middle income","No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient testing data","Insufficient data",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Insufficient data","Insufficient data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics","Insufficient data","Insufficient data","no","Insufficient data","Insufficient data","Insufficient data","Insufficient data"
"Andorra","AND",77000,"High income","March 01, 2022",184,0.2551,6.4,325,0.96,375.788,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Test","Sustain","no","25.5 %","6.4 per 1,000 persons","0.96 %","375.8 per 100k persons"
"Angola","AGO",32866000,"Lower middle income","August 05, 2022",27,0.0275,0.18,1283,0.59,0.936,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","2.8 %","0.18 per 1,000 persons","0.59 %","0.9 per 100k persons"
"Anguilla","AIA",NaN,"No income data","No tests reported",NaN,NaN,NaN,101,2.04,469.752,"Insufficient testing data","Meets sequencing target",NaN,"Insufficient data",NaN,"Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","2.04 %","469.8 per 100k persons"
"Antigua and Barbuda","ATG",98000,"High income","June 07, 2021",451,NaN,NaN,239,1.75,136.237,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","1.75 %","136.2 per 100k persons"
"Argentina","ARG",45196000,"Upper middle income","April 17, 2022",137,0.2824,1.32,20683,0.22,22.069,"Does not meet testing target","Does not meet sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","28.2 %","1.32 per 1,000 persons","0.22 %","22.1 per 100k persons"
"Armenia","ARM",2963000,"Upper middle income","June 06, 2022",87,0.115,1.9,192,0.03,1.863,"Meets testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Sustain","Connect/Build","Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Sustain","Connect/Build","no","11.5 %","1.9 per 1,000 persons","0.03 %","1.9 per 100k persons"
"Aruba","ABW",NaN,"High income","No tests reported",NaN,NaN,NaN,3513,3.77,996.846,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","3.77 %","996.8 per 100k persons"
"Australia","AUS",25500000,"High income","August 30, 2022",2,0.2142,5.05,144014,1.12,432.301,"Does not meet testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","yes","21.4 %","5.05 per 1,000 persons","1.12 %","432.3 per 100k persons"
"Austria","AUT",9006000,"High income","August 31, 2022",1,0.0357,36.32,151147,2.46,1178.682,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","3.6 %","36.32 per 1,000 persons","2.46 %","1178.7 per 100k persons"
"Azerbaijan","AZE",10139000,"Upper middle income","September 01, 2022",0,0.1453,0.73,151,0,0.116,"Meets testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Sustain","Strengthen/Leverage","Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Sustain","Strengthen/Leverage","no","14.5 %","0.73 per 1,000 persons","0 %","0.1 per 100k persons"
"Bahrain","BHR",1702000,"High income","September 01, 2022",0,0.091,7.06,7906,1.68,457.948,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","9.1 %","7.06 per 1,000 persons","1.68 %","457.9 per 100k persons"
"Bangladesh","BGD",164689000,"Lower middle income","August 29, 2022",3,0.0882,0.1,7053,0.58,1.731,"Does not meet testing target","Does not meet sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","8.8 %","0.1 per 1,000 persons","0.58 %","1.7 per 100k persons"
"Barbados","BRB",287000,"High income","August 30, 2022",2,0.1946,4.71,184,0.09,32.006,"Meets testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Sustain","Connect/Build","Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Sustain","Connect/Build","no","19.5 %","4.71 per 1,000 persons","0.09 %","32 per 100k persons"
"Belarus","BLR",9449000,"Upper middle income","July 06, 2022",57,0.0871,2,520,0.07,3.654,"Meets testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Sustain","Strengthen/Leverage","Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Sustain","Strengthen/Leverage","no","8.7 %","2 per 1,000 persons","0.07 %","3.7 per 100k persons"
"Belgium","BEL",11590000,"High income","August 30, 2022",2,0.1975,3.95,147866,2.9,823.879,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","19.8 %","3.95 per 1,000 persons","2.9 %","823.9 per 100k persons"
"Belize","BLZ",398000,"Upper middle income","June 10, 2022",83,0.1255,3.13,957,1.23,158.988,"Meets testing target","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","12.6 %","3.13 per 1,000 persons","1.23 %","159 per 100k persons"
"Benin","BEN",12123000,"Lower middle income","January 25, 2022",219,NaN,NaN,1250,4.08,3.624,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","4.08 %","3.6 per 100k persons"
"Bermuda","BMU",62000,"High income","September 01, 2022",0,0,23.38,213,1.07,250.837,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","No cases reported","23.38 per 1,000 persons","1.07 %","250.8 per 100k persons"
