month,High income,Low income,Lower middle income,Upper middle income,NA
Jan 2020,11,0,0,43,0
Feb 2020,108,0,7,101,0
Mar 2020,2568,19,33,404,0
Apr 2020,14260,49,132,1025,0
May 2020,32340,150,664,1975,0
Jun 2020,51169,189,1790,2946,0
Jul 2020,67337,253,2850,3853,0
Aug 2020,82248,334,3642,5164,0
Sep 2020,118622,704,4180,5920,0
Oct 2020,155507,711,4740,6957,0
Nov 2020,212752,811,5207,8294,0
Dec 2020,288058,949,6293,11248,0
Jan 2021,422925,1112,7775,14101,0
Feb 2021,599511,1427,9503,19044,0
Mar 2021,882984,1767,12980,29904,0
Apr 2021,1238870,2196,17110,39054,0
May 2021,1669246,2891,29017,56830,0
Jun 2021,1974134,3707,45511,78396,0
Jul 2021,2317954,4427,58975,101043,0
Aug 2021,2849116,5230,67060,177321,0
Sep 2021,3540049,6354,85844,216629,0
Oct 2021,4284182,7095,103239,265234,0
Nov 2021,5028088,7973,120825,305585,0
Dec 2021,5991898,8498,142697,355137,0
Jan 2022,6932371,9218,164637,404871,0
Feb 2022,7939856,9955,195829,446762,0
Mar 2022,8928641,10758,235448,484516,0
Apr 2022,9643142,10991,254368,515335,0
May 2022,10189918,11487,264505,540075,0
Jun 2022,10635408,11805,279021,572982,1
Jul 2022,11134427,12160,292604,609343,1
Aug 2022,11648870,12905,316127,646832,1
Sep 2022,12009843,13221,328866,678890,1
Oct 2022,12324198,13580,338616,703766,1
Nov 2022,12613821,13803,345728,751884,1
Dec 2022,12928535,13938,350371,787356,1
Jan 2023,13256884,14356,354697,820326,1
