month,High income,Low income,Lower middle income,Upper middle income,NA
Jan 2020,11,0,0,43,0
Feb 2020,97,0,7,58,0
Mar 2020,2460,19,26,303,0
Apr 2020,11692,30,99,621,0
May 2020,18080,101,532,950,0
Jun 2020,18829,39,1126,971,0
Jul 2020,16168,64,1060,907,0
Aug 2020,14911,81,792,1311,0
Sep 2020,36374,370,538,756,0
Oct 2020,36885,7,560,1037,0
Nov 2020,57245,100,467,1337,0
Dec 2020,75306,138,1086,2954,0
Jan 2021,134867,163,1482,2853,0
Feb 2021,176586,315,1728,4943,0
Mar 2021,283473,340,3477,10860,0
Apr 2021,355886,429,4130,9150,0
May 2021,430376,695,11907,17776,0
Jun 2021,304888,816,16494,21566,0
Jul 2021,343820,720,13464,22647,0
Aug 2021,531162,803,8085,76278,0
Sep 2021,690933,1124,18784,39308,0
Oct 2021,744133,741,17395,48605,0
Nov 2021,743906,878,17586,40351,0
Dec 2021,963810,525,21872,49552,0
Jan 2022,940473,720,21940,49734,0
Feb 2022,1007485,737,31192,41891,0
Mar 2022,988785,803,39619,37754,0
Apr 2022,714501,233,18920,30819,0
May 2022,546776,496,10137,24740,0
Jun 2022,445490,318,14516,32907,1
Jul 2022,499019,355,13583,36361,0
Aug 2022,514443,745,23523,37489,0
Sep 2022,360973,316,12739,32058,0
Oct 2022,314355,359,9750,24876,0
Nov 2022,289623,223,7112,48118,0
Dec 2022,314714,135,4643,35472,0
Jan 2023,328349,418,4326,32970,0
