date,world_bank_economies,Insufficient data,Connect/Build,Strengthen/Leverage,Sustain
2021-01-01,High income,1118657,6401902,1088622207,150620151
2021-01-01,Upper middle income,612984,42972336,2860614966,0
2021-01-01,Lower middle income,1343067,316726124,2713101840,0
2021-01-01,Low income,13370376,421925882,223089856,2639916
2021-02-01,High income,543521,6337717,903369579,336512100
2021-02-01,Upper middle income,612984,42972336,2860614966,0
2021-02-01,Lower middle income,1343067,316726124,2713101840,0
2021-02-01,Low income,13370376,421925882,223089856,2639916
2021-03-01,High income,8342640,6033176,563336460,669050641
2021-03-01,Upper middle income,612984,42972336,2860614966,0
2021-03-01,Lower middle income,1343067,316726124,2713101840,0
2021-03-01,Low income,13370376,421925882,223089856,2639916
2021-04-01,High income,8599341,5776475,448005787,784381314
2021-04-01,Upper middle income,612984,42972336,2860614966,0
2021-04-01,Lower middle income,1343067,316726124,2713101840,0
2021-04-01,Low income,13370376,421925882,223089856,2639916
2021-05-01,High income,11716619,5915225,325083476,904047597
2021-05-01,Upper middle income,612984,42972336,2860614966,0
2021-05-01,Lower middle income,1343067,316726124,2713101840,0
2021-05-01,Low income,13370376,421925882,223089856,2639916
2021-06-01,High income,11716619,5388477,195385972,1034271849
2021-06-01,Upper middle income,612984,42972336,2851140675,9474291
2021-06-01,Lower middle income,1343067,316726124,2713101840,0
2021-06-01,Low income,13370376,421925882,223089856,2639916
2021-07-01,High income,11929960,2209732,147570489,1085052736
2021-07-01,Upper middle income,612984,42795592,2791748420,69043290
2021-07-01,Lower middle income,1343067,316726124,2713101840,0
2021-07-01,Low income,13370376,421925882,223089856,2639916
2021-08-01,High income,11929960,1928532,147570489,1085333936
2021-08-01,Upper middle income,612984,42615940,2665043282,195928080
2021-08-01,Lower middle income,1343067,315620567,2713101840,1105557
2021-08-01,Low income,13370376,421925882,223089856,2639916
2021-09-01,High income,22476091,1849498,128077305,1094360023
2021-09-01,Upper middle income,1134442,42094482,2577926699,283044663
2021-09-01,Lower middle income,1343067,315620567,2713101840,1105557
2021-09-01,Low income,13370376,421925882,225729772,0
2021-10-01,High income,27036894,1494480,111582819,1106648724
2021-10-01,Upper middle income,9137047,39640873,2554536331,300886035
2021-10-01,Lower middle income,1343067,315620567,2713101840,1105557
2021-10-01,Low income,13370376,421925882,225729772,0
2021-11-01,High income,27368362,1491818,111582819,1106319918
2021-11-01,Upper middle income,42189463,38716263,2487246985,336047575
2021-11-01,Lower middle income,2664009,314299625,2599221512,114985885
2021-11-01,Low income,13370376,421925882,223089856,2639916
2021-12-01,High income,27368362,1444212,92254259,1125696084
2021-12-01,Upper middle income,45947443,38611931,2483489005,336151907
2021-12-01,Lower middle income,2664009,304350188,2599221512,124935322
2021-12-01,Low income,13370376,421925882,223089856,2639916
2022-01-01,High income,27951793,1387529,91808886,1125614709
2022-01-01,Upper middle income,45947443,38307669,2265891839,554053335
2022-01-01,Lower middle income,2664009,304350188,2696512817,27644017
2022-01-01,Low income,13370376,421925882,223089856,2639916
2022-02-01,High income,27951793,1795435,91808886,1125206803
2022-02-01,Upper middle income,45947443,38432279,2265891839,553928725
2022-02-01,Lower middle income,6011791,301002406,2679636097,44520737
2022-02-01,Low income,13370376,421925882,223089856,2639916
2022-03-01,High income,79781932,1795435,91808886,1073376664
2022-03-01,Upper middle income,46524098,35549388,2194290736,627836064
2022-03-01,Lower middle income,6011791,299810135,2657862656,67486449
2022-03-01,Low income,13370376,421925882,223089856,2639916
2022-04-01,High income,80227305,1308495,102254251,1062972866
2022-04-01,Upper middle income,46524098,35549388,2265891839,556234961
2022-04-01,Lower middle income,19022734,296160704,2657862656,58124937
2022-04-01,Low income,13370376,421925882,223089856,2639916
2022-05-01,High income,107020001,1308495,97902984,1040531437
2022-05-01,Upper middle income,41808446,34672409,2266330513,561388918
2022-05-01,Lower middle income,19730585,295452853,2604857042,111130551
2022-05-01,Low income,13370376,421925882,223089856,2639916
2022-06-01,High income,102499530,1308495,102423455,1040531437
2022-06-01,Upper middle income,61709513,32321910,2215051800,595117063
2022-06-01,Lower middle income,18409643,296773795,2604857042,111130551
2022-06-01,Low income,13370376,421925882,223089856,2639916
2022-07-01,High income,106828678,1308495,98173341,1040452403
2022-07-01,Upper middle income,68413312,26542721,2215051800,594192453
2022-07-01,Lower middle income,18538517,296644921,2507853434,208134159
2022-07-01,Low income,13370376,421925882,223089856,2639916
2022-08-01,High income,107724685,1308495,156517664,981212073
2022-08-01,Upper middle income,119324773,26321019,2164182389,594372105
2022-08-01,Lower middle income,18538517,296644921,2621733762,94253831
2022-08-01,Low income,13370376,421925882,223089856,2639916
2022-09-01,High income,242427725,1716401,156517664,846101127
2022-09-01,Upper middle income,121913196,26321019,2177356690,578609381
2022-09-01,Lower middle income,18651648,296531790,2657862656,58124937
2022-09-01,Low income,13370376,421925882,223089856,2639916
