"Country","Socioeconomic status","Date tests last reported","Test positivity rate (%)","Average daily tests","% of cases sequenced","Number of sequences","Cumulative number of sequences entire pandemic","Test Archetype","Sequencing Archetype"
"Afghanistan","Low income","May 12, 2022","5.2 %","0.02 per 1,000 persons","0.03 %","0 per 100k persons",120,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Albania","Upper middle income","March 27, 2023","22.4 %","0.26 per 1,000 persons","0.38 %","8.1 per 100k persons",1371,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Algeria","Lower middle income","November 01, 2020","Insufficient data","Insufficient data","6.44 %","0.8 per 100k persons",795,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"American Samoa","Upper middle income","No tests reported","Insufficient data","Insufficient data","2.02 %","205.4 per 100k persons",121,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Andorra","High income","March 01, 2022","Insufficient data","Insufficient data","2.66 %","263 per 100k persons",393,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Angola","Lower middle income","December 30, 2022","0.4 %","0.17 per 1,000 persons","0.86 %","0.1 per 100k persons",1336,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Antigua and Barbuda","High income","June 07, 2021","Insufficient data","Insufficient data","4.33 %","74.6 per 100k persons",260,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Argentina","Upper middle income","April 17, 2022","7.3 %","0.45 per 1,000 persons","0.31 %","6.9 per 100k persons",22762,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Armenia","Upper middle income","June 06, 2022","0.4 %","0.68 per 1,000 persons","0 %","0 per 100k persons",192,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Aruba","High income","No tests reported","Insufficient data","Insufficient data","9.25 %","882 per 100k persons",4136,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Australia","High income","September 09, 2022","46.2 %","2.93 per 1,000 persons","1.37 %","372.7 per 100k persons",192611,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Austria","High income","April 01, 2023","6.7 %","10.01 per 1,000 persons","6.8 %","1662.7 per 100k persons",242368,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Azerbaijan","Upper middle income","April 01, 2023","4.3 %","0.23 per 1,000 persons","0 %","0 per 100k persons",191,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Bahrain","High income","December 22, 2022","14.2 %","2.24 per 1,000 persons","1.92 %","186.1 per 100k persons",11018,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Bangladesh","Lower middle income","February 26, 2023","5.8 %","0.03 per 1,000 persons","0.8 %","0.4 per 100k persons",7527,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Barbados","High income","March 31, 2023","25.3 %","1.81 per 1,000 persons","0.34 %","58.2 per 100k persons",281,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Belarus","Upper middle income","July 06, 2022","3.7 %","0.87 per 1,000 persons","0 %","0 per 100k persons",520,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Belgium","High income","March 31, 2023","22.1 %","0.99 per 1,000 persons","5.04 %","397.4 per 100k persons",174733,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Belize","Upper middle income","June 10, 2022","6.6 %","1.81 per 1,000 persons","2.01 %","67.4 per 100k persons",1071,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Benin","Lower middle income","January 25, 2022","Insufficient data","Insufficient data","2.99 %","0.3 per 100k persons",1293,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Bermuda","High income","April 01, 2023","No cases reported","8.48 per 1,000 persons","2.26 %","222.7 per 100k persons",277,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Bhutan","Lower middle income","March 01, 2022","Insufficient data","Insufficient data","0.17 %","7.3 per 100k persons",135,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Bolivia","Lower middle income","January 02, 2022","Insufficient data","Insufficient data","0.02 %","0.6 per 100k persons",421,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Bosnia and Herzegovina","Upper middle income","April 01, 2023","22.6 %","0.1 per 1,000 persons","0.34 %","2.9 per 100k persons",1527,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
