"name","code","population_size","date_tests_last_reported","rept_tests_within_last_6_months","days_since_tests_reported","cases_in_last_year_smoothed_truncated","tests_in_last_year_smoothed","tpr_year_smoothed_truncated","avg_daily_tests_per_1000_last_year_smoothed","cases_in_last_year","sequences_in_last_year","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","dx_testing_capacity","ngs_capacity","sequencing_capacity","sars_cov_2_sequencing","world_bank_economies","archetype"
"Afghanistan","AFG",39835428,"February 16, 2022",TRUE,1,115501,604527,0.191060118075785,0.042546196983261,116133,76,0.07,0.191,"Has not demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Low income","Test"
"Albania","ALB",2872934,"February 17, 2022",TRUE,0,175394,1303547,0.13455134337312,1.24091787485602,173575,28,0.02,0.975,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Upper middle income","Connect"
"Algeria","DZA",44616626,"November 01, 2020",FALSE,473,0,0,NaN,NaN,152122,54,0.04,0.121,"Insufficient data",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Lower middle income","Insufficient Data"
"American Samoa","ASM",NaN,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient data",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Upper middle income","Insufficient Data"
"Andorra","AND",77354,"February 14, 2022",TRUE,3,26784,147008,0.182194166303875,5.23067069916385,26939,86,0.32,111.177,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"Angola","AGO",33933611,"February 17, 2022",TRUE,0,78178,1034585,0.0755645983655282,0.0862435176795106,78185,868,1.11,2.558,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","Lower middle income","Strengthen"
"Antigua and Barbuda","ATG",98728,"June 07, 2021",FALSE,255,828,5942,0.139347021204981,0.536572150984287,6870,175,2.55,177.255,"Insufficient data",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Insufficient Data"
"Argentina","ARG",45605823,"February 17, 2022",TRUE,0,6729162,26697021,0.252056662052294,1.61834063385413,6760734,10038,0.15,22.01,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has not demonstrated sequencing capacity","Upper middle income","Leverage"
"Armenia","ARM",2968128,"February 17, 2022",TRUE,0,238155,2147083,0.110920257856822,1.98529165645703,242281,121,0.05,4.077,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Upper middle income","Connect"
"Aruba","ABW",107195,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,26055,2895,11.11,2700.686,"Insufficient data",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Insufficient Data"
"Australia","AUS",25788217,"February 17, 2022",TRUE,0,2984450,48742458,0.0612289597705557,5.23690120870266,2961133,45100,1.52,174.886,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"Austria","AUT",9043072,"February 01, 2022",TRUE,16,1458143,131030729,0.0111282522132652,41.3331544752993,1955702,11043,0.56,122.116,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"Azerbaijan","AZE",10223344,"February 17, 2022",TRUE,0,516525,3901011,0.132407983468901,1.0541178982013,531711,15,0,0.147,"Has demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Upper middle income","Leverage"
"Bahrain","BHR",1748295,"February 17, 2022",TRUE,0,355437,6259128,0.0567869837459787,10.0753794890781,366455,2116,0.58,121.032,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"Bangladesh","BGD",166303494,"February 16, 2022",TRUE,1,1373234,9214073,0.149036587836888,0.153283070614542,1384693,3163,0.23,1.902,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has not demonstrated sequencing capacity","Lower middle income","Leverage"
"Barbados","BRB",287708,"February 17, 2022",TRUE,0,49796,454734,0.109505777003699,4.34092883394587,50452,105,0.21,36.495,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
