,code,name,date_test_data_reported,dx_testing_capacity,facility_access,sequencing_facilities,sars_cov_2_sequencing,TPR_pct,daily_tests_per_1000,pct_seq,seq_per_100k,cases_per_100k,archetype,archetype_description
0,IDN,Indonesia,"January 04, 2022",Reliable testing capacity,1 or more NGS facilities,4+ NGS facilities or equivalent,Insufficient sequencing capacity,6 %,0.58 per 1000 persons,0.32 %,4.1 per 100k persons,0.6 per 100k persons,Leverage,Leverage - Leverage existing NGS capacity
1,MYS,Malaysia,"June 16, 2021",Insufficient data,1 or more NGS facilities,1-3 NGS facilities or equivalent,Insufficient sequencing capacity,6 %,1.73 per 1000 persons,0.26 %,21.4 per 100k persons,70.3 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
2,CHL,Chile,"January 04, 2022",Reliable testing capacity,High Income*,4+ NGS facilities or equivalent,High Income*,5.7 %,3 per 1000 persons,1.4 %,87 per 100k persons,54.9 per 100k persons,High Income*,High Income*
3,BOL,Bolivia,"January 02, 2022",Unreliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,16.9 %,0.62 per 1000 persons,0.01 %,0.5 per 100k persons,351.7 per 100k persons,Test,Test - Increase diagnostic testing capacity
4,PER,Peru,"December 17, 2021",Reliable testing capacity,1 or more NGS facilities,4+ NGS facilities or equivalent,Sufficient sequencing capacity,7.7 %,1.38 per 1000 persons,0.88 %,33.9 per 100k persons,79.1 per 100k persons,Strengthen,Strengthen - Build additional NGS capacity for scale-up
5,ARG,Argentina,"January 04, 2022",Reliable testing capacity,1 or more NGS facilities,4+ NGS facilities or equivalent,Insufficient sequencing capacity,17.4 %,1.41 per 1000 persons,0.17 %,15.3 per 100k persons,671.7 per 100k persons,Leverage,Leverage - Leverage existing NGS capacity
6,CYP,Cyprus,"July 11, 2021",Reliable testing capacity,High Income*,1-3 NGS facilities or equivalent,High Income*,0.8 %,34.45 per 1000 persons,0.08 %,13.8 per 100k persons,3153.1 per 100k persons,High Income*,High Income*
7,IND,India,"January 04, 2022",Reliable testing capacity,1 or more NGS facilities,4+ NGS facilities or equivalent,Insufficient sequencing capacity,4.9 %,1 per 1000 persons,0.33 %,5.9 per 100k persons,15 per 100k persons,Leverage,Leverage - Leverage existing NGS capacity
8,CHN,China,"June 24, 2020",Insufficient data,High Income*,4+ NGS facilities or equivalent,High Income*,Insufficient Data,Insufficient Data,1.24 %,0 per 100k persons,0.1 per 100k persons,High Income*,High Income*
9,ISR,Israel,"January 04, 2022",Reliable testing capacity,High Income*,4+ NGS facilities or equivalent,High Income*,3.4 %,8.99 per 1000 persons,3.72 %,386 per 100k persons,439.1 per 100k persons,High Income*,High Income*
10,PSE,Palestine,"December 30, 2021",Reliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,16.8 %,1.06 per 1000 persons,0.01 %,0.7 per 100k persons,31.4 per 100k persons,Connect,Connect - Connect to countries with NGS capacity or build NGS capacity from scratch
11,LBN,Lebanon,"June 23, 2021",Insufficient data,1 or more NGS facilities,4+ NGS facilities or equivalent,Insufficient sequencing capacity,13.3 %,2.3 per 1000 persons,0.18 %,14.5 per 100k persons,367.3 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
12,ETH,Ethiopia,"January 03, 2022",Reliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,13 %,0.05 per 1000 persons,0.17 %,0.4 per 100k persons,23 per 100k persons,Connect,Connect - Connect to countries with NGS capacity or build NGS capacity from scratch
13,SSD,South Sudan,"January 03, 2022",Reliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Sufficient sequencing capacity,5.1 %,0.06 per 1000 persons,0.72 %,0.8 per 100k persons,7.8 per 100k persons,Strengthen,Strengthen - Build additional NGS capacity for scale-up
14,SOM,Somalia,"December 22, 2021",Reliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,5.6 %,0.06 per 1000 persons,0.06 %,0.1 per 100k persons,0 per 100k persons,Connect,Connect - Connect to countries with NGS capacity or build NGS capacity from scratch
15,KEN,Kenya,"January 03, 2022",Reliable testing capacity,1 or more NGS facilities,1-3 NGS facilities or equivalent,Sufficient sequencing capacity,10.1 %,0.1 per 1000 persons,1.91 %,7.1 per 100k persons,30 per 100k persons,Strengthen,Strengthen - Build additional NGS capacity for scale-up
16,PAK,Pakistan,"December 30, 2021",Reliable testing capacity,1 or more NGS facilities,4+ NGS facilities or equivalent,Insufficient sequencing capacity,4.9 %,0.21 per 1000 persons,0.18 %,0.6 per 100k persons,1.9 per 100k persons,Leverage,Leverage - Leverage existing NGS capacity
