"Country","Region","WHO testing Capacity","Max 30-day average of new tests per capita","Sequencing capacity","Cumulative GISAID sequences","New cases per capita in the last 7 days per 100k","Archetype"
"Algeria","Africa","1 - Reliable",4.46,"0 - 0 NGS facilities or equivalent",72,1.66,"2 - Connect"
"Angola","Africa","1 - Reliable",16.29,"0 - 0 NGS facilities or equivalent",945,5.16,"3 - Leverage"
"Benin","Africa","0 - Unreliable",28.81,"0 - 0 NGS facilities or equivalent",282,1.86,"1 - Test"
"Botswana","Africa","1 - Reliable",260.37,"1 - 1-3 NGS facilities or equivalent",1262,44.82,"4 - Strengthen"
"Burkina Faso","Africa","1 - Reliable",5.49,"1 - 1-3 NGS facilities or equivalent",424,0.88,"3 - Leverage"
"Burundi","Africa","1 - Reliable",58.57,"0 - 0 NGS facilities or equivalent",63,4.55,"2 - Connect"
"Cameroon","Africa","1 - Reliable",41.15,"1 - 1-3 NGS facilities or equivalent",220,11.31,"3 - Leverage"
"Cape Verde","Africa","0 - Unreliable",255.71,"0 - 0 NGS facilities or equivalent",40,32.55,"2 - Connect"
"Central African Republic","Africa","1 - Reliable",10.12,"0 - 0 NGS facilities or equivalent",118,1.41,"2 - Connect"
"Chad","Africa","1 - Reliable",3.4,"0 - 0 NGS facilities or equivalent",9,0.07,"2 - Connect"
"Comoros","Africa","0 - Unreliable",8.86,"0 - 0 NGS facilities or equivalent",6,1.72,"1 - Test"
"Democratic Republic of the Congo","Africa","1 - Reliable",2.5,"1 - 1-3 NGS facilities or equivalent",870,0.21,"4 - Strengthen"
"Equatorial Guinea","Africa","0 - Unreliable",61.54,"0 - 0 NGS facilities or equivalent",207,21.95,"2 - Connect"
"Eritrea","Africa","0 - Unreliable",7.13,"0 - 0 NGS facilities or equivalent",0,0.99,"1 - Test"
"Eswatini","Africa","1 - Reliable",148.87,"0 - 0 NGS facilities or equivalent",123,11.81,"2 - Connect"
"Ethiopia","Africa","1 - Reliable",16.85,"0 - 0 NGS facilities or equivalent",219,4.73,"2 - Connect"
"Gabon","Africa","1 - Reliable",196.15,"1 - 1-3 NGS facilities or equivalent",314,44.57,"3 - Leverage"
"Ghana","Africa","1 - Reliable",18.98,"1 - 1-3 NGS facilities or equivalent",1436,0.67,"4 - Strengthen"
"Guinea","Africa","0 - Unreliable",32.21,"0 - 0 NGS facilities or equivalent",262,0.63,"1 - Test"
"Guinea-Bissau","Africa","0 - Unreliable",18.02,"0 - 0 NGS facilities or equivalent",48,0.56,"1 - Test"
"Ivory Coast","Africa","1 - Reliable",15.16,"0 - 0 NGS facilities or equivalent",236,1.16,"2 - Connect"
"Kenya","Africa","1 - Reliable",14.77,"1 - 1-3 NGS facilities or equivalent",3569,1.81,"4 - Strengthen"
"Lesotho","Africa","1 - Reliable",100.82,"0 - 0 NGS facilities or equivalent",18,2.71,"2 - Connect"
"Liberia","Africa","1 - Reliable",21.09,"0 - 0 NGS facilities or equivalent",77,0.08,"2 - Connect"
"Madagascar","Africa","1 - Reliable",4.55,"1 - 1-3 NGS facilities or equivalent",722,0.02,"4 - Strengthen"
"Malawi","Africa","1 - Reliable",13.13,"0 - 0 NGS facilities or equivalent",586,0.31,"3 - Leverage"
"Mali","Africa","1 - Reliable",7.03,"1 - 1-3 NGS facilities or equivalent",71,0.83,"3 - Leverage"
"Mauritania","Africa","1 - Reliable",53.81,"0 - 0 NGS facilities or equivalent",0,5.12,"2 - Connect"
"Mauritius","Africa","1 - Reliable",391.38,"0 - 0 NGS facilities or equivalent",271,22.25,"0 - High Income*"
"Mozambique","Africa","1 - Reliable",15.68,"0 - 0 NGS facilities or equivalent",580,0.55,"3 - Leverage"
"Namibia","Africa","0 - Unreliable",141.67,"0 - 0 NGS facilities or equivalent",282,6.81,"2 - Connect"
"Niger","Africa","1 - Reliable",2.52,"0 - 0 NGS facilities or equivalent",24,0.31,"2 - Connect"
"Nigeria","Africa","1 - Reliable",52.77,"2 - 4+ NGS facilities or equivalent",2769,0.89,"4 - Strengthen"
"Republic of the Congo","Africa","1 - Reliable",17.51,"0 - 0 NGS facilities or equivalent",269,7.65,"2 - Connect"
"Rwanda","Africa","1 - Reliable",118.94,"0 - 0 NGS facilities or equivalent",650,5.52,"3 - Leverage"
"São Tomé and Príncipe","Africa","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,29.66,"1 - Test"
"Senegal","Africa","1 - Reliable",19.31,"1 - 1-3 NGS facilities or equivalent",621,0.19,"4 - Strengthen"
"Seychelles","Africa","1 - Reliable",338.74,"0 - 0 NGS facilities or equivalent",259,151.5,"0 - High Income*"
"Sierra Leone","Africa","0 - Unreliable",10.27,"1 - 1-3 NGS facilities or equivalent",51,0,"1 - Test"
"South Africa","Africa","1 - Reliable",101.95,"2 - 4+ NGS facilities or equivalent",21057,8.62,"4 - Strengthen"
"South Sudan","Africa","1 - Reliable",14.4,"0 - 0 NGS facilities or equivalent",89,0.64,"2 - Connect"
"Tanzania","Africa","1 - Reliable",3.74,"0 - 0 NGS facilities or equivalent",0,0.13,"2 - Connect"
"The Gambia","Africa","1 - Reliable",28.47,"1 - 1-3 NGS facilities or equivalent",687,0.17,"4 - Strengthen"
"Togo","Africa","0 - Unreliable",23.7,"0 - 0 NGS facilities or equivalent",347,2.21,"1 - Test"
"Uganda","Africa","1 - Reliable",15.87,"1 - 1-3 NGS facilities or equivalent",712,1.46,"4 - Strengthen"
"Zambia","Africa","1 - Reliable",55.74,"1 - 1-3 NGS facilities or equivalent",970,0.89,"4 - Strengthen"
"Zimbabwe","Africa","1 - Reliable",77.95,"0 - 0 NGS facilities or equivalent",659,4.53,"3 - Leverage"
