"Country","Region","WHO testing Capacity","Max 30-day average of new tests per capita","Sequencing capacity","Cumulative GISAID sequences","New cases per capita in the last 7 days per 100k","Archetype"
"Antigua and Barbuda","Americas","0 - Unreliable",131.09,"0 - 0 NGS facilities or equivalent",67,259.37,"0 - High Income*"
"Argentina","Americas","1 - Reliable",260.95,"2 - 4+ NGS facilities or equivalent",8500,11.96,"4 - Strengthen"
"Aruba","Americas","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",2676,96.47,"0 - High Income*"
"Barbados","Americas","0 - Unreliable",738.18,"0 - 0 NGS facilities or equivalent",78,678.9,"0 - High Income*"
"Belize","Americas","0 - Unreliable",346.45,"0 - 0 NGS facilities or equivalent",178,398.11,"2 - Connect"
"Bermuda","Americas","1 - Reliable",4409.62,"0 - 0 NGS facilities or equivalent",40,183.06,"0 - High Income*"
"Bolivia","Americas","1 - Reliable",103.68,"0 - 0 NGS facilities or equivalent",152,21.88,"2 - Connect"
"Brazil","Americas","1 - Reliable",160.1,"2 - 4+ NGS facilities or equivalent",48645,42.82,"4 - Strengthen"
"British Virgin Islands","Americas","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",33,0,"0 - High Income*"
"Canada","Americas","1 - Reliable",696.06,"2 - 4+ NGS facilities or equivalent",161389,64,"0 - High Income*"
"Cayman Islands","Americas","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",84,115.64,"0 - High Income*"
"Chile","Americas","1 - Reliable",397.29,"2 - 4+ NGS facilities or equivalent",11079,32.86,"0 - High Income*"
"Colombia","Americas","1 - Reliable",279.34,"2 - 4+ NGS facilities or equivalent",6366,19.55,"4 - Strengthen"
"Costa Rica","Americas","1 - Reliable",194.2,"1 - 1-3 NGS facilities or equivalent",1280,166.7,"4 - Strengthen"
"Cuba","Americas","0 - Unreliable",478.69,"0 - 0 NGS facilities or equivalent",1049,196.1,"3 - Leverage"
"Curaçao","Americas","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",821,NaN,"0 - High Income*"
"Dominica","Americas","1 - Reliable",1639.12,"0 - 0 NGS facilities or equivalent",9,454.22,"2 - Connect"
"Dominican Republic","Americas","0 - Unreliable",59.85,"1 - 1-3 NGS facilities or equivalent",327,41.76,"3 - Leverage"
"Ecuador","Americas","1 - Reliable",29.29,"1 - 1-3 NGS facilities or equivalent",2365,4.27,"4 - Strengthen"
"El Salvador","Americas","0 - Unreliable",337.26,"1 - 1-3 NGS facilities or equivalent",138,5.07,"3 - Leverage"
"Greenland","Americas","1 - Reliable",1516.49,"0 - 0 NGS facilities or equivalent",0,66.93,"0 - High Income*"
"Grenada","Americas","0 - Unreliable",88.97,"0 - 0 NGS facilities or equivalent",12,165.3,"2 - Connect"
"Guatemala","Americas","0 - Unreliable",69.74,"1 - 1-3 NGS facilities or equivalent",772,61.95,"4 - Strengthen"
"Guyana","Americas","1 - Reliable",145.73,"0 - 0 NGS facilities or equivalent",14,142.65,"2 - Connect"
"Haiti","Americas","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",95,1.8,"1 - Test"
"Honduras","Americas","0 - Unreliable",33.38,"0 - 0 NGS facilities or equivalent",116,23.36,"1 - Test"
"Jamaica","Americas","1 - Reliable",82.9,"0 - 0 NGS facilities or equivalent",177,42.08,"2 - Connect"
"Mexico","Americas","1 - Reliable",33.81,"2 - 4+ NGS facilities or equivalent",32055,31.42,"4 - Strengthen"
"Nicaragua","Americas","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,6.49,"1 - Test"
"Panama","Americas","1 - Reliable",302.19,"2 - 4+ NGS facilities or equivalent",1262,30.73,"0 - High Income*"
"Paraguay","Americas","1 - Reliable",111.74,"0 - 0 NGS facilities or equivalent",398,2.24,"2 - Connect"
"Peru","Americas","1 - Reliable",187.53,"2 - 4+ NGS facilities or equivalent",7619,15.79,"4 - Strengthen"
"Puerto Rico","Americas","1 - Reliable",NaN,"1 - 1-3 NGS facilities or equivalent",3178,32.4,"0 - High Income*"
"Saint Kitts and Nevis","Americas","0 - Unreliable",482.26,"0 - 0 NGS facilities or equivalent",13,738.83,"0 - High Income*"
"Saint Lucia","Americas","0 - Unreliable",143.13,"0 - 0 NGS facilities or equivalent",43,178.08,"2 - Connect"
"Saint Martin","Americas","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",10,152.62,"0 - High Income*"
"Saint Vincent and the Grenadines","Americas","0 - Unreliable",224.98,"0 - 0 NGS facilities or equivalent",15,89.24,"2 - Connect"
"Sint Maarten (Dutch part)","Americas","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",1637,151.58,"0 - High Income*"
"Suriname","Americas","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",750,373.66,"3 - Leverage"
"The Bahamas","Americas","1 - Reliable",126.96,"0 - 0 NGS facilities or equivalent",133,31.02,"0 - High Income*"
"Trinidad and Tobago","Americas","1 - Reliable",140.75,"0 - 0 NGS facilities or equivalent",617,99.61,"0 - High Income*"
"Turks and Caicos Islands","Americas","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",16,59.4,"0 - High Income*"
"U.S. Virgin Islands","Americas","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",428,89.06,"0 - High Income*"
"United States of America","Americas","1 - Reliable",697.47,"2 - 4+ NGS facilities or equivalent",1330823,187.46,"0 - High Income*"
"Uruguay","Americas","0 - Unreliable",546.23,"2 - 4+ NGS facilities or equivalent",740,25.07,"0 - High Income*"
"Venezuela","Americas","1 - Reliable",61.32,"1 - 1-3 NGS facilities or equivalent",171,33.9,"3 - Leverage"
