"name","code","region","ngs_capacity","facility_access","who_testing_capacity","sequencing_capacity","cum_tests_per_100k","cum_tpr","total_tests","date_tests_last_reported","rept_tests_within_last_6_months","days_since_tests_reported","tests_in_last_year_raw","cases_in_last_year_raw","tests_in_last_year_sum_avg","cases_in_last_year_sum_avg","tests_in_last_year_smoothed","cases_in_last_year_smoothed","cases_in_last_year_smoothed_truncated","avg_tpr_find","tpr_year_raw","tpr_year_smoothed","tpr_year_smoothed_truncated","avg_daily_test_per_1000_last_year_raw","avg_daily_tests_per_1000_last_year_smoothed","dx_testing_capacity","cases_in_last_90_days","sequences_in_last_90_days","population_size","cases_per_100k_last_90_days","percent_of_cases_sequenced_last_90_days","per_capita_seq_rate_in_last_90_days","max_prevalence_variant_pct","cases_in_last_7_days","cases_per_100k_last_7_days","cases_in_last_year","sequences_in_last_year","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","country","old_test_archetype","old_sequencing_archetype","old_archetype","world_bank_economies","sars_cov_2_sequencing","archetype_orig","archetype_orig_w_HICs","archetype_new"
"Afghanistan","AFG","Eastern Mediterranean",0,"No NGS facilities",1,"0 NGS facilities or equivalent",2124.26787916153,0.191314915924468,820987,2021-12-30,TRUE,5,655359,105302,655093.67,105261.72,617162,105640,105640,0.12613292112074,0.160678345761636,0.171170616466989,0.171170616466989,0.046123718392649,0.0434354396455135,"Unreliable testing capacity",2825,0,39835428,7.09167728786546,0,0,100,207,0.5,105296,84,0.08,0.211,"Afghanistan","Reliable testing capacity","1-499 sequences","Connect","Low income","Insufficient sequencing capacity","Test","Test","Test"
"Albania","ALB","Europe",0,"No NGS facilities",1,"0 NGS facilities or equivalent",51787.3523280056,0.142253965272,1490440,2022-01-04,TRUE,0,1266656,152398,1232179.83,150381.83,1216279,151787,151787,0.120840589756263,0.120315223707147,0.124796202187163,0.124796202187163,1.20579930888079,1.15784267994326,"Reliable testing capacity",38831,10,2872934,1351.61476038085,0.0257526203291185,0.348076217553205,25.8865550893052,3669,127.7,152398,45,0.03,1.566,"Albania","Reliable testing capacity","1-499 sequences","Connect","Upper middle income","Insufficient sequencing capacity","Connect","Connect","Sequence"
"Algeria","DZA","Africa",0,"No NGS facilities",1,"0 NGS facilities or equivalent",525.764520763495,0.954023586767468,230553,2020-11-01,FALSE,429,0,119308,0,118156.35,0,118933,0,NaN,Inf,Inf,NaN,0,NaN,"Insufficient data",15782,5,44616626,35.3724640675429,0.0316816626536561,0.0112065847381646,45.0719728346941,2688,6,119308,55,0.05,0.123,"Algeria","Reliable testing capacity","1-499 sequences","Connect","Lower middle income","Insufficient sequencing capacity","Insufficient Data","Insufficient Data","Insufficient Data"
"American Samoa","ASM","Western Pacific",0,"No NGS facilities",0,"0 NGS facilities or equivalent",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient data",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"American Samoa","Unreliable testing capacity","0 sequences","Test","Upper middle income","Insufficient sequencing capacity","Insufficient Data","Insufficient Data","Insufficient Data"
"Andorra","AND","Europe",0,"No NGS facilities",1,"0 NGS facilities or equivalent",358415.584415584,0.0898688310747156,275127,2022-01-03,TRUE,1,275127,16553,157634.38,15534.4,241854,15673,15185,0.0817924103422258,0.0601649420085997,0.0648035591720625,0.062785812928461,9.95286329269616,8.82292426674449,"Reliable testing capacity",9518,17,77354,12304.4703570598,0.178608951460391,21.976885487499,16.156611126074,2262,2924.2,16553,48,0.29,62.052,"Andorra","High Income*","1-499 sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"Angola","AGO","Africa",0,"No NGS facilities",1,"0 NGS facilities or equivalent",3923.11507332806,0.0656645759831732,1286825,2022-01-03,TRUE,1,986453,66982,973635.02,64227.42,970133,64391,64391,0.0621392852958749,0.0679018665866493,0.0663733735477507,0.0663733735477507,0.0822312103360345,0.0808707670582665,"Reliable testing capacity",24218,0,33933611,71.3687676799265,0,0,100,7879,23.2,66982,899,1.34,2.649,"Angola","Reliable testing capacity","500+ sequences","Leverage","Lower middle income","Sufficient sequencing capacity","Strengthen","Strengthen","Sustain"
"Antigua and Barbuda","ATG","Americas",0,"No NGS facilities",0,"0 NGS facilities or equivalent",17040.8163265306,0.268622754491018,16700,2021-06-07,FALSE,211,10049,4327,10324.06,4149.11,10405,4144,1106,0.111087644156113,0.430590108468504,0.398270062469966,0.106295050456511,0.280933743360358,0.67626413622774,"Insufficient data",905,29,98728,916.659914107447,3.20441988950276,29.373632606758,9.81446276772957,227,229.9,4326,99,2.29,100.276,"Antigua and Barbuda","High Income*","1-499 sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Insufficient Data","High Income*"
"Argentina","ARG","Americas",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",63005.5801398354,0.204401446523287,28476002,2022-01-04,TRUE,0,23524836,4171596,23246388.06,4023374.17,23303881,4050131,4050131,0.154552315120822,0.177327314842917,0.173796416142015,0.173796416142015,1.42604667402983,1.41265265322304,"Reliable testing capacity",557317,1583,45605823,1222.03035344851,0.284039424600362,3.47104798437691,0.189065030907554,306329,671.7,4171596,6970,0.17,15.283,"Argentina","Reliable testing capacity","500+ sequences","Strengthen","Upper middle income","Insufficient sequencing capacity","Leverage","Leverage","Sequence"
"Armenia","ARM","Europe",0,"No NGS facilities",1,"0 NGS facilities or equivalent",85319.8110023625,0.136519956677661,1811131,2021-10-11,TRUE,85,1212426,184906,1215622.85,184629.77,1908012,185461,185461,0.0963119548901529,0.152509101586406,0.0972011706425326,0.0972011706425326,1.12106482230616,1.76423561828765,"Reliable testing capacity",77763,0,2968128,2619.93418073614,0,0,100,477,16.1,184906,94,0.05,3.167,"Armenia","Reliable testing capacity","1-499 sequences","Connect","Upper middle income","Insufficient sequencing capacity","Connect","Connect","Sequence"
"Aruba","ABW","Americas",0,"No NGS facilities",1,"0 NGS facilities or equivalent",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient data",7470,209,107195,6968.60861047624,2.79785809906292,194.971780400205,1.42314095826879,4698,4382.7,17442,2995,17.17,2793.974,"Aruba","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Insufficient Data","High Income*"
