"name","code","population_size","sequencing_capacity","tpr_year_smoothed_truncated","avg_daily_tests_per_1000_last_year_smoothed","dx_testing_capacity","Date tests last reported","Days since tests were reported","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","sars_cov_2_sequencing","ngs_capacity","facility_access","cases_per_100k_last_7_days","old_archetype","archetype_orig","archetype_orig_w_HICs","archetype_new","Archetype","archetype_full_new","Archetype*","Test positivity rate (%) in past year","Average daily tests in past year","% of cases sequenced in past year","Number of sequences in past year","Cases in the last 7 days"
"Afghanistan","AFG",39835428,"0 NGS facilities or equivalent",0.171170616466989,0.0434354396455135,"Unreliable testing capacity","December 30, 2021",5,0.08,0.211,"Insufficient sequencing capacity",0,"No NGS facilities",0.5,"Connect","Test","Test","Test","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","17.1 %","0.04 per 1000 persons","0.08 %","0.2 per 100k persons","0.5 per 100k persons"
"Albania","ALB",2872934,"0 NGS facilities or equivalent",0.124796202187163,1.15784267994326,"Reliable testing capacity","January 04, 2022",0,0.03,1.566,"Insufficient sequencing capacity",0,"No NGS facilities",127.7,"Connect","Connect","Connect","Sequence","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","Sequence - Improve sequencing levels","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","12.5 %","1.16 per 1000 persons","0.03 %","1.6 per 100k persons","127.7 per 100k persons"
"Algeria","DZA",44616626,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","November 01, 2020",429,0.05,0.123,"Insufficient sequencing capacity",0,"No NGS facilities",6,"Connect","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","0.05 %","0.1 per 100k persons","6 per 100k persons"
"American Samoa","ASM",NaN,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,NaN,NaN,"Insufficient sequencing capacity",0,"No NGS facilities",NaN,"Test","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","NA %","Insufficient Data","Insufficient Data"
"Andorra","AND",77354,"0 NGS facilities or equivalent",0.062785812928461,8.82292426674449,"Reliable testing capacity","January 03, 2022",1,0.29,62.052,"Sufficient sequencing capacity",0,"No NGS facilities",2924.2,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","6.3 %","8.82 per 1000 persons","0.29 %","62.1 per 100k persons","2924.2 per 100k persons"
"Angola","AGO",33933611,"0 NGS facilities or equivalent",0.0663733735477507,0.0808707670582665,"Reliable testing capacity","January 03, 2022",1,1.34,2.649,"Sufficient sequencing capacity",0,"No NGS facilities",23.2,"Leverage","Strengthen","Strengthen","Sustain","Strengthen - Build additional NGS capacity for scale-up","Sustain - Sustain diagnostic & sequencing levels","Strengthen - Build additional NGS capacity for scale-up","6.6 %","0.08 per 1000 persons","1.34 %","2.6 per 100k persons","23.2 per 100k persons"
"Antigua and Barbuda","ATG",98728,"0 NGS facilities or equivalent",0.106295050456511,0.67626413622774,"Insufficient data","June 07, 2021",211,2.29,100.276,"Sufficient sequencing capacity",0,"No NGS facilities",229.9,"High Income*","High Income*","Insufficient Data","High Income*","High Income*","High Income*","Missing key diagnostic or case metrics","10.6 %","0.68 per 1000 persons","2.29 %","100.3 per 100k persons","229.9 per 100k persons"
"Argentina","ARG",45605823,"4+ NGS facilities or equivalent",0.173796416142015,1.41265265322304,"Reliable testing capacity","January 04, 2022",0,0.17,15.283,"Insufficient sequencing capacity",2,"1 or more NGS facilities",671.7,"Strengthen","Leverage","Leverage","Sequence","Leverage - Leverage existing NGS capacity","Sequence - Improve sequencing levels","Leverage - Leverage existing NGS capacity","17.4 %","1.41 per 1000 persons","0.17 %","15.3 per 100k persons","671.7 per 100k persons"
"Armenia","ARM",2968128,"0 NGS facilities or equivalent",0.0972011706425326,1.76423561828765,"Reliable testing capacity","October 11, 2021",85,0.05,3.167,"Insufficient sequencing capacity",0,"No NGS facilities",16.1,"Connect","Connect","Connect","Sequence","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","Sequence - Improve sequencing levels","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","9.7 %","1.76 per 1000 persons","0.05 %","3.2 per 100k persons","16.1 per 100k persons"
"Aruba","ABW",107195,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,17.17,2793.974,"Sufficient sequencing capacity",0,"No NGS facilities",4382.7,"High Income*","High Income*","Insufficient Data","High Income*","High Income*","High Income*","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","17.17 %","2794 per 100k persons","4382.7 per 100k persons"
"Australia","AUS",25788217,"4+ NGS facilities or equivalent",0.0100698136634039,4.70136019339242,"Reliable testing capacity","January 04, 2022",0,5.86,131.897,"Sufficient sequencing capacity",2,"1 or more NGS facilities",1042.5,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","1 %","4.7 per 1000 persons","5.86 %","131.9 per 100k persons","1042.5 per 100k persons"
"Austria","AUT",9043072,"4+ NGS facilities or equivalent",0.00766662448710659,36.5158214158597,"Reliable testing capacity","January 04, 2022",0,1.03,105.517,"Sufficient sequencing capacity",2,"1 or more NGS facilities",285.4,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","0.8 %","36.52 per 1000 persons","1.03 %","105.5 per 100k persons","285.4 per 100k persons"
"Azerbaijan","AZE",10223344,"1-3 NGS facilities or equivalent",0.108382859909066,0.993035977988156,"Reliable testing capacity","January 04, 2022",0,0,0.098,"Insufficient sequencing capacity",1,"1 or more NGS facilities",29.9,"Leverage","Leverage","Leverage","Sequence","Leverage - Leverage existing NGS capacity","Sequence - Improve sequencing levels","Leverage - Leverage existing NGS capacity","10.8 %","0.99 per 1000 persons","0 %","0.1 per 100k persons","29.9 per 100k persons"
"Bahrain","BHR",1748295,"4+ NGS facilities or equivalent",0.0335997650588768,9.09885227693447,"Reliable testing capacity","January 04, 2022",0,1.11,121.204,"Sufficient sequencing capacity",2,"1 or more NGS facilities",284,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","3.4 %","9.1 per 1000 persons","1.11 %","121.2 per 100k persons","284 per 100k persons"
"Bangladesh","BGD",166303494,"4+ NGS facilities or equivalent",0.128966645076045,0.138254894218634,"Reliable testing capacity","December 28, 2021",7,0.27,1.732,"Insufficient sequencing capacity",2,"1 or more NGS facilities",2.3,"Strengthen","Leverage","Leverage","Sequence","Leverage - Leverage existing NGS capacity","Sequence - Improve sequencing levels","Leverage - Leverage existing NGS capacity","12.9 %","0.14 per 1000 persons","0.27 %","1.7 per 100k persons","2.3 per 100k persons"
"Barbados","BRB",287708,"0 NGS facilities or equivalent",0.0706906049117769,3.82987924204095,"Reliable testing capacity","January 04, 2022",0,0.33,33.02,"Sufficient sequencing capacity",0,"No NGS facilities",647.2,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","7.1 %","3.83 per 1000 persons","0.33 %","33 per 100k persons","647.2 per 100k persons"
"Belarus","BLR",9442867,"1-3 NGS facilities or equivalent",0.0711434689991468,2.05259380930359,"Reliable testing capacity","January 04, 2022",0,0,0.138,"Insufficient sequencing capacity",1,"1 or more NGS facilities",81,"Leverage","Leverage","Leverage","Sequence","Leverage - Leverage existing NGS capacity","Sequence - Improve sequencing levels","Leverage - Leverage existing NGS capacity","7.1 %","2.05 per 1000 persons","0 %","0.1 per 100k persons","81 per 100k persons"
"Belgium","BEL",11632334,"4+ NGS facilities or equivalent",0.0622318524422935,5.55457349864668,"Reliable testing capacity","January 04, 2022",0,4.91,633.286,"Sufficient sequencing capacity",2,"1 or more NGS facilities",765.8,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","6.2 %","5.55 per 1000 persons","4.91 %","633.3 per 100k persons","765.8 per 100k persons"
"Belize","BLZ",404915,"0 NGS facilities or equivalent",0.0684226301754212,2.22772079575962,"Reliable testing capacity","December 14, 2021",21,1.19,68.162,"Sufficient sequencing capacity",0,"No NGS facilities",581.1,"Connect","Strengthen","Strengthen","Sustain","Strengthen - Build additional NGS capacity for scale-up","Sustain - Sustain diagnostic & sequencing levels","Strengthen - Build additional NGS capacity for scale-up","6.8 %","2.23 per 1000 persons","1.19 %","68.2 per 100k persons","581.1 per 100k persons"
"Benin","BEN",12451031,"0 NGS facilities or equivalent",0.0191007498426973,0.150235632215051,"Insufficient data","May 18, 2021",231,3.26,5.839,"Sufficient sequencing capacity",0,"No NGS facilities",4.7,"Test","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","1.9 %","0.15 per 1000 persons","3.26 %","5.8 per 100k persons","4.7 per 100k persons"
"Bermuda","BMU",62092,"0 NGS facilities or equivalent",0,24.6681838267786,"Insufficient data","December 31, 2021",4,0.74,75.694,"Sufficient sequencing capacity",0,"No NGS facilities",1404.4,"High Income*","High Income*","Insufficient Data","High Income*","High Income*","High Income*","Missing key diagnostic or case metrics","0 %","24.67 per 1000 persons","0.74 %","75.7 per 100k persons","1404.4 per 100k persons"
"Bhutan","BTN",779900,"0 NGS facilities or equivalent",0.00195456656462704,3.55328625168571,"Reliable testing capacity","January 01, 2022",3,0,0,"Insufficient sequencing capacity",0,"No NGS facilities",0.8,"Connect","Connect","Connect","Sequence","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","Sequence - Improve sequencing levels","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","0.2 %","3.55 per 1000 persons","0 %","0 per 100k persons","0.8 per 100k persons"
"Bolivia","BOL",11832936,"0 NGS facilities or equivalent",0.168841382462858,0.617169231419187,"Unreliable testing capacity","January 02, 2022",2,0.01,0.507,"Insufficient sequencing capacity",0,"No NGS facilities",351.7,"Connect","Test","Test","Test","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","16.9 %","0.62 per 1000 persons","0.01 %","0.5 per 100k persons","351.7 per 100k persons"
"Bosnia and Herzegovina","BIH",3263459,"1-3 NGS facilities or equivalent",0.254078287847685,0.590241865785991,"Unreliable testing capacity","January 04, 2022",0,0.6,33.124,"Sufficient sequencing capacity",1,"1 or more NGS facilities",147.3,"Leverage","Test","Test","Test","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","25.4 %","0.59 per 1000 persons","0.6 %","33.1 per 100k persons","147.3 per 100k persons"
"Botswana","BWA",2397240,"1-3 NGS facilities or equivalent",0.137917519722885,1.72679037368372,"Reliable testing capacity","January 03, 2022",1,1.01,86.892,"Sufficient sequencing capacity",1,"1 or more NGS facilities",399.3,"Strengthen","Strengthen","Strengthen","Sustain","Strengthen - Build additional NGS capacity for scale-up","Sustain - Sustain diagnostic & sequencing levels","Strengthen - Build additional NGS capacity for scale-up","13.8 %","1.73 per 1000 persons","1.01 %","86.9 per 100k persons","399.3 per 100k persons"
"Brazil","BRA",213993441,"4+ NGS facilities or equivalent",0.314244514334746,0.599270378242122,"Unreliable testing capacity","December 31, 2021",4,0.6,40.53,"Sufficient sequencing capacity",2,"1 or more NGS facilities",32.2,"Strengthen","Test","Test","Test","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","31.4 %","0.6 per 1000 persons","0.6 %","40.5 per 100k persons","32.2 per 100k persons"
"British Virgin Islands","VGB",30423,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,2.18,262.959,"Sufficient sequencing capacity",0,"No NGS facilities",2264.7,"High Income*","High Income*","Insufficient Data","High Income*","High Income*","High Income*","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","2.18 %","263 per 100k persons","2264.7 per 100k persons"
"Brunei","BRN",441532,"1-3 NGS facilities or equivalent",0.0259917687331251,3.86642618323782,"Reliable testing capacity","December 14, 2021",21,2.47,85.837,"Sufficient sequencing capacity",1,"1 or more NGS facilities",10.2,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","2.6 %","3.87 per 1000 persons","2.47 %","85.8 per 100k persons","10.2 per 100k persons"
"Bulgaria","BGR",6896655,"4+ NGS facilities or equivalent",0.0869470814893298,2.47713898155377,"Reliable testing capacity","January 02, 2022",2,1.82,145.839,"Sufficient sequencing capacity",2,"1 or more NGS facilities",296.9,"Strengthen","Strengthen","Strengthen","Sustain","Strengthen - Build additional NGS capacity for scale-up","Sustain - Sustain diagnostic & sequencing levels","Strengthen - Build additional NGS capacity for scale-up","8.7 %","2.48 per 1000 persons","1.82 %","145.8 per 100k persons","296.9 per 100k persons"
"Burkina Faso","BFA",21497097,"1-3 NGS facilities or equivalent",0.0539448130366632,0.0265904022428451,"Reliable testing capacity","December 29, 2021",6,2.1,1.126,"Sufficient sequencing capacity",1,"1 or more NGS facilities",4.7,"Leverage","Strengthen","Strengthen","Sustain","Strengthen - Build additional NGS capacity for scale-up","Sustain - Sustain diagnostic & sequencing levels","Strengthen - Build additional NGS capacity for scale-up","5.4 %","0.03 per 1000 persons","2.1 %","1.1 per 100k persons","4.7 per 100k persons"
"Burundi","BDI",12255429,"0 NGS facilities or equivalent",0.0267839213787075,0.234068588768068,"Reliable testing capacity","January 03, 2022",1,0.2,0.514,"Insufficient sequencing capacity",0,"No NGS facilities",41.4,"Connect","Connect","Connect","Sequence","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","Sequence - Improve sequencing levels","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","2.7 %","0.23 per 1000 persons","0.2 %","0.5 per 100k persons","41.4 per 100k persons"
