"","geometry","country","code","region","ngs_capacity","who_testing_capacity","sequencing_capacity","max_new_tests_cap_avg","cap_cum_tests","cum_tpr","tests_in_last_90_days","tests_in_last_7_days","tests_in_last_year","avg_test_per_1000_last_year","dx_testing_capacity","cases_in_last_90_days","sequences_in_last_90_days","population_size","percent_of_recent_cases_sequenced","per_capita_seq_rate","max_prevalence_variant_pct","max_new_seq_cap_avg","total_sequences","cases_in_last_7_days","cases_in_last_year","sequences_in_last_year","tpr_90_days","tpr_7_days","cases_in_the_last_7_days_per_100k","test_in_the_last_7_days_per_100k","tpr_year","reporting_lag_diff","world_bank_economies","sars_cov_2_sequencing","archetype_full","archetype","label","dx_testing_capacity_clean","sequencing_capacity_clean","sars_cov_2_sequencing_clean","archetype_clean","old_archetype","old_max_new_tests_cap_avg","old_dx_testing_capacity"
"1",NA,"Afghanistan","AFG","Eastern Mediterranean",0,"1 - Reliable","0 NGS facilities or equivalent",10.65,20.6876284422524,0.196017026602825,48222,7260,636975,0.0448298650406229,"Reliable testing capacity",3678,0,39835428,0,0,100,NA,99,359,108906,91,0.0762722408859027,0.0494490358126722,0.9012078394137,18.2249830477534,0.170973743082539,0,"Low income","1-499 sequences","2 - Connect","Connect","? Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect","2 - Connect",10.65,"Reliable testing capacity"
"2",NA,"Albania","ALB","Europe",0,"1 - Reliable","0 NGS facilities or equivalent",190.16,492.753995830438,0.143699590874282,303889,15699,1197808,1.14025912210725,"Reliable testing capacity",45356,7,2872934,0.0154334597407179,0.243653352287244,34.8163655131161,NA,49,1885,155257,46,0.149251864990177,0.120071342123702,65.6123670087792,546.444853936777,0.12961760148538,0,"Upper middle income","1-499 sequences","2 - Connect","Connect","? Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect","2 - Connect",190.16,"Reliable testing capacity"
"3",NA,"Algeria","DZA","Africa",0,"1 - Reliable","0 NGS facilities or equivalent",4.46,5.25764520763495,0.923206377709247,0,0,0,0,"Reliable testing capacity",12320,0,44616626,0,0,100,NA,72,1186,120746,54,NA,Inf,2.65820189989265,0,NA,0,"Lower middle income","1-499 sequences","2 - Connect","Connect","? Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect","2 - Connect",4.46,"Reliable testing capacity"
"4",NA,"American Samoa","ASM","Western Pacific",0,"0 - Unreliable","0 NGS facilities or equivalent",NA,NA,NA,NA,NA,NA,NA,"Unreliable testing capacity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Upper middle income","0 sequences","1 - Test","Test","? Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test","1 - Test",NA,"Unreliable testing capacity"
"5",NA,"Andorra","AND","Europe",0,"1 - Reliable","0 NGS facilities or equivalent",11029.48,4609.76623376623,0.0547679686267439,4654,0,329493,11.7236434798079,"Reliable testing capacity",4341,5,77354,0.115180833909238,6.46378984926442,45.0719728346941,NA,35,809,12102,34,0.932746024924796,Inf,1045.84119761098,0,0.0367291566133423,0,"High income","1-499 sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Connect","0 - High Income*",11029.48,"Reliable testing capacity"
"6",NA,"Angola","AGO","Africa",0,"1 - Reliable","0 NGS facilities or equivalent",64.38,55.4998782936774,0.0358562963149767,717316,0,1410058,0.117543132804105,"Reliable testing capacity",14357,45,33933611,0.313435954586613,0.132611881476451,6.44042888077835,NA,1055,145,49216,906,0.0200148888356038,Inf,0.42730495142412,0,0.0349035287910143,0,"Lower middle income","500+ sequences","3 - Leverage","Leverage","? Leverage existing NGS capacity","Reliable testing capacity","0 NGS facilities or equivalent","500+ sequences","Leverage","3 - Leverage",16.29,"Reliable testing capacity"
"7",NA,"Anguilla","AIA","",NA,"NaN","0 NGS facilities or equivalent",NA,NA,NA,NA,NA,NA,NA,"Unreliable testing capacity",0,9,15125,NA,59.504132231405,28.3128835563113,NA,21,0,0,21,NA,NA,0,NA,NA,0,"NaN","1-499 sequences","1 - Test","Test","? Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Test","1 - Test",NA,"Unreliable testing capacity"
"8",NA,"Antigua and Barbuda","ATG","Americas",0,"0 - Unreliable","0 NGS facilities or equivalent",131.09,170.408163265306,0.249221556886228,0,0,11678,0.326474699468829,"Reliable testing capacity",1858,23,98728,1.23789020452099,23.296329308808,12.2123388906523,NA,90,14,4014,88,NA,Inf,14.1803743618832,0,0.34372324028087,0,"High income","1-499 sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Connect","0 - High Income*",131.09,"Reliable testing capacity"
"9",NA,"Argentina","ARG","Americas",2,"1 - Reliable","4+ NGS facilities or equivalent",224.27,591.29064518984,0.200511174012606,3729411,276726,22451617,1.36098945597077,"Reliable testing capacity",128607,883,45605823,0.686587821813743,1.93615626671182,0.338692666160978,NA,11291,15302,3860295,9660,0.0344845338848413,0.055296574951396,33.5527329481588,606.77777923227,0.171938395350322,0,"Upper middle income","500+ sequences","4 - Strengthen","Strengthen","? Build additional NGS capacity for scale-up","Reliable testing capacity","4+ NGS facilities or equivalent","500+ sequences","Strengthen","4 - Strengthen",260.95,"Reliable testing capacity"
"10",NA,"Armenia","ARM","Europe",0,"1 - Reliable","0 NGS facilities or equivalent",230.7,611.249071886601,0.189129334101178,205066,0,1271982,1.17613303806305,"Reliable testing capacity",92735,0,2968128,0,0,100,NA,140,1720,194213,95,0.452220260794086,Inf,57.9489833322552,0,0.152685336742187,0,"Upper middle income","1-499 sequences","2 - Connect","Connect","? Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect","2 - Connect",230.7,"Reliable testing capacity"
"11",NA,"Aruba","ABW","Americas",0,"1 - Reliable","0 NGS facilities or equivalent",NA,NA,NA,NA,NA,NA,NA,"Reliable testing capacity",0,372,107195,NA,347.031111525724,0.802070485638073,NA,2937,0,0,2926,NA,NA,0,NA,NA,0,"High income","500+ sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Leverage","0 - High Income*",NA,"Reliable testing capacity"
"12",NA,"Australia","AUS","Western Pacific",2,"1 - Reliable","4+ NGS facilities or equivalent",863.04,1967.12917647059,0.00460047342006947,15784769,1223358,39314354,4.22394348643567,"Reliable testing capacity",152224,9015,25788217,5.9221936094177,34.9578258938957,0.0332250092049846,NA,44865,10213,202731,26339,0.00964372681031949,0.00834833303088712,39.6033583865065,4743.86422295113,0.0051566661886394,0,"High income","500+ sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen","0 - High Income*",863.04,"Reliable testing capacity"
"13",NA,"Austria","AUT","Europe",2,"1 - Reliable","4+ NGS facilities or equivalent",5074.8,12793.4735731734,0.0106583498659754,33979161,2488107,110989086,33.764122548438,"Reliable testing capacity",514765,11710,9043072,2.27482443445067,129.491394074934,0.0255794117153818,NA,72744,24931,905571,71171,0.0151494323241236,0.0100200674649442,275.691711843055,27513.9576462512,0.0081590995352462,0,"High income","500+ sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen","0 - High Income*",5074.8,"Reliable testing capacity"
"14",NA,"Azerbaijan","AZE","Europe",1,"0 - Unreliable","1-3 NGS facilities or equivalent",161.18,560.534174967946,0.106361564567917,1019444,77836,3753383,1.01422636314138,"Reliable testing capacity",141154,0,10223344,0,0,100,NA,15,7507,428606,15,0.138461749738093,0.0964463744282851,73.4299853355223,761.355579935489,0.114191916998612,0,"Upper middle income","1-499 sequences","3 - Leverage","Leverage","? Leverage existing NGS capacity","Reliable testing capacity","1-3 NGS facilities or equivalent","1-499 sequences","Leverage","3 - Leverage",161.18,"Reliable testing capacity"
"15",NA,"Bahrain","BHR","Eastern Mediterranean",2,"1 - Reliable","4+ NGS facilities or equivalent",1044.51,4480.99588719154,0.0364596274513532,1454600,121765,5411328,8.71066754664134,"Reliable testing capacity",4149,1395,1748295,33.6225596529284,79.7920259452781,0.214517415039162,NA,2269,209,188922,2119,0.00285233053760484,0.00171642097482856,11.954504245565,6964.785691202,0.0349123172722112,0,"High income","500+ sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen","0 - High Income*",1044.51,"Reliable testing capacity"
"16",NA,"Bangladesh","BGD","South-East Asia",2,"1 - Reliable","4+ NGS facilities or equivalent",25.41,57.8493402716636,0.165770980828474,300956,0,6600108,0.109797786562751,"Reliable testing capacity",44885,293,166303494,0.652779324941517,0.176183911084875,1.01722513264384,NA,3420,1605,1088792,2188,0.149141402729967,Inf,0.965102994168,0,0.16496578540836,0,"Lower middle income","500+ sequences","4 - Strengthen","Strengthen","? Build additional NGS capacity for scale-up","Reliable testing capacity","4+ NGS facilities or equivalent","500+ sequences","Strengthen","4 - Strengthen",25.41,"Reliable testing capacity"
"17",NA,"Barbados","BRB","Americas",0,"0 - Unreliable","0 NGS facilities or equivalent",809.88,1431.31010452962,0.0650947208522199,127749,0,358757,3.42472435683261,"Reliable testing capacity",20687,0,287708,0,0,100,NA,78,540,26448,77,0.16193473138733,Inf,187.690297106789,0,0.0737212096209969,0,"High income","1-499 sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Connect","0 - High Income*",738.18,"Reliable testing capacity"
"18",NA,"Belarus","BLR","Europe",1,"1 - Reliable","1-3 NGS facilities or equivalent",382.51,1130.88422055244,0.0631424634266744,2611143,147813,7088857,2.05540544262856,"Reliable testing capacity",168132,1,9442867,0.000594770775343183,0.0105900040739746,95,NA,52,9598,514428,13,0.0643901923410552,0.0649333955741376,101.642859102008,1565.3402721864,0.0725685396108287,0,"Upper middle income","1-499 sequences","3 - Leverage","Leverage","? Leverage existing NGS capacity","Reliable testing capacity","1-3 NGS facilities or equivalent","1-499 sequences","Leverage","3 - Leverage",336.13,"Reliable testing capacity"
"19",NA,"Belgium","BEL","Europe",2,"1 - Reliable","4+ NGS facilities or equivalent",1311.73,2497.59948231234,0.0666652894454858,6574934,707119,22619033,5.34684671481083,"Reliable testing capacity",717666,14846,11632334,2.06865031922928,127.627009334498,0.020176680881856,NA,69923,60866,1321635,66628,0.1091518181019,0.0860760352925038,523.248386781191,6078.90901344477,0.0584302167117401,0,"High income","500+ sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen","0 - High Income*",1311.73,"Reliable testing capacity"
"20",NA,"Belize","BLZ","Americas",0,"0 - Unreliable","0 NGS facilities or equivalent",383.37,870.643216080402,0.0895571921642868,120504,5236,299964,2.06487230673918,"Reliable testing capacity",13066,0,404915,0,0,100,NA,321,209,21738,297,0.108427936002124,0.0399159663865546,51.6157712112419,1293.11089981848,0.0724686962435492,0,"Upper middle income","1-499 sequences","2 - Connect","Connect","? Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect","2 - Connect",346.45,"Reliable testing capacity"
"21",NA,"Benin","BEN","Africa",0,"0 - Unreliable","0 NGS facilities or equivalent",28.81,52.8405510187247,0.0388659758408707,0,0,280313,0.0633490738198308,"Unreliable testing capacity",3447,0,12451031,0,0,100,NA,778,34,21807,766,NA,Inf,0.273069756231432,0,0.0777951789606618,0,"Lower middle income","500+ sequences","1 - Test","Test","? Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","500+ sequences","Test","1 - Test",28.81,"Unreliable testing capacity"
"22",NA,"Bermuda","BMU","Americas",0,"1 - Reliable","0 NGS facilities or equivalent",4409.62,10648.0483870968,NA,168437,9569,543837,24.031683605833,"Reliable testing capacity",0,7,62092,NA,11.2735940217741,34.8163655131161,NA,47,0,0,13,0,0,0,15411.0030277653,0,0,"High income","1-499 sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Connect","0 - High Income*",4409.62,"Reliable testing capacity"
"23",NA,"Bhutan","BTN","South-East Asia",0,"0 - Unreliable","0 NGS facilities or equivalent",750.57,1607.22279792746,0.00213495425443432,151459,0,1027902,3.64788842359287,"Reliable testing capacity",53,0,779900,0,0,100,NA,0,8,2211,0,0.000349929683940868,Inf,1.02577253494038,0,0.0021509832649416,0,"Lower middle income","0 sequences","2 - Connect","Connect","? Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","0 sequences","Connect","2 - Connect",750.57,"Reliable testing capacity"
"24",NA,"Bolivia","BOL","Americas",0,"1 - Reliable","0 NGS facilities or equivalent",103.68,196.074702304463,0.241660622689817,0,0,1915634,0.449611267777531,"Reliable testing capacity",57496,0,11832936,0,0,100,NA,155,8442,405958,73,NA,Inf,71.3432405955715,0,0.211918351835476,0,"Lower middle income","1-499 sequences","2 - Connect","Connect","? Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect","2 - Connect",103.68,"Reliable testing capacity"
"25",NA,"Bosnia and Herzegovina","BIH","Europe",1,"1 - Reliable","1-3 NGS facilities or equivalent",102.26,307.763791526973,0.278260559551503,181672,13908,703555,0.587487944286949,"Reliable testing capacity",58053,481,3263459,0.82855321861058,14.7389625547617,0.620877900253169,NA,752,2469,179863,709,0.319548416927209,0.177523727351165,75.6559221366041,426.173578402548,0.255648812104242,0,"Upper middle income","500+ sequences","4 - Strengthen","Strengthen","? Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen","3 - Leverage",102.26,"Reliable testing capacity"
"26",NA,"Botswana","BWA","Africa",1,"1 - Reliable","1-3 NGS facilities or equivalent",260.37,820.173044217687,0.101651229855986,249553,51051,1466119,1.70780798620818,"Reliable testing capacity",30446,458,2397240,1.50430269986205,19.1053044334318,0.651955503727231,NA,1770,538,183589,1709,0.122002139826009,0.0105384811267164,22.4424755135072,2129.57401011163,0.125221076870295,0,"Upper middle income","500+ sequences","4 - Strengthen","Strengthen","? Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen","4 - Strengthen",260.37,"Reliable testing capacity"
"27",NA,"Brazil","BRA","Americas",2,"1 - Reliable","4+ NGS facilities or equivalent",160.1,307.585602115177,0.339202036558898,8520747,0,46984847,0.60559942519102,"Reliable testing capacity",1007123,14571,213993441,1.44679448289832,6.80908720001376,0.0205574383370766,NA,84882,29583,15125001,79313,0.118196561874211,Inf,13.8242554826715,0,0.321912317815997,0,"Upper middle income","500+ sequences","4 - Strengthen","Strengthen","? Build additional NGS capacity for scale-up","Reliable testing capacity","4+ NGS facilities or equivalent","500+ sequences","Strengthen","4 - Strengthen",160.1,"Reliable testing capacity"
"28",NA,"British Indian Ocean Territory","IOT","",NA,"NaN","0 NGS facilities or equivalent",NA,NA,NA,NA,NA,NA,NA,"Unreliable testing capacity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","0 sequences","1 - Test","Test","? Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test","1 - Test",NA,"Unreliable testing capacity"
"29",NA,"British Virgin Islands","VGB","Americas",0,"0 - Unreliable","0 NGS facilities or equivalent",NA,NA,NA,NA,NA,NA,NA,"Unreliable testing capacity",0,17,30423,NA,55.8787759261085,16.156611126074,NA,58,0,0,58,NA,NA,0,NA,NA,0,"High income","1-499 sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Test","0 - High Income*",NA,"Unreliable testing capacity"
"30",NA,"Brunei","BRN","Western Pacific",1,"1 - Reliable","1-3 NGS facilities or equivalent",1136.64,1406.87643020595,0.0249640129797253,343591,0,536338,3.36251528165261,"Reliable testing capacity",10917,77,441532,0.70532197490153,17.4392795992136,3.81585107115454,NA,115,146,15196,110,0.0317732420232195,Inf,33.0666859933142,0,0.0283328796393319,0,"High income","1-499 sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Leverage","0 - High Income*",1098.2,"Reliable testing capacity"
"31",NA,"Bulgaria","BGR","Europe",2,"1 - Reliable","4+ NGS facilities or equivalent",302.99,670.483592400691,0.153415247761091,221262,0,3617348,1.42638780451258,"Reliable testing capacity",239389,3490,6896655,1.45787818153716,50.604242201473,0.0858007710314634,NA,9980,9102,535239,9899,1.08192550008587,Inf,131.977023644071,0,0.147964475632425,0,"Upper middle income","500+ sequences","4 - Strengthen","Strengthen","? Build additional NGS capacity for scale-up","Reliable testing capacity","4+ NGS facilities or equivalent","500+ sequences","Strengthen","4 - Strengthen",302.99,"Reliable testing capacity"
"32",NA,"Burkina Faso","BFA","Africa",1,"1 - Reliable","1-3 NGS facilities or equivalent",5.49,13.4739511074965,0.0579947877832456,45776,5285,205344,0.0269141415763222,"Reliable testing capacity",2375,0,21497097,0,0,100,NA,585,334,12304,390,0.0518830828381685,0.063197729422895,1.5536981574768,24.5847148570805,0.0599189652485585,0,"Low income","500+ sequences","4 - Strengthen","Strengthen","? Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen","3 - Leverage",5.49,"Reliable testing capacity"
"33",NA,"Burundi","BDI","Africa",0,"1 - Reliable","0 NGS facilities or equivalent",58.57,76.2849213691027,0.0227823931985748,309355,7956,838355,0.193159785863143,"Reliable testing capacity",6477,0,12255429,0,0,100,NA,63,193,19937,63,0.0209371110859692,0.0242584213172448,1.57481227299346,64.9181681032953,0.023781095120802,0,"Low income","1-499 sequences","2 - Connect","Connect","? Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect","2 - Connect",58.57,"Reliable testing capacity"
"34",NA,"Cambodia","KHM","Western Pacific",1,"1 - Reliable","1-3 NGS facilities or equivalent",90.12,163.805371134637,0.0439466425575701,465324,10889,2416224,0.395944241929656,"Reliable testing capacity",19565,763,16946446,3.89982110912343,4.50241897327617,0.391855695798315,NA,1826,83,119996,1785,0.0420459722687848,0.00762237120029387,0.489778210723358,64.2553606815258,0.0496626140622724,0,"Lower middle income","500+ sequences","4 - Strengthen","Strengthen","? Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen","4 - Strengthen",3381.69,"Reliable testing capacity"
