country,access_tools,workforce_strength,enchance_data,max_connect,future_emerg
All,4,6,7,1,0
Africa,1,2,1,0,1
Cameroon,1,3,2,0,0
Brazil,6,9,8,5,5
Guinea,0,2,0,0,0
Lebanon,1,1,1,0,0
Bangladesh,1,5,3,1,0
Madagascar,2,1,1,0,0
Malawi,0,2,1,0,0
Zambia,1,4,2,0,0
South Africa,2,6,2,0,0
Uganda,1,2,1,0,0
Kenya,7,11,7,6,7
Senegal,1,2,1,0,0
Argentina,0,1,2,0,0
India,6,7,2,1,0
Nepal,0,2,2,1,0
Pan-Africa,2,2,1,1,0
Indonesia,0,3,2,1,0
DRC,1,2,0,0,0
Ethiopia,8,9,6,5,5
Ghana,0,2,1,0,0
Mozambique,0,0,0,0,0
Nigeria,6,9,7,5,5
Rwanda,0,0,0,0,0
Zimbabwe,0,0,0,0,0
Cambodia,0,1,1,0,0
Laos,0,2,1,0,0
Thailand,1,5,2,0,0
Myanmar,0,1,1,0,0
Vietnam,2,4,2,0,0
Sudan,0,1,1,0,0
Tanzania,1,2,1,0,0
The Gambia,0,1,1,0,0
Mali,0,2,2,0,0
Seychelles,0,1,1,0,0
Comoros,0,1,1,0,0
Burkina Faso,0,1,1,0,0
Gabon,0,1,1,0,0
Uruguay,0,1,1,0,0
Paraguay,0,1,1,0,0
Bolivia,0,1,1,0,0
Chile,0,1,1,0,0
Peru,0,1,1,0,0
Ecuador,0,1,1,0,0
Guatemala,0,1,1,0,0
Colombia,1,2,1,0,0
Venezuela,0,1,1,0,0
Panama,1,2,1,0,0
Costa rica,1,2,1,0,0
Mexico,0,1,1,0,0
The Bahamas,0,1,1,0,0
Barbados,0,1,1,0,0
Haiti,1,1,1,0,0
Jamaica,0,2,1,0,0
Sri Lanka,0,1,1,0,0
South Asia,1,2,0,0,1
Georgia,1,1,0,0,0
Kazakhstan,1,1,0,0,0
Germany,0,0,0,1,0
Russia,1,1,0,0,0
Australia,0,0,1,0,0
China,2,1,1,0,0
Ukraine,1,0,0,0,0
Pakistan,5,7,5,5,5
United States,1,4,3,1,0
Oman,1,2,0,0,1
Trinidad and Tobago,0,1,0,0,0
Botswana,0,1,0,0,0
